Latitude,Longitude,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total Load Served (kWh),Total CO2 emissions (tonne),System Cost ($),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Deposit_ID,Configuration_Index
-33.5265,149.1588,28436.81374,17000,19000.0,77000.0,9000,2554576224.2851734,1304535473.9783332,155364417.90286157,1094676332.4039783,-76785.10224714303,1969558247.65,716465.6595584039,736505313.9695268,176533677.7179718,0.37394441867779044,21500,0.0,117025443.7978227,3.410605131648481e-10,0.0,100.0,25,DEP_0,0
-31.1629,145.6538,18441.40503,21000,19000.0,76000.0,9000,2761862270.8247333,967800055.3608524,1106627640.5573769,687434574.9065043,-90992.16343111367,1969558247.65,449925.92927630706,569048450.4561179,136395778.62283823,0.28892186922376334,25700,0.0,124523080.85472928,3.183231456205249e-10,0.0,100.0,25,DEP_1,1
-31.5001,145.8422,17685.31381,22000,19000.0,73000.0,9000,2751479092.913022,921722028.4145285,1155311960.5629752,674445103.9355181,-85145.29115032878,1969558247.65,441424.3205257966,561888153.9198222,134679520.15582082,0.2852863857112351,25975,0.0,122675138.05158865,3.637978807091713e-10,0.0,100.0,25,DEP_2,2
-31.5161,145.8551,17810.82078,22000,19000.0,73000.0,9000,2749573050.7450266,919277826.0546436,1155311960.5629752,674983264.127408,-85293.69269604,1969558247.65,441776.54637138854,562783242.659889,134894064.84975696,0.28574084738614863,25900,0.0,121108562.1383921,2.955857780762017e-10,0.0,100.0,25,DEP_3,3
-31.5212,145.8578,17760.42004,22000,19000.0,73000.0,9000,2747191608.724272,916676470.2119769,1155311960.5629752,675203177.9493201,-85180.92718306469,1969558247.65,441920.47996782995,562795981.8081293,134897118.30863526,0.28574731540924747,25850,0.0,120736837.59195949,2.7284841053187847e-10,0.0,100.0,25,DEP_4,4
-31.2586,146.8719,17537.24375,22000,19000.0,67000.0,9000,2665997364.627157,898492883.865336,1045395527.5277789,722108953.2340422,-90568.5681606124,1969558247.65,472620.3098916806,574513984.4077127,137705817.79141834,0.29169687420679247,26475,0.0,121028304.1480708,3.637978807091713e-10,0.0,100.0,25,DEP_5,5
-35.5901,149.4372,30478.13677,15000,19000.0,74000.0,9000,2633343869.373826,1314872788.9077792,304766218.6807436,1013704861.785303,-68110.35034234231,1969558247.65,663469.8320384808,699480016.2680908,167659047.96600276,0.3551456358818954,19300,0.0,92508242.58206236,4.547473508864641e-10,0.0,100.0,25,DEP_6,6
-31.3956,146.7216,17467.02832,22000,19000.0,68000.0,9000,2664861940.440004,896099129.3872277,1045395527.5277789,723367283.5249972,-89209.46172789359,1969558247.65,473443.8870671107,575518415.444166,137946570.84712067,0.29220685203438485,26800,0.0,123496263.75773942,4.547473508864641e-10,0.0,100.0,25,DEP_7,7
-32.9135,148.0498,17088.81462,24000,19000.0,68000.0,9000,2619060652.2735353,826003297.8839327,1055594516.6202637,737462837.7693388,-79234.92782205067,1969558247.65,482669.42732003226,588332850.8924683,141018075.38980478,0.29871310056173467,28225,0.0,119904920.93950216,2.7284841053187847e-10,0.0,100.0,25,DEP_8,8
-31.9665,141.465,14450.68255,21000,19000.0,61000.0,9000,2665167922.309655,779766277.0188689,1240829824.1121292,644571821.1786572,-27352.76901198495,1969558247.65,421872.25696143106,525840165.4244305,126039142.60154572,0.26698381022843193,25025,0.0,100069242.08303443,6.139089236967266e-10,0.0,100.0,25,DEP_9,9
