FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.1237.1458090.wholerock,POINT (-19.65792 134.209668),-19.6671,134.22,AUS.NT.336129,"Au, Bi, Cu",240.0
CriticalMineralDepositsGeochemistry.ga.1326.1636161.wholerock,POINT (-22.68584 136.239199),-22.6868,136.2415,AUS.NT.336208,"Cu (Au, Ag, Zn, Pb)",15551.0
CriticalMineralDepositsGeochemistry.ga.2990.1458402.wholerock,POINT (-19.71273 134.281228),-19.7162,134.2817,AUS.NT.463918,"Ag, Bi, Au, Cu",25.0
CriticalMineralDepositsGeochemistry.ga.2055.1565883.wholerock,POINT (-21.513922 134.152795),-21.5127,134.1564,AUS.NT.597284,"Cu, Zn (Pb, Ag, Co, Au)",48.0
CriticalMineralDepositsGeochemistry.ga.59.7372147.4acid,POINT (-20.724184 139.475383),-20.7434,139.4783,AUS.QLD.333400,Cu,2030.0
CriticalMineralDepositsGeochemistry.ga.457.7372630.4acid,POINT (-23.63 150.37),-23.6356,150.375,AUS.QLD.333486,"Au, Cu (Ag, Bi)",640.0
CriticalMineralDepositsGeochemistry.ga.2787.2678817.wholerock,POINT (-21.539152 140.49689),-21.54,140.5017,AUS.QLD.333596,"Cu, Au (U)",2000.0
CriticalMineralDepositsGeochemistry.ga.60.7372128.wholerock,POINT (-20.571158 139.472636),-20.5711,139.472,AUS.QLD.333688,"Zn, Pb (Ag, Cu)",
CriticalMineralDepositsGeochemistry.ga.505.7373010.wholerock,POINT (-19.699174 139.357867),-19.6961,139.366,AUS.QLD.333779,Cu,
CriticalMineralDepositsGeochemistry.ga.473.7373013.wholerock,POINT (-22.0933 140.58),-22.0939,140.5736,AUS.QLD.333785,"Cu, Au",
CriticalMineralDepositsGeochemistry.ga.57.7372072.wholerock,POINT (-20.716379 139.475553),-20.7216,139.4782,AUS.QLD.333873,"Zn, Pb, Ag (Cu)",
CriticalMineralDepositsGeochemistry.ga.514.7372537.wholerock,POINT (-18.505226 144.096768),-18.5074,144.0999,AUS.QLD.334081,"Cu (Au, Ag)",
CriticalMineralDepositsGeochemistry.ga.3560.1504797.wholerock,POINT (-20.871548 139.969483),-20.8766,139.9862,AUS.QLD.334094,Cu,89.0
CriticalMineralDepositsGeochemistry.ga.513.7372544.4acid,POINT (-17.118643 144.404724),-17.1187,144.4047,AUS.QLD.334276,"Au, Cu (Ag, Zn, Pb)",50400.0
CriticalMineralDepositsGeochemistry.ga.2691.2804792.wholerock,POINT (-20.773705 140.046083),-20.7759,140.0445,AUS.QLD.334400,Cu (Au),24.2
CriticalMineralDepositsGeochemistry.AUS.QLD.334462.482,POINT (-20.72694 139.47694),-20.7216,139.4782,AUS.QLD.334462,"Cu (Au, Co)",50000.111
CriticalMineralDepositsGeochemistry.ga.3085.2804767.wholerock,POINT (-21.041936 139.899721),-21.0446,139.9062,AUS.QLD.334660,"Cu, Co",3.5
