Iteration,Objective Value,Parameters,Time (seconds)
1,0.25523269737176535,"[32765, 32, 28319, 5985, 18700]",11.27508020401001
2,0.24494338565759713,"[30541, 23, 17081, 6743, 17457]",22.470378160476685
3,0.2958608543873975,"[38029, 20, 29658, 6457, 26984]",33.41668462753296
4,0.2645042175591449,"[20048, 42, 27350, 7155, 24619]",44.60060381889343
5,0.2745339541165418,"[17917, 32, 17752, 9491, 29818]",55.454564809799194
6,0.2814462059286094,"[43268, 45, 15832, 9832, 26735]",66.69966101646423
7,0.29011473883824707,"[40712, 44, 21943, 8884, 29441]",77.78338599205017
8,0.2581062612169299,"[28163, 19, 24384, 7337, 19057]",88.59817147254944
9,0.2506922481911144,"[31263, 22, 18447, 9608, 18386]",99.3165533542633
10,0.2622287564520819,"[16944, 35, 25847, 9920, 24479]",110.24639701843262
11,0.25271873514137627,"[11694, 38, 28682, 6932, 19652]",121.22877645492554
12,0.2552149280979599,"[40833, 27, 20486, 8775, 17874]",132.10282731056213
13,0.29726848160901354,"[19190, 15, 23321, 9585, 27674]",142.90178275108337
14,0.2878785904372814,"[42679, 33, 26481, 8347, 27428]",153.85764741897583
15,0.2577499322800515,"[41700, 38, 16630, 6681, 19183]",164.91617131233215
16,0.27060616227509143,"[23597, 18, 28832, 9046, 21809]",175.98447799682617
17,0.2669792023786767,"[20679, 40, 23908, 8060, 26460]",187.46705842018127
18,0.2763985904991941,"[39457, 16, 19832, 7421, 21428]",198.63491940498352
19,0.3106001790053621,"[10873, 17, 26130, 8174, 27169]",209.74144315719604
20,0.2539851723346417,"[13381, 33, 17335, 5680, 23065]",221.20508980751038
21,0.2495469503851122,"[32190, 30, 27650, 9307, 17164]",232.38035225868225
22,0.24497607619572065,"[18735, 23, 24800, 7559, 17630]",243.55281019210815
23,0.2547860978497339,"[25988, 37, 18668, 9185, 22556]",254.93701100349426
24,0.2617758448525675,"[35798, 21, 18017, 9277, 20528]",265.7226459980011
25,0.287223439930859,"[26478, 14, 19666, 7816, 25245]",276.35872769355774
26,0.2783055961928295,"[12139, 39, 20316, 7078, 29670]",287.4633734226227
27,0.31728620452579465,"[38856, 13, 27969, 6177, 28751]",298.2302830219269
28,0.29844916969179164,"[30268, 11, 15449, 5032, 25901]",308.9519958496094
29,0.27727424227092606,"[44957, 23, 26733, 8230, 21313]",319.6630322933197
30,0.2552414680771201,"[10405, 43, 17408, 8605, 22230]",330.8355176448822
31,0.2497455115071454,"[17285, 26, 21499, 7226, 20370]",341.7042725086212
32,0.26463305737283976,"[13975, 42, 22443, 8531, 25372]",352.84486746788025
33,0.27066219340206094,"[21873, 17, 15246, 6533, 24000]",363.6960906982422
34,0.28479085987978536,"[24396, 25, 25479, 7937, 29120]",374.5169472694397
35,0.24972479993854751,"[15136, 36, 23609, 8975, 20745]",385.48683190345764
36,0.27857188159701635,"[14660, 25, 16253, 5350, 28411]",396.69707703590393
37,0.28246766595998435,"[34200, 27, 29705, 6331, 26168]",407.9613256454468
38,0.2578601345772183,"[15629, 28, 15992, 6249, 24101]",419.3719313144684
39,0.25981801625096157,"[22904, 29, 22699, 9750, 23551]",430.4824061393738
40,0.2683647209606879,"[43741, 20, 20852, 6037, 19431]",441.2810764312744
41,0.31897362221695447,"[34522, 11, 25113, 7779, 28659]",451.9589264392853
42,0.2622826992164092,"[33796, 28, 25761, 7700, 21015]",462.7957389354706
43,0.26236040162335145,"[37936, 34, 27084, 8477, 19961]",473.7774305343628
44,0.2772646412985926,"[25139, 40, 29207, 5109, 27961]",484.93006706237793
45,0.30200785177884165,"[36991, 13, 24233, 5238, 25828]",495.72807908058167
46,0.2515455617189359,"[22185, 41, 18978, 5856, 21957]",506.9236934185028
47,0.30087108127566503,"[36524, 12, 22953, 5572, 24966]",517.6315124034882
48,0.24449404095710636,"[26965, 36, 21072, 5408, 18239]",528.5281274318695
49,0.27405259677400196,"[28428, 16, 19330, 5769, 22908]",539.2762751579285
50,0.2619233697589568,"[29466, 31, 21857, 6863, 23308]",550.1974062919617
