Iteration,Objective Value,Parameters,Time (seconds)
1,0.2829357909042779,"[28325, 28, 23175, 7725, 21150]",94.59649562835693
2,0.2829357909042779,"[28325, 28, 23175, 7725, 21150]",115.58754754066467
3,0.2829357909042779,"[28325, 28, 23175, 7725, 21150]",136.56214427947998
4,0.2829357909042779,"[28325, 28, 23175, 7725, 21150]",157.56962990760803
5,0.2780368992137188,"[27241, 29, 23196, 7513, 19631]",193.22297024726868
6,0.27156136459141167,"[27086, 30, 23613, 8271, 17310]",238.61379051208496
7,0.27156136459141167,"[27086, 30, 23613, 8271, 17310]",262.4563031196594
8,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",303.122465133667
9,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",337.2341501712799
10,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",379.1612434387207
11,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",407.56490302085876
12,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",449.2728645801544
13,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",476.3332829475403
14,0.2701521910850874,"[28008, 28, 24264, 7950, 17000]",501.24257373809814
15,0.2682005134256842,"[26411, 27, 22729, 7685, 17364]",554.1915051937103
16,0.2682005134256842,"[26411, 27, 22729, 7685, 17364]",575.1258156299591
17,0.2671210487428836,"[26068, 24, 23716, 7239, 17397]",629.1393220424652
18,0.2671210487428836,"[26068, 24, 23716, 7239, 17397]",660.6339280605316
19,0.2669442395510163,"[27230, 24, 23120, 7082, 17231]",708.4077136516571
20,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",749.7288675308228
21,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",780.8959407806396
22,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",801.8449714183807
23,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",822.7459638118744
24,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",843.6013586521149
25,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",875.0113153457642
26,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",906.231992483139
27,0.26507045398622087,"[23970, 21, 21782, 6553, 17745]",937.924224615097
