Iteration,Objective Value,Parameters,Time (seconds)
1,0.28888349240399647,"[27500, 27, 22500, 7500, 23500]",10.057891130447388
2,0.2863410843975902,"[23369, 27, 22500, 7500, 23500]",19.927932739257812
3,0.29205959180573127,"[31631, 27, 22500, 7500, 23500]",29.906167030334473
4,0.28548125139569536,"[18262, 27, 22500, 7500, 23500]",39.955410957336426
5,0.2854979686672307,"[18667, 27, 22500, 7500, 23500]",49.87087106704712
6,0.28564493204686603,"[17699, 27, 22500, 7500, 23500]",59.86210656166077
7,0.2854966129719463,"[18404, 27, 22500, 7500, 23500]",69.8163149356842
8,0.2854968607625972,"[18047, 27, 22500, 7500, 23500]",79.858722448349
9,0.2854583877308553,"[18226, 27, 22500, 7500, 23500]",89.74013495445251
10,0.28547202558306217,"[18158, 27, 22500, 7500, 23500]",99.74199604988098
11,0.28546394439788036,"[18205, 27, 22500, 7500, 23500]",109.74811053276062
12,0.2854672791560709,"[18240, 27, 22500, 7500, 23500]",119.74326729774475
13,0.28545457712004857,"[18220, 27, 22500, 7500, 23500]",129.6657030582428
14,0.2854533069164464,"[18218, 27, 22500, 7500, 23500]",139.66599011421204
15,0.2854501314074408,"[18213, 27, 22500, 7500, 23500]",149.55814623832703
16,0.28544822610203746,"[18210, 27, 22500, 7500, 23500]",159.56751489639282
17,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",169.43844747543335
18,0.285464578519057,"[18206, 27, 22500, 7500, 23500]",179.41996884346008
19,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",189.28363800048828
20,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",199.1807758808136
21,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",208.99559092521667
22,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",218.91106605529785
23,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",228.86962175369263
24,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",238.7202320098877
25,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",248.60440063476562
26,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",258.66282963752747
27,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",268.609002828598
28,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",278.57664728164673
29,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",288.5527763366699
30,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",298.5216488838196
31,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",308.3940489292145
32,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",318.34108686447144
33,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",328.1345453262329
34,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",338.0345244407654
35,0.2854469558984353,"[18208, 27, 22500, 7500, 23500]",347.86090660095215
36,0.28549145423829103,"[18208, 23, 22500, 7500, 23500]",357.7096645832062
37,0.2881659392053753,"[18208, 32, 22500, 7500, 23500]",367.60886001586914
38,0.28817410981671976,"[18208, 18, 22500, 7500, 23500]",377.4705545902252
39,0.28567376485066526,"[18208, 25, 22500, 7500, 23500]",387.43034744262695
40,0.28598752060495836,"[18208, 22, 22500, 7500, 23500]",397.3666388988495
41,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",407.2541971206665
42,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",417.3268258571625
43,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",427.3525056838989
44,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",437.33030819892883
45,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",447.295756816864
46,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",457.27636337280273
47,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",467.1814298629761
48,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",477.0992066860199
49,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",486.9897747039795
50,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",496.96868872642517
51,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",506.85607504844666
52,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",516.786737203598
53,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",526.8152277469635
54,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",536.8780419826508
55,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",546.8744282722473
56,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",556.7841076850891
57,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",566.7319445610046
58,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",576.5557334423065
59,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",586.5123057365417
60,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",596.3775148391724
61,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",606.3749361038208
62,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",616.2648556232452
63,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",626.2084097862244
64,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",636.1809377670288
65,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",646.2457203865051
66,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",656.2483444213867
67,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",666.2548167705536
68,0.285053010779669,"[18208, 24, 22500, 7500, 23500]",676.2212154865265
69,0.2837791633726882,"[18208, 24, 20729, 7500, 23500]",686.15474152565
70,0.2863268581866499,"[18208, 24, 24271, 7500, 23500]",696.1351597309113
71,0.28220537561070397,"[18208, 24, 18541, 7500, 23500]",705.9968438148499
72,0.28123218784015336,"[18208, 24, 17188, 7500, 23500]",715.9787495136261
73,0.2806315878487197,"[18208, 24, 16353, 7500, 23500]",725.8890404701233
74,0.28025971935102967,"[18208, 24, 15836, 7500, 23500]",736.0282351970673
75,0.2800302685758592,"[18208, 24, 15517, 7500, 23500]",746.1063346862793
76,0.2798878508533396,"[18208, 24, 15319, 7500, 23500]",756.1631095409393
77,0.2798000985192619,"[18208, 24, 15197, 7500, 23500]",766.2337074279785
78,0.2797461524122469,"[18208, 24, 15122, 7500, 23500]",776.1455028057098
79,0.27971234618518415,"[18208, 24, 15075, 7500, 23500]",786.0874915122986
80,0.2796922063052319,"[18208, 24, 15047, 7500, 23500]",796.1005382537842
81,0.27967925923954834,"[18208, 24, 15029, 7500, 23500]",806.0418028831482
82,0.2796713471438528,"[18208, 24, 15018, 7500, 23500]",815.8784449100494
83,0.27966631217386473,"[18208, 24, 15011, 7500, 23500]",825.8314545154572
84,0.2796634350481572,"[18208, 24, 15007, 7500, 23500]",835.7296147346497
85,0.27966127720387657,"[18208, 24, 15004, 7500, 23500]",845.6318004131317
86,0.27966055792244976,"[18208, 24, 15003, 7500, 23500]",855.6153516769409
87,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",865.7060873508453
88,0.2796598386410229,"[18208, 24, 15002, 7500, 23500]",875.6912543773651
89,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",885.7668273448944
90,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",895.6720561981201
91,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",905.5400066375732
92,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",915.5479021072388
93,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",925.4871845245361
94,0.27965911935959603,"[18208, 24, 15001, 7500, 23500]",935.4937250614166
