Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122.408813,1210761795.6780317,343672102.7813636,973780223.949418,-26740.39484799914,637339.1565748941,123999468.69200754,0.2626632483716001,3525,2.273736754432321e-11,1969558247.65,4254598.2952785045,0.0,1.1544399649745089e-18,100.0,25
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269.131793,1317928905.2033231,270832585.3646912,1014395778.5637792,-30038.96465056025,663922.0370699934,129636920.48871449,0.2746048430984233,3750,1.3642420526593924e-10,1969558247.65,4719993.232924412,0.0,6.9266397898470515e-18,100.0,25
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939.156012,1211514843.7292175,350234202.4689777,968504892.9578166,-29935.369991156247,633886.452440891,123434053.82682204,0.2614655520690773,3450,1.8189894035458562e-10,1969558247.65,4334743.947422783,0.0,9.23551971979607e-18,100.0,25
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718.3393407,1343817133.3373835,405647025.0709801,955623559.930977,-35557.03724469601,625455.6199748245,132126131.5094144,0.2798776419214844,4875,6.821210263296962e-11,1969558247.65,6210790.241447101,0.0,3.4633198949235254e-18,100.0,25
-20.2545,140.1558,AUS.QLD.335006,21478,8000,17000,5000,2387,2591367826.8396497,1224334660.5597866,449367133.46423286,917666032.8156302,-35978.068820629815,600612.4184778299,120198946.78748612,0.2546127507406102,3150,2.273736754432321e-11,1969558247.65,4784249.508013669,0.0,1.1544399649745089e-18,100.0,25
-20.5636,139.9752,AUS.QLD.335227,17392,31000,17000,5000,3883,3173744285.5982075,992140828.7749884,1603187602.952881,578415853.8703376,-60069.95827751963,378573.176358136,103715165.76663888,0.2196957989661149,6725,1.1368683772161603e-10,1969558247.65,11755763.601591056,0.0,5.772199824872543e-18,100.0,25
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093.3174767,1019039449.6216284,1868994678.9273293,457874964.7685189,-55184.597755386494,299679.1644409956,93287026.3240506,0.197606277056423,7400,2.273736754432321e-11,1969558247.65,13161208.84489039,0.0,1.1544399649745089e-18,100.0,25
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553.2830825,918183341.365671,1866190619.1825647,500960592.7348466,-14148.129324174522,327878.7079449571,97735436.38487136,0.2070291709525757,6575,9.094947017729281e-11,1969558247.65,4131342.226940062,0.0,4.6177598598980356e-18,100.0,25
-22.0939,140.5736,AUS.QLD.333785,20164,8000,17000,5000,2574,2551602196.0705237,1171939523.949469,465054279.65133226,914608392.469722,-37039.512874081134,598611.192871433,119238175.3657935,0.2525775860320323,3250,0.0,1969558247.65,5535072.056081257,0.0,0.0,100.0,25
-20.7216,139.4782,AUS.QLD.333873,23508,9000,17000,5000,2405,2727723255.306989,1333824731.5247488,506984286.8854781,886914236.8967625,-37278.160885992205,580485.368048931,119553629.46250372,0.2532458001673673,3225,0.0,1969558247.65,4342928.487831449,0.0,0.0,100.0,25
-31.1051,137.1544,AUS.SA.335512,21543,9000,17000,5000,2240,2599042345.029414,1182737306.6161845,554515937.2306322,861789101.1825978,-37429.42087713939,564040.9667240102,117061412.80386798,0.2479666346184485,5025,0.0,1969558247.65,5336068.960549226,0.0,0.0,100.0,25
-30.4374,136.8893,AUS.SA.335647,22176,9000,17000,5000,2917,2627788422.7894683,1222598864.1731963,537457863.4135689,867731695.202703,-40631.70929531746,567930.394510169,117597847.9694446,0.249102944351203,4875,2.273736754432321e-11,1969558247.65,6399790.367929762,0.0,1.1544399649745089e-18,100.0,25
-20.8108,117.0665,AUS.WA.334705,18261,28000,17000,5000,1005,2980093653.807064,1094185394.4021535,1293654749.4677837,592253509.9371269,-14835.700993190125,387629.9222538495,102804031.69126448,0.2177657791163175,5250,9.094947017729281e-11,1969558247.65,3486325.4320850624,0.0,4.6177598598980356e-18,100.0,25
-31.1389,121.6784,AUS.WA.334902,15862,33000,17000,5000,1002,3382790547.4254622,858350496.4786899,2064780329.4541745,459659721.49259824,-16062.894466562757,300847.2877169055,93396148.12192312,0.1978374255137486,6675,5.6843418860808015e-11,1969558247.65,4468619.934559247,0.0,2.8860999124362723e-18,100.0,25
-22.1991,122.3141,AUS.WA.335631,19065,32000,17000,5000,1024,3190790383.1473308,1092849570.5063674,1573757008.82683,524183803.8141331,-17733.321098338874,343078.29959635006,99821158.54648905,0.2114472750295526,5025,9.094947017729281e-11,1969558247.65,3655748.646596407,0.0,4.6177598598980356e-18,100.0,25
-29.1785,116.9774,AUS.WA.335652,30739,10000,17000,5000,2682,3171879357.294484,1741715444.9069755,653271706.7692088,776892205.6182995,-40710.27683371175,508475.948577177,114251818.61785962,0.242015180605884,4425,0.0,1969558247.65,4892041.4677,0.0,0.0,100.0,25
-20.9549,140.9799,AUS.QLD.336037,20661,8000,17000,5000,2386,2573016570.984001,1184013306.9222455,462323882.6826301,926679381.3791254,-36704.04270317789,606511.6551126376,120496783.89488328,0.2552436474931507,3600,0.0,1969558247.65,5449941.846763369,0.0,0.0,100.0,25
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363.072203,1218458515.500523,315183176.604814,979732670.9668657,-29685.54778621892,641235.0331478135,125410006.32890528,0.2656511353485855,3575,3.410605131648481e-10,1969558247.65,4354410.618750516,0.0,1.731659947461763e-17,100.0,25
-24.017,148.917,AUS.QLD.443072,22845,19000,17049,5000,3047,2640921932.7092133,1216465691.1365309,483960672.5581678,940495569.0145144,-44415.73777030333,615554.3499199997,132480377.10909764,0.2806280265877709,3900,6.821210263296962e-11,1969558247.65,6649159.298404069,0.0,3.4633198949235254e-18,100.0,25
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958.4286294,1261714128.371353,441080726.86782265,888734103.1894537,-26620.272600564185,581676.4705374974,118984213.95964544,0.2520396294697702,3075,1.3642420526593924e-10,1969558247.65,3755433.8998504505,0.0,6.9266397898470515e-18,100.0,25
-12.9681,131.1124,AUS.NT.335011,25785,9000,17000,5000,2623,2580674077.4896383,1304048299.3953066,264098340.36773556,1012527437.7265962,-38861.34736273522,662699.2079920572,131710926.01811996,0.2789981282894058,3675,0.0,1969558247.65,5745455.188317577,0.0,0.0,100.0,25
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573319.690991,1237346322.4342394,441080726.86782265,888146270.388929,-29855.425997966944,581291.7339695541,119059293.20141868,0.2521986669054742,3375,4.5474735088646405e-11,1969558247.65,4625952.012636084,0.0,2.3088799299490174e-18,100.0,25
