Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-20.4447,140.7058,AUS.QLD.334994,22350,8000,17000,5000,2621,2650987280.343369,1279605927.0062177,451114776.8241529,920266576.5129983,-62154.880318525975,602314.4743277574,120682023.1231779,0.255636032540788,9375,2.2396307031158358e-09,1969558247.65,17104009.71353694,0.0,1.1371233654998906e-16,100.0,25
-20.2545,140.1558,AUS.QLD.335006,21478,8000,17000,5000,2387,2591367826.8396497,1224334660.5597866,449367133.46423286,917666032.8156302,-56576.11137917721,600612.4184778299,120198946.78748612,0.2546127507406102,9575,2.5693225325085223e-09,1969558247.65,15854969.01027943,0.0,1.3045171604211946e-16,100.0,25
-20.5636,139.9752,AUS.QLD.335227,20740,8000,17000,5000,2371,2555137269.740958,1183129111.030335,449367133.46423286,922641025.2463902,-58273.181086984514,603868.5510237623,120558682.45005631,0.2553747647934324,9925,2.478373062331229e-09,1969558247.65,16184132.91801394,0.0,1.2583395618222143e-16,100.0,25
-22.6513,136.268,AUS.NT.334762,24199,9000,17000,5000,2342,2814858023.418523,1401790593.350055,559045775.2034932,854021654.8649747,-50491.29969373051,558957.1731091259,117173971.55161934,0.2482050634329335,7325,2.091837814077735e-09,1969558247.65,11633086.140230974,0.0,1.0620847677765479e-16,100.0,25
-13.4996,131.713,AUS.NT.334824,24887,9000,17000,5000,2787,2601783588.1729417,1305587301.4127986,313292628.8789826,982903657.8811606,-67999.36854328278,643310.4440832196,128606136.74679343,0.2724213740168411,8325,1.7507773009128867e-09,1969558247.65,17001711.943865467,0.0,8.889187730303717e-17,100.0,25
-19.4387,134.0281,AUS.NT.334931,24410,9000,17000,5000,2538,2776721907.4758954,1400107855.734499,566355266.2204136,810258785.5209829,-57301.58878499904,530314.3751234832,114024765.10164452,0.2415342219795903,8100,2.148681232938543e-09,1969558247.65,14518386.907994336,0.0,1.0909457669009107e-16,100.0,25
-20.3054,140.1508,AUS.QLD.455378,21085,8000,17000,5000,2411,2572520862.4475374,1204755450.385642,449367133.46423286,918398278.5976626,-57933.12614030353,601091.6733421701,120200945.90641037,0.2546169853964201,9700,2.432898327242583e-09,1969558247.65,16140410.00372129,0.0,1.2352507625227242e-16,100.0,25
-22.0815,140.5842,AUS.QLD.558218,20261,8000,17000,5000,2425,2556519708.123248,1175373812.4045153,465054279.65133226,916091616.0674008,-58986.78767297996,599581.9627161137,119326174.01177908,0.2527639901388457,9425,2.3305801732931286e-09,1969558247.65,16258824.39177952,0.0,1.1833009640988712e-16,100.0,25
-35.0919,139.0054,AUS.SA.333599,20652,33000,17000,5000,1271,3054161511.934273,906028611.021067,1532420109.5862207,615712791.326985,-26806.75969153681,402984.0219235117,111878240.94528726,0.2369873234036189,5425,1.1823431123048067e-09,1969558247.65,4696397.137716614,0.0,6.003087817867444e-17,100.0,25
-41.8501,145.5144,AUS.TAS.333976,50000,31000,17000,5000,10000,3431824440.972706,1557750267.964134,1198187321.4981215,675886851.5104501,-104296.88451697254,442367.9443135896,131832307.31862204,0.279255245574002,4800,1.1596057447604835e-09,1969558247.65,11655170.971929092,0.0,5.887643821369992e-17,100.0,25
-41.5746,145.7221,AUS.TAS.334055,32231,28000,17000,5000,7072,2559143359.596385,1019689917.6454396,630540399.3904748,908913042.560471,-105356.33891502756,594883.5863558283,145347089.0201353,0.3078830816461846,6550,1.3415046851150692e-09,1969558247.65,16898998.204754118,0.0,6.811195793349601e-17,100.0,25
-41.2245,148.0131,AUS.TAS.334077,50000,28000,17000,5000,9023,4242894046.05584,1826383946.538831,1948972660.382224,467537439.1347849,-92345.86663570456,306003.25391371665,106127170.20721988,0.2248050540954521,3175,1.0118128557223827e-09,1969558247.65,7562742.004102241,0.0,5.137257844136564e-17,100.0,25
-35.5901,149.4372,AUS.NSW.335061,29463,9000,17000,5000,2814,2548559347.4671097,1271078394.4619496,187339886.42293164,1090141066.5822282,-67615.14554232197,713497.3280780682,141810985.702767,0.3003926916169778,8550,1.2164491636212915e-09,1969558247.65,15468030.098148638,0.0,6.176253812613621e-17,100.0,25
-31.3956,146.7216,AUS.NSW.335156,22447,9000,17000,5000,2198,2542194888.3499327,1151581851.267748,453452996.4941806,937160040.5880036,-54505.81801965014,613371.2465648483,124588036.67341216,0.2639099890190721,9250,2.3419488570652902e-09,1969558247.65,13610033.621396042,0.0,1.1890731639237441e-16,100.0,25
-32.9135,148.0498,AUS.NSW.335362,25737,9000,17000,5000,2774,2611754498.849944,1244018595.2991507,417705386.39043,950030517.1603632,-65297.794411810246,621794.9734814577,127681382.86217456,0.2704625038552151,8700,2.000888343900442e-09,1969558247.65,15034379.613656426,0.0,1.0159071691775675e-16,100.0,25
-21.6784,140.4744,AUS.QLD.335458,16850,34000,17000,5000,5952,3299311226.3868117,968911934.8724934,1802026808.4753504,528372483.03896767,-87440.22570804352,345819.7901490043,100999184.66988252,0.2139426419170164,5475,1.2505552149377763e-09,1969558247.65,14445317.656593056,0.0,6.349419807359798e-17,100.0,25
-20.625,140.6885,AUS.QLD.335574,22554,6000,17000,9000,1818,2608965959.6352224,1300246722.3300688,339794379.7359822,968924857.5691712,-37927.998382049234,634161.3192790226,124081017.1755126,0.2628359893502765,8925,1.5234036254696546e-09,1969558247.65,11200487.802953169,0.0,7.734747765329207e-17,100.0,25
-20.7406,139.9112,AUS.QLD.335769,21062,8000,17000,5000,2387,2577958859.091213,1205616488.3977728,449367133.46423286,922975237.2292074,-58605.96613296547,604087.2927665162,120685402.33806172,0.2556431906001546,9850,2.637534635141492e-09,1969558247.65,16137352.957023025,0.0,1.33915035937043e-16,100.0,25
-23.6356,150.375,AUS.QLD.333486,22679,9000,17000,5000,2485,2536878766.8842936,1177469932.749458,445860227.8336132,913548606.3012222,-59071.87733665514,597917.5628241498,122847577.3076842,0.2602232416847236,7625,2.603428583825007e-09,1969558247.65,11916747.39578342,0.0,1.3218337598958123e-16,100.0,25
-21.54,140.5017,AUS.QLD.333596,20996,8000,17000,5000,2379,2590049837.2789,1207823690.7293477,469901990.9264288,912324155.6231236,-58016.60165380726,597116.1598553344,119554881.99596168,0.2532484533602417,9400,2.4556356947869062e-09,1969558247.65,15730348.143374288,0.0,1.2467951621724691e-16,100.0,25
-20.5711,139.472,AUS.QLD.333688,20900,8000,17000,5000,2448,2567723424.3135386,1199539953.883577,450755247.837915,917428222.5920464,-59840.840631455336,600456.7716864944,120057227.16468878,0.2543125515794798,9600,1.944044925039634e-09,1969558247.65,16724175.10492916,0.0,9.870461700532048e-17,100.0,25
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623581.5531406,1237095761.663013,370300597.90084,954227221.9892874,-32526.170467371398,624541.7167919886,124586076.26178296,0.2639058363554187,6875,1.944044925039634e-09,1969558247.65,7424459.959192423,0.0,9.870461700532048e-17,100.0,25
-32.0637,146.3085,AUS.NSW.335658,22734,9000,17000,5000,2322,2564586115.496991,1161175434.1595922,491320619.46887743,912090061.868522,-55288.85401333421,596962.9454929476,122617518.71364516,0.2597359175190356,9225,2.137312549166381e-09,1969558247.65,14092187.705016308,0.0,1.0851735670760381e-16,100.0,25
-33.4574,148.9957,AUS.NSW.335835,28855,9000,17000,5000,2861,2604283149.88576,1318077463.0261638,224427864.0642272,1061777822.7953686,-69153.68272058973,694933.5850195687,138682265.88033658,0.2937652461894059,8400,1.921307557495311e-09,1969558247.65,15435956.351758389,0.0,9.755017704034598e-17,100.0,25
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177893.5426173,1252837551.1926095,438932815.4345772,898407526.9154304,-35935.94383351989,588007.7263661491,119831428.18933605,0.2538342503982672,8725,2.194155968027189e-09,1969558247.65,10336939.509750731,0.0,1.1140345662004007e-16,100.0,25
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501.0546355,1177530901.6861703,404002198.4739235,907303400.8945416,-45136.71064435897,593830.0758854776,119572005.57877035,0.2532847255792417,7725,1.909938873723149e-09,1969558247.65,11122017.462959852,0.0,9.697295705785872e-17,100.0,25
-31.8199,123.1924,AUS.WA.561110,22974,6000,17000,10000,1864,2559943187.627767,1196915911.909624,418900034.7733055,944127240.9448376,-35305.649035950955,617931.2791983963,124567201.96044569,0.2638658556574989,8250,1.682565198279917e-09,1969558247.65,10342575.051664123,0.0,8.542855740811362e-17,100.0,25
-18.5074,144.0999,AUS.QLD.334081,22797,9000,17000,5000,2095,2621043220.941205,1253047071.6807282,466789454.3070891,901206694.9533876,-52819.49749457868,589839.7818469921,121204378.1998964,0.2567425169693226,8700,2.3419488570652902e-09,1969558247.65,13098262.834021645,0.0,1.1890731639237441e-16,100.0,25
-20.8766,139.9862,AUS.QLD.334094,21059,8000,17000,5000,2399,2583562376.292149,1208122891.425321,456150915.2243236,919288569.642504,-58586.28296349778,601674.3688310189,120257394.08531564,0.2547365573767868,9325,1.978150976356119e-09,1969558247.65,16068943.752884336,0.0,1.0043627695278226e-16,100.0,25
-17.1187,144.4047,AUS.QLD.334276,23891,9000,17000,5000,2720,2646736088.412118,1297401677.525492,401822687.2295627,947511723.6570634,-66351.58705266031,620146.4231335479,125324048.94393262,0.2654690551655282,8125,1.739408617140725e-09,1969558247.65,16381910.409001697,0.0,8.831465732054991e-17,100.0,25
-20.7759,140.0445,AUS.QLD.334400,20679,8000,17000,5000,2348,2563850783.024654,1188272282.209473,456150915.2243236,919427585.5908576,-56886.82381268209,601765.3547692163,120172133.1570172,0.2545559524707958,9325,1.932676241267472e-09,1969558247.65,15873010.52577326,0.0,9.812739702283324e-17,100.0,25
-20.7216,139.4782,AUS.QLD.334462,23508,9000,17000,5000,2405,2727723255.306989,1333824731.5247488,506984286.8854781,886914236.8967625,-58742.84794360364,580485.368048931,119553629.46250372,0.2532458001673673,9025,2.091837814077735e-09,1969558247.65,16039538.394799968,0.0,1.0620847677765479e-16,100.0,25
-21.0446,139.9062,AUS.QLD.334660,21470,8000,17000,5000,2416,2598169542.2747416,1221311020.19155,456150915.2243236,920707606.8588682,-58945.99180735799,602603.1286891293,120639152.5793155,0.2555452215362802,9575,2.114575181622058e-09,1969558247.65,16321035.295704234,0.0,1.0736291674262931e-16,100.0,25
-33.5265,149.1588,AUS.NSW.333484,29313,8000,17000,5000,3011,2569681075.666333,1344730187.261262,76058311.06464155,1148892577.3404295,-77183.97424201417,751950.1918693112,144780346.20257667,0.3066825723938347,8400,1.2505552149377763e-09,1969558247.65,17125867.85646535,0.0,6.349419807359798e-17,100.0,25
-31.1629,145.6538,AUS.NSW.333485,17041,33000,17000,5000,8532,3118337998.1374874,894307501.5215721,1652801128.4002335,571229368.2156818,-81181.77385602803,373869.6214971637,105448244.41224332,0.2233669120082892,4875,8.185452315956353e-10,1969558247.65,11900217.589998534,0.0,4.155983873908231e-17,100.0,25
-31.5001,145.8422,AUS.NSW.334161,16510,31000,17000,5000,7285,3030735565.995117,860467420.5344503,1586745892.9348283,583522252.5258386,-81479.56509157346,381915.3142781613,105038959.75650504,0.2224999402517255,5025,1.1823431123048067e-09,1969558247.65,11793235.153363582,0.0,6.003087817867444e-17,100.0,25
-19.7162,134.2817,AUS.NT.463918,31343,10000,17000,5000,2463,3203135412.6293488,1808917223.728165,632841678.3753064,761376510.525877,-53794.4729686039,498320.9261391865,113494125.43396996,0.2404101886244764,7050,1.98951966012828e-09,1969558247.65,12309776.858420752,0.0,1.010134969352695e-16,100.0,25
-21.5127,134.1564,AUS.NT.597284,24363,9000,17000,5000,2363,2818430254.652483,1399167866.7622812,595775346.7030207,823487041.1871809,-53523.86618867824,538972.2684570099,114957077.51742785,0.2435091030835978,7300,1.512034941697493e-09,1969558247.65,13107680.418742198,0.0,7.677025767080482e-17,100.0,25
-20.7434,139.4783,AUS.QLD.333400,20824,8000,17000,5000,2386,2561493674.6468096,1190919061.9292388,450755247.837915,919819364.8796556,-58254.5040302453,602021.7743137346,120259149.07974818,0.2547402749131874,9700,1.830358087318018e-09,1969558247.65,16452179.819427606,0.0,9.293241718044794e-17,100.0,25
-31.5161,145.8551,AUS.NSW.334374,18583,33000,17000,5000,6022,3191168852.7660484,959132469.1519028,1670155393.9978726,561880989.6162727,-84822.37579019714,367751.1077038504,104904402.30642128,0.2222149124422969,4700,1.1368683772161603e-09,1969558247.65,10776744.054446084,0.0,5.772199824872543e-17,100.0,25
-31.5212,145.8578,AUS.NSW.334832,18583,33000,17000,5000,6022,3191168852.7660484,959132469.1519028,1670155393.9978726,561880989.6162727,-84822.37579019714,367751.1077038504,104904402.30642128,0.2222149124422969,4700,1.1368683772161603e-09,1969558247.65,10776744.054446084,0.0,5.772199824872543e-17,100.0,25
-31.2586,146.8719,AUS.NSW.334834,22876,9000,17000,5000,2373,2559159308.862172,1172013914.863395,453452996.4941806,933692397.504596,-56060.56075023173,611101.674166758,124389402.46235327,0.2634892299007887,9225,2.5693225325085223e-09,1969558247.65,14158673.41340273,0.0,1.3045171604211946e-16,100.0,25
-41.2021,146.8156,AUS.TAS.334630,20211,30000,17000,5000,4344,3220537693.2440467,793386088.3812332,1891636252.479962,535515352.3828512,-76489.2792765761,350494.7981345761,100750392.0208068,0.2134156341316885,4550,1.2050804798491301e-09,1969558247.65,10510998.829199117,0.0,6.118531814364895e-17,100.0,25
-41.4269,145.5264,AUS.TAS.335457,34784,11000,17000,5000,3022,2509850977.4914,1145736222.856609,269040132.05167544,1095074622.583115,-83808.70462543613,716726.3404806488,149564864.97610876,0.3168174322945034,11775,2.830802259268239e-09,1969558247.65,19808169.64265076,0.0,1.437277756393263e-16,100.0,25
-42.061,145.5855,AUS.TAS.335962,27766,33000,17000,5000,1000,2848182298.211993,866530580.118554,1263699695.5931988,717952022.5002406,-20912.563146163764,469899.5987264074,127073095.48662584,0.2691739923826223,9500,1.4097167877480388e-09,1969558247.65,6674882.919558978,0.0,7.157527782841953e-17,100.0,25
-29.72,135.5749,AUS.SA.333675,27061,9000,17000,5000,2722,2903757906.1103315,1497575171.1501446,566158186.4967154,840024548.4634712,-55379.08970493272,549796.0669693418,117369028.41189632,0.248618244788289,6750,2.1032064978498966e-09,1969558247.65,11361773.575036796,0.0,1.0678569676014203e-16,100.0,25
-31.1051,137.1544,AUS.SA.335512,21543,9000,17000,5000,2240,2599042345.029414,1182737306.6161845,554515937.2306322,861789101.1825978,-48261.72492183115,564040.9667240102,117061412.80386798,0.2479666346184485,6200,1.6143530956469474e-09,1969558247.65,9352753.314465104,0.0,8.196523751319011e-17,100.0,25
-30.4374,136.8893,AUS.SA.335647,22176,9000,17000,5000,2917,2627788422.7894683,1222598864.1731963,537457863.4135689,867731695.202703,-62499.98025617132,567930.394510169,117597847.9694446,0.249102944351203,6700,1.659827830735594e-09,1969558247.65,12370961.6621428,0.0,8.427411744313913e-17,100.0,25
-20.8771,117.8091,AUS.WA.333611,21634,8000,17000,5000,2574,2576428582.032511,1288506084.001089,392800204.80150765,895122293.2299141,-57534.02030822295,585857.5409189787,118010399.14208704,0.2499768354433893,8175,2.137312549166381e-09,1969558247.65,15055443.221549338,0.0,1.0851735670760381e-16,100.0,25
-27.599,120.5777,AUS.WA.333803,21041,9000,17000,5000,2225,2606974952.426184,1190671398.062101,583355641.8331645,832947912.5309184,-48399.76076160277,545164.4087514861,114432916.03409244,0.2423987922142334,7725,2.421529643470421e-09,1969558247.65,11077390.49775241,0.0,1.2294785626978515e-16,100.0,25
-28.7772,116.9626,AUS.WA.333890,31305,10000,17000,5000,2504,3209886113.6933994,1783524839.8895729,653271706.7692088,773089567.0346179,-54717.516019774666,505987.12162415736,114083625.48434748,0.2416589036373767,6125,1.3528733688872308e-09,1969558247.65,10512615.311696876,0.0,6.868917791598327e-17,100.0,25
-21.545,140.497,AUS.QLD.335859,21043,8000,17000,5000,2386,2593088693.4160786,1211067378.170572,469901990.9264288,912119324.3190776,-57876.979217178174,596982.0977668364,119571952.1342408,0.2532846123697749,9450,2.546585164964199e-09,1969558247.65,15696650.92527782,0.0,1.2929727607714494e-16,100.0,25
-19.474,139.3889,AUS.QLD.335937,22740,9000,17000,5000,2545,2664820644.545862,1289017065.9899387,486704593.4364887,889098985.1194346,-61910.95840951637,581915.28576067,119490093.24917167,0.2531112138795464,9250,1.966782292583957e-09,1969558247.65,16938768.94078749,0.0,9.9859056970295e-17,100.0,25
-21.2785,140.5052,AUS.QLD.335949,20741,8000,17000,5000,2457,2582767311.5956163,1203172533.3198714,469901990.9264288,909692787.349316,-60335.31955853093,595393.9293201272,119053949.31222384,0.2521873471529813,9375,2.523847797419876e-09,1969558247.65,16345192.22780451,0.0,1.2814283611217042e-16,100.0,25
-41.603,145.6999,AUS.TAS.333591,32006,28000,17000,5000,1000,2573089197.687605,1044550277.1856468,630540399.3904748,897998521.1114833,-22127.140894621512,587740.0320674658,144073165.89267942,0.3051845798674037,11700,1.0686562745831907e-09,1969558247.65,8764447.80885716,0.0,5.4258678353801904e-17,100.0,25
-41.477,145.385,AUS.TAS.333707,32691,28000,17000,5000,1000,2582119693.4226875,1047812922.523102,630540399.3904748,903766371.5091108,-22155.104794721494,591515.090152713,145018632.1703906,0.3071873242851742,11250,1.114131009671837e-09,1969558247.65,8140677.601990558,0.0,5.656755828375092e-17,100.0,25
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883395.724556,1516460148.1048777,1059427069.1416094,712996178.4780686,-20940.774280445497,466655.9988138959,133078192.59147604,0.2818943558566355,8475,1.2050804798491301e-09,1969558247.65,5916506.779698907,0.0,6.118531814364895e-17,100.0,25
-20.9549,140.9799,AUS.QLD.336037,20661,8000,17000,5000,2386,2573016570.984001,1184013306.9222455,462323882.6826301,926679381.3791254,-57846.38324326044,606511.6551126376,120496783.89488328,0.2552436474931507,9275,2.023625711444765e-09,1969558247.65,15964182.424295476,0.0,1.0274515688273127e-16,100.0,25
-19.1596,139.4342,AUS.QLD.336263,23945,9000,17000,5000,2372,2706504840.656465,1343833772.8523054,470757297.7310996,891913770.0730605,-57023.86494015714,583757.5625128181,120335907.29245593,0.2549028688476751,9250,1.887201506178826e-09,1969558247.65,16033760.505069038,0.0,9.58185170928842e-17,100.0,25
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211565.7129726,1249000490.8460517,483960672.5581678,938250402.3087533,-25633.61827486868,614084.888311079,132373964.63951808,0.280402617195119,8425,2.114575181622058e-09,1969558247.65,6132479.926497707,0.0,1.0736291674262931e-16,100.0,25
-20.1656,139.4582,AUS.QLD.334842,23598,9000,17000,5000,2406,2728127003.45735,1347945514.413254,493686891.1466397,886494597.897456,-57483.884070277054,580210.7143238849,119507474.95966232,0.2531480328803686,9000,2.171418600482866e-09,1969558247.65,15924753.788158938,0.0,1.1024901665506555e-16,100.0,25
-18.609,143.993,AUS.QLD.334950,22938,6000,17000,9000,1840,2579280276.5927086,1275410531.2255502,315501144.97864574,988368600.3885126,-38606.048428358976,646887.2489542814,126828204.82207738,0.2686552500192502,8350,1.2164491636212915e-09,1969558247.65,11121562.553480338,0.0,6.176253812613621e-17,100.0,25
-20.7187,140.6487,AUS.QLD.334977,22587,6000,17000,9000,1778,2606287632.0332203,1293917288.168177,339794379.7359822,972575964.1290612,-36640.97039044632,636550.9685224706,124580712.6109818,0.2638944747426842,8925,1.4097167877480388e-09,1969558247.65,10996256.303378075,0.0,7.157527782841953e-17,100.0,25
-19.486,133.9023,AUS.NT.335010,30668,10000,17000,5000,2503,3149493832.002332,1754361015.494409,628177422.2352417,766955394.2726806,-56185.08377524893,501972.30555146944,113905454.75370796,0.2412814915132106,7000,1.432454155292362e-09,1969558247.65,12966837.861612285,0.0,7.272971779339405e-17,100.0,25
-12.9681,131.1124,AUS.NT.335011,25785,9000,17000,5000,2623,2580674077.4896383,1304048299.3953066,264098340.36773556,1012527437.7265962,-62795.680963568426,662699.2079920572,131710926.01811996,0.2789981282894058,8425,1.77351466845721e-09,1969558247.65,16208980.514906297,0.0,9.004631726801168e-17,100.0,25
-19.5535,134.0588,AUS.NT.335952,29806,10000,17000,5000,2474,3099965114.3732185,1704895018.41689,628177422.2352417,766892673.7210872,-55641.8152636826,501931.2549504516,113455419.08653232,0.2403281984751813,6975,1.546140993013978e-09,1969558247.65,12743084.488732992,0.0,7.850191761826658e-17,100.0,25
-17.1813,137.7848,AUS.NT.333325,24507,9000,17000,5000,2766,2623818107.904245,1339722121.216746,393975034.63400376,890120952.0534949,-63543.12393995626,582584.1631190124,121084279.54937153,0.2564881166722515,7275,2.091837814077735e-09,1969558247.65,13867910.708730388,0.0,1.0620847677765479e-16,100.0,25
-19.6271,134.15,AUS.NT.333391,21074,10000,17000,6000,1912,2635260244.0359106,1216170017.499136,632841678.3753064,786248548.161468,-45391.8909698852,514599.6747716808,111593742.22990245,0.2363846808477371,7925,1.98951966012828e-09,1969558247.65,10564463.437103216,0.0,1.010134969352695e-16,100.0,25
-16.436,136.0985,AUS.NT.333587,24643,9000,17000,5000,2831,2642551926.555785,1342620943.805514,378028764.3010168,921902218.4492544,-65900.49084861104,603385.001975037,123578415.14307776,0.2617713470266437,7525,2.1259438653942198e-09,1969558247.65,15167887.853203883,0.0,1.0794013672511655e-16,100.0,25
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466.223485,1315969640.1446333,147833082.33246937,1082184743.7463827,-35472.66798811954,708289.9147820075,135877660.05214545,0.2878243588210548,8975,1.2391865311656147e-09,1969558247.65,10795724.299604228,0.0,6.291697809111072e-17,100.0,25
-19.6671,134.22,AUS.NT.336129,19793,10000,17000,6000,1201,2564144778.844921,1138509610.8532312,632841678.3753064,792793489.6163834,-25200.341115434523,518883.3389539229,111857398.09395784,0.2369431728028682,8200,1.7621459846850483e-09,1969558247.65,6503715.26137678,0.0,8.946909728552442e-17,100.0,25
-22.6868,136.2415,AUS.NT.336208,23830,9000,17000,5000,2364,2790019630.3197684,1374992397.5547564,559045775.2034932,855981457.5615188,-51044.101162415245,560239.8639740141,117315894.37049742,0.2485056930164132,7450,2.137312549166381e-09,1969558247.65,11890147.622519314,0.0,1.0851735670760381e-16,100.0,25
-17.295,128.1877,AUS.WA.335365,22877,8000,17000,5000,2586,2565899104.5990515,1268882974.7597227,335138594.1222624,961877535.7170664,-53167.763177863686,629548.8471268199,124771280.07449868,0.2642981463836136,6500,1.978150976356119e-09,1969558247.65,10828755.586229898,0.0,1.0043627695278226e-16,100.0,25
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089.1266875,1095472681.004913,1293654749.4677837,596580658.6539906,-21771.46440293013,390462.04108903685,103410844.06056364,0.2190511661405803,5175,8.640199666842817e-10,1969558247.65,3624240.205295901,0.0,4.386871866903133e-17,100.0,25
-27.4555,120.5775,AUS.WA.335559,20602,9000,17000,5000,1623,2588398951.640302,1170954009.9665422,583355641.8331645,834089299.8405956,-38371.730110822566,545911.4467456698,114336300.48285922,0.2421941352524108,8150,2.535216481192037e-09,1969558247.65,8416242.092275694,0.0,1.287200560946577e-16,100.0,25
-17.1727,137.752,AUS.NT.333631,24259,9000,17000,5000,2514,2607911892.1320486,1321892884.4095066,393975034.63400376,892043973.088538,-56667.7759822824,583842.7803864481,121030746.08239932,0.2563747188127297,7325,2.228262019343674e-09,1969558247.65,12566221.807275992,0.0,1.1313511656750184e-16,100.0,25
-19.4448,133.8237,AUS.NT.333784,31305,10000,17000,5000,2505,3180530830.2973905,1786637565.7642105,628177422.2352417,765715842.2979383,-55947.42896022474,501161.0187840007,114166310.70064636,0.2418340525128878,6975,1.432454155292362e-09,1969558247.65,12926023.79737492,0.0,7.272971779339405e-17,100.0,25
