Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958.4286294,1261714128.371353,441080726.86782265,888734103.1894537,0.0,581676.4705374974,118984213.95964544,0.2520396294697702,2850,3.490185918053612e-09,1969558247.65,0.0,0.0,1.7720653462358704e-16,100.0,25
-12.9681,131.1124,AUS.NT.335011,26589,5000,17000,12000,1849,2571207655.128192,1344709586.7573416,147833082.33246937,1078664986.0383806,0.0,705986.23336212,136237693.3210332,0.2885870032817564,1575,1.921307557495311e-09,1969558247.65,0.0,0.0,9.755017704034598e-17,100.0,25
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573319.690991,1237346322.4342394,441080726.86782265,888146270.388929,0.0,581291.7339695541,119059293.20141868,0.2521986669054742,2750,3.3992364478763193e-09,1969558247.65,0.0,0.0,1.7258877476368903e-16,100.0,25
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177893.5426173,1252837551.1926095,438932815.4345772,898407526.9154304,0.0,588007.7263661491,119831428.18933605,0.2538342503982672,2675,3.376499080331996e-09,1969558247.65,0.0,0.0,1.7143433479871451e-16,100.0,25
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501.0546355,1177530901.6861703,404002198.4739235,907303400.8945416,0.0,593830.0758854776,119572005.57877035,0.2532847255792417,2275,2.751221472863108e-09,1969558247.65,0.0,0.0,1.3968723576191555e-16,100.0,25
-31.8199,123.1924,AUS.WA.561110,22974,6000,17000,10000,1864,2559943187.627767,1196915911.909624,418900034.7733055,944127240.9448376,0.0,617931.2791983963,124567201.96044569,0.2638658556574989,2200,2.864908310584724e-09,1969558247.65,0.0,0.0,1.454594355867881e-16,100.0,25
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062389.7761183,1304632218.7437096,338531817.22929555,965898353.803113,0.0,632180.4725641374,124233212.68492448,0.2631583791742926,2350,2.8421709430404007e-09,1969558247.65,0.0,0.0,1.4430499562181358e-16,100.0,25
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939.156012,1211514843.7292175,350234202.4689777,968504892.9578166,0.0,633886.452440891,123434053.82682204,0.2614655520690773,2100,2.592059900052845e-09,1969558247.65,0.0,0.0,1.3160615600709398e-16,100.0,25
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718.3393407,1343817133.3373835,405647025.0709801,955623559.930977,0.0,625455.6199748245,132126131.5094144,0.2798776419214844,2125,2.819433575496077e-09,1969558247.65,0.0,0.0,1.4315055565683906e-16,100.0,25
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607108.571645,1264987139.4698253,348269618.8349479,973350350.2668718,0.0,637057.8042496676,124353281.63034531,0.263412716548198,2550,3.1604940886609252e-09,1969558247.65,0.0,0.0,1.6046715513145666e-16,100.0,25
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363.072203,1218458515.500523,315183176.604814,979732670.9668657,0.0,641235.0331478135,125410006.32890528,0.2656511353485855,1950,2.4442670110147446e-09,1969558247.65,0.0,0.0,1.2410229623475967e-16,100.0,25
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211565.7129726,1249000490.8460517,483960672.5581678,938250402.3087533,0.0,614084.888311079,132373964.63951808,0.280402617195119,2325,2.967226464534178e-09,1969558247.65,0.0,0.0,1.5065441542917338e-16,100.0,25
-35.5901,149.4372,AUS.NSW.335061,27322,17000,17000,5000,1000,2530675095.830304,1178712737.1669111,343479029.4782462,1008483329.1851468,0.0,660052.3389516785,139766844.03823757,0.2960626658886366,1550,2.034994395216927e-09,1969558247.65,0.0,0.0,1.0332237686521852e-16,100.0,25
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105467.853799,1229868743.4134414,353723981.9160916,984512742.5242656,0.0,644363.5899821318,127447864.15447363,0.2699678502654275,2200,2.7284841053187847e-09,1969558247.65,0.0,0.0,1.3853279579694103e-16,100.0,25
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773.423279,1166826652.3900535,325437063.0529417,1010382057.9802836,0.0,661295.0569480956,131904768.76288009,0.2794087378311163,2325,3.1604940886609252e-09,1969558247.65,0.0,0.0,1.6046715513145666e-16,100.0,25
-26.0954,127.7274,AUS.WA.434546,23071,6000,17000,9000,1821,2603464389.898946,1288294211.336301,376013629.7118761,939156548.850768,0.0,614677.9612228277,122896705.83185902,0.2603273087253616,3100,3.842615114990622e-09,1969558247.65,0.0,0.0,1.9510035408069199e-16,100.0,25
-31.1931,121.6785,AUS.WA.513745,21400,7000,17000,5000,1521,2532543536.825332,1145814516.2222447,479334516.9471472,907394503.65594,0.0,593889.7026428126,119727764.16443096,0.2536146629289976,2475,3.3139713195851073e-09,1969558247.65,0.0,0.0,1.6825962489503463e-16,100.0,25
-28.4839,121.17,AUS.WA.515724,17263,31000,17000,6000,1000,3373680770.9023457,968376735.7192428,1947031125.413303,458272909.7698,0.0,299939.61944433406,92171776.2104012,0.1952438861471076,600,6.821210263296962e-10,1969558247.65,0.0,0.0,3.463319894923526e-17,100.0,25
-20.8771,117.8091,AUS.WA.333611,18516,29000,17000,5000,1000,3013440116.48197,1102801153.947047,1312402114.7990708,598236847.7358525,0.0,391546.01684311545,104346203.75354517,0.2210325021732743,1125,1.4097167877480388e-09,1969558247.65,0.0,0.0,7.157527782841953e-17,100.0,25
-27.599,120.5777,AUS.WA.333803,24867,8000,17000,10000,1855,2781298847.807745,1407176629.7685976,519240164.7870364,854882053.2521112,0.0,559520.3038535068,118680797.54650147,0.2513969142910173,2400,2.989963832078501e-09,1969558247.65,0.0,0.0,1.518088553941479e-16,100.0,25
