UID,DEPOSIT_LATITUDE_WGS84,DEPOSIT_LONGITUDE_WGS84,Architecture/PV (kW),Architecture/Wind 1MW,Architecture/Gen (kW),Architecture/Battery 1MWh (#),Architecture/Converter (kW),Cost/NPC ($),Cost/LCOE ($/kWh),Cost/Operating cost ($/yr),Cost/CAPEX ($),System/Ren Frac (%),Total Load Served (kWh),Ren Frac (%),System/Total Fuel (L/yr),Project Economics/IRR (%),Project Economics/Simple Payback (yr),Gen/Hours,Gen/Production (kWh/yr),Gen/Fuel (L/yr),Annual Carbon Emission (tonne/yr),Total Carbon Emission (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),Gen/O&M Cost ($/yr),Gen/Fuel Cost ($/yr),PV/CAPEX,PV/Energy Production (kWh/yr),Wind 1MW/Capital Cost ($),Wind 1MW/Production (kWh/yr),Wind 1MW/O&M Cost ($),Battery 1MWh/Auxiliary Load Percent (%),Battery 1MWh/Autonomy (hr),Battery 1MWh/Annual Throughput (kWh/yr),Battery 1MWh/Nominal Capacity (kWh),Battery 1MWh/Accessible Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Specific Carbon Emission_DG (kg/kWh)
AUS.NSW.333484.csv,-33.5265,149.1588,28436.81374,17,19000,77,14820.48434,386678600,0.3796699,16976100,167219800,65.83076,1969558248,65.83%,7421425,11.06719,7.906053,3836,26919320,7421425,19429.29065,485732.2663,0.247,65%,2186520,8905709,56873630,44645480,42500000,21374220,680000,0,6.849456,18484210,77000.02,61600.01,185.6103,3859.093,0.701
AUS.NSW.333485.csv,-31.1629,145.6538,18441.40503,21,19000,76,14927.33357,277629700,0.2725976,9365191,156561000,85.0209,1969558248,85.02%,3290016,17.96553,5.321016,1813,11800880,3290016,8613.261888,215331.5472,0.109,84%,1033410,3948019,36882810,32495990,52500000,71383890,840000,0,6.760502,17125260,76000.02,60800.01,812.6003,2694.313,
AUS.NSW.334161.csv,-31.5001,145.8422,17685.31381,22,19000,73,14877.29597,276253900,0.2712468,9345965,155433800,84.94371,1969558248,84.94%,3304924,18.12865,5.290296,1815,11861690,3304924,8652.291032,216307.2758,0.11,84%,1034550,3965909,35370630,31287170,55000000,75303320,880000,0,6.49364,16600530,73000.02,58400.01,847.3096,2599.701,
AUS.NSW.334374.csv,-31.5161,145.8551,17810.82078,22,19000,73,14986.93803,276331800,0.2713232,9330029,155717700,84.98997,1969558248,84.99%,3295209,18.0993,5.296868,1811,11825250,3295209,8626.857162,215671.4291,0.11,84%,1032270,3954251,35621640,31509040,55000000,75303320,880000,0,6.49364,16596360,73000.02,58400.01,842.7177,2603.705,
AUS.NSW.334832.csv,-31.5212,145.8578,17760.42004,22,19000,73,15080.50173,276260400,0.271253,9330126,155645000,84.98297,1969558248,84.98%,3296232,18.1091,5.294688,1810,11830760,3296232,8629.535376,215738.3844,0.11,84%,1031700,3955478,35520840,31426350,55000000,75303320,880000,0,6.49364,16598140,73000.02,58400.01,845.3383,2603.361,
AUS.NSW.334834.csv,-31.2586,146.8719,17537.24375,22,19000,67,13911.1875,284692200,0.2795321,10368920,150647800,82.30208,1969558248,82.30%,3884652,17.99957,5.275617,2133,13942840,3884652,10170.01894,254250.4734,0.129,82%,1215810,4661583,35074490,30714360,55000000,71148260,880000,0,5.959916,15990940,67000.02,53600.01,785.2639,2563.061,
AUS.NSW.335061.csv,-35.5901,149.4372,30478.13677,15,19000,74,14634.61946,394317400,0.3871703,17804710,164146700,63.13276,1969558248,63.13%,7995466,10.71511,8.082538,4096,29044870,7995466,20932.12999,523303.2497,0.266,62%,2334720,9594559,60956270,46289800,37500000,17493950,600000,0,6.582594,17736040,74000.02,59200.01,136.0215,3925.541,
AUS.NSW.335156.csv,-31.3956,146.7216,17467.02832,22,19000,68,13406.71606,284744200,0.2795832,10341370,151056100,82.44411,1969558248,82.44%,3856576,17.95415,5.283741,2127,13830940,3856576,10096.51597,252412.8992,0.128,82%,1212390,4627891,34934060,30636970,55000000,71148260,880000,0,6.04887,16120230,68000.02,54400.01,791.3234,2573.092,
AUS.NSW.335362.csv,-32.9135,148.0498,17088.81462,24,19000,68,14069.73212,298954900,0.2935363,11096980,155498500,80.60424,1969558248,80.60%,4251017,16.72669,5.534704,2315,15280430,4251017,11129.16251,278229.0627,0.141,80%,1319550,5101220,34177630,28261330,60000000,71431980,960000,0,6.04887,16016470,68000.02,54400.01,843.6094,2544.022,
AUS.NSW.335554.csv,-31.9665,141.465,14450.68255,21,19000,61,13015.4544,267473600,0.2626255,10053560,137506000,82.40566,1969558248,82.41%,3869854,20.12002,4.781705,2149,13861230,3869854,10131.27777,253281.9443,0.129,82%,1224930,4643825,28901370,24981610,52500000,76811340,840000,0,5.426192,14422950,61000.01,48800.01,853.5812,2237.821,
AUS.NSW.335658.csv,-32.0637,146.3085,15394.4456,23,19000,62,13718.88374,278868200,0.2738137,10331740,145304600,82.06509,1969558248,82.07%,3938742,18.6998,5.118049,2169,14129540,3938742,10311.62656,257790.6639,0.131,81%,1236330,4726490,30788890,26149450,57500000,78495180,920000,0,5.515146,14889670,62000.01,49600.01,875.5098,2309.745,
