Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-20.9549,140.9799,AUS.QLD.336037,20661,8000,17000,5000,2386,2573016571,1184013307,462323882.7,926679381.4,-36704.0427,606511.6551,0.308,56%,120496783.9,0.255243647,3600,0,1969558248,5449941.847,0,0,100,25,64%,0.701
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363,1218458516,315183176.6,979732671,-29685.54779,641235.0331,0.326,54%,125410006.3,0.265651135,3575,3.41E-10,1969558248,4354410.619,0,1.73E-17,100,25,61%,
-24.017,148.917,AUS.QLD.443072,24493,8000,17000,5000,2688,2571862589,1304219147,213399430.9,1054244012,-40499.44252,690002.7056,0.350,50%,133187855.2,0.28212665,3375,4.55E-11,1969558248,5608047.778,0,2.31E-18,100,25,59%,
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958,1261714128,441080726.9,888734103.2,-26620.2726,581676.4705,0.295,58%,118984214,0.252039629,3075,1.36E-10,1969558248,3755433.9,0,6.93E-18,100,25,66%,
-12.9681,131.1124,AUS.NT.335011,25785,9000,17000,5000,2623,2580674077,1304048299,264098340.4,1012527438,-38861.34736,662699.208,0.336,52%,131710926,0.278998128,3675,0,1969558248,5745455.188,0,0,100,25,61%,
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573320,1237346322,441080726.9,888146270.4,-29855.426,581291.734,0.295,58%,119059293.2,0.252198667,3375,4.55E-11,1969558248,4625952.013,0,2.31E-18,100,25,65%,
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062390,1304632219,338531817.2,965898353.8,-29746.59063,632180.4726,0.321,54%,124233212.7,0.263158379,2950,9.09E-11,1969558248,3755070.343,0,4.62E-18,100,25,63%,
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939,1211514844,350234202.5,968504893,-29935.36999,633886.4524,0.322,54%,123434053.8,0.261465552,3450,1.82E-10,1969558248,4334743.947,0,9.24E-18,100,25,62%,
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718,1343817133,405647025.1,955623559.9,-35557.03724,625455.62,0.318,55%,132126131.5,0.279877642,4875,6.82E-11,1969558248,6210790.241,0,3.46E-18,100,25,65%,
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279,1134717733,1164877735,615103811.6,-24216.84806,402585.4447,0.204,71%,107777980.7,0.228301902,5925,0,1969558248,5603748.161,0,0,100,25,79%,
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494,1043563324,1842365671,457171499.4,-53438.36549,299218.7463,0.152,78%,92536644.25,0.196016772,7125,4.55E-11,1969558248,12267643.76,0,2.31E-18,100,25,86%,
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,-28910.86224,605189.0462,0.307,56%,120655162.6,0.255579135,3750,2.50E-10,1969558248,4554514.082,0,1.27E-17,100,25,63%,
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160277,1080415040,550108640.9,886636596.3,-25976.00572,580303.6522,0.295,58%,121189789.9,0.256711615,4725,4.55E-11,1969558248,5594780.166,0,2.31E-18,100,25,65%,
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939,1082903995,550108640.9,886669303.5,-27349.41685,580325.0592,0.295,58%,121279209.5,0.256901029,5200,1.14E-10,1969558248,6422598.457,0,5.77E-18,100,25,65%,
-34.5375,137.8722,AUS.SA.529299,17752,30000,17000,5000,1761,3370307418,814884008.2,2039778053,515645356.6,-21706.88273,337489.8859,0.171,76%,96627687.56,0.20468267,7300,0,1969558248,7881137.919,0,0,100,25,85%,
-35.5901,149.4372,AUS.NSW.335061,27322,17000,17000,5000,1000,2530675096,1178712737,343479029.5,1008483329,-17474.51072,660052.339,0.335,52%,139766844,0.296062666,5375,1.59E-10,1969558248,3667514.817,0,8.08E-18,100,25,60%,
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105468,1229868743,353723981.9,984512742.5,-30088.49127,644363.59,0.327,53%,127447864.2,0.26996785,2675,0,1969558248,3045887.776,0,0,100,25,62%,
-32.9135,148.0498,AUS.NSW.335362,25737,9000,17000,5000,2774,2611754499,1244018595,417705386.4,950030517.2,-43662.57464,621794.9735,0.316,55%,127681382.9,0.270462504,4750,0,1969558248,6424340.224,0,0,100,25,64%,
-41.7824,145.434,AUS.TAS.336113,32303,8000,17000,5000,1626,2405590005,974221965.9,335574403,1095793636,-27870.45116,717196.9349,0.364,48%,147232780.6,0.311877469,5600,1.36E-10,1969558248,6094600.599,0,6.93E-18,100,25,54%,
-37.6078,142.6124,AUS.VIC.467811,24445,31000,17000,5000,3602,2727628115,985851382,998224571.5,743552161.9,-60625.70365,486654.8899,0.247,65%,125767648.6,0.266408715,7900,6.82E-11,1969558248,13978345.71,0,3.46E-18,100,25,73%,
-20.9168,116.8861,AUS.WA.333298,18845,28000,17000,5000,1004,3003817917,1116863189,1293654749,593299978.8,-14907.11655,388314.8362,0.197,72%,103136169.2,0.218469333,5350,9.09E-11,1969558248,3653710.977,0,4.62E-18,100,25,80%,
