Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816553,1227695965,293305136.1,1021815451,-19358.08994,668778.2129,0.340,52%,134372531.5,0.284636104,44200,1.66E-09,1969558248,38158692.57,0,8.43E-17,100,25,60%,0.701
-29.5,152.4897,AUS.NSW.335959,29459,7000,17000,5000,2726,2455932738,1215047977,19185871.47,1221698890,-32957.22744,799601.9232,0.406,42%,150616776,0.319045655,27150,1.03E-09,1969558248,13930295.41,0,5.22E-17,100,25,50%,
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,-27624.38252,448024.0678,0.227,68%,115527385.4,0.244717164,14675,1.68E-09,1969558248,16524452.37,0,8.54E-17,100,25,77%,
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607109,1264987139,348269618.8,973350350.3,-17018.61127,637057.8042,0.323,54%,124353281.6,0.263412717,42500,1.84E-09,1969558248,33027161.05,0,9.35E-17,100,25,62%,
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363,1218458516,315183176.6,979732671,-18717.29911,641235.0331,0.326,54%,125410006.3,0.265651135,42975,1.71E-09,1969558248,34127989.66,0,8.66E-17,100,25,61%,
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211566,1249000491,483960672.6,938250402.3,-11551.84396,614084.8883,0.312,56%,132373964.6,0.280402617,32250,1.91E-09,1969558248,20534746.63,0,9.70E-17,100,25,65%,
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062390,1304632219,338531817.2,965898353.8,-16937.69949,632180.4726,0.321,54%,124233212.7,0.263158379,42300,2.00E-09,1969558248,33531325.21,0,1.02E-16,100,25,63%,
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939,1211514844,350234202.5,968504893,-17479.69986,633886.4524,0.322,54%,123434053.8,0.261465552,44600,1.66E-09,1969558248,36060365.59,0,8.43E-17,100,25,62%,
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718,1343817133,405647025.1,955623559.9,-23379.42233,625455.62,0.318,55%,132126131.5,0.279877642,38400,2.39E-09,1969558248,37839287.63,0,1.21E-16,100,25,65%,
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279,1134717733,1164877735,615103811.6,-15206.76339,402585.4447,0.204,71%,107777980.7,0.228301902,17550,1.14E-09,1969558248,15916899.18,0,5.77E-17,100,25,79%,
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494,1043563324,1842365671,457171499.4,-40535.30011,299218.7463,0.152,78%,92536644.25,0.196016772,7500,8.19E-10,1969558248,13344646.65,0,4.16E-17,100,25,86%,
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,-17653.7244,605189.0462,0.307,56%,120655162.6,0.255579135,42275,1.91E-09,1969558248,38762149.06,0,9.70E-17,100,25,63%,
-31.5161,145.8551,AUS.NSW.334374,24289,9000,17000,5000,2419,2651690938,1253637225,500723170.6,897330542,-26580.23635,587302.8398,0.298,57%,121807717.3,0.258020547,24325,2.16E-09,1969558248,22251297.12,0,1.10E-16,100,25,66%,
-31.5212,145.8578,AUS.NSW.334832,24289,9000,17000,5000,2419,2651690938,1253637225,500723170.6,897330542,-26580.23635,587302.8398,0.298,57%,121807717.3,0.258020547,24325,2.16E-09,1969558248,22251297.12,0,1.10E-16,100,25,66%,
-31.2586,146.8719,AUS.NSW.334834,22876,9000,17000,5000,2373,2559159309,1172013915,453452996.5,933692397.5,-25935.77934,611101.6742,0.310,56%,124389402.5,0.26348923,25825,2.96E-09,1969558248,21380270.25,0,1.50E-16,100,25,64%,
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,-9441.057843,396216.1203,0.201,71%,107715307.2,0.228169143,21475,1.05E-09,1969558248,15868756.39,0,5.31E-17,100,25,80%,
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661695,1067799710,1868994679,453867305.6,-12389.13907,297056.1515,0.151,78%,93087791.73,0.197184246,15400,8.19E-10,1969558248,12617918.08,0,4.16E-17,100,25,87%,
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,-16993.87247,657911.6358,0.334,52%,128764375.4,0.272756565,47750,1.64E-09,1969558248,40392822.66,0,8.31E-17,100,25,59%,
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177894,1252837551,438932815.4,898407526.9,-19803.32325,588007.7264,0.299,57%,119831428.2,0.25383425,40650,2.49E-09,1969558248,39277985.08,0,1.26E-16,100,25,65%,
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501,1177530902,404002198.5,907303400.9,-24034.32551,593830.0759,0.302,57%,119572005.6,0.253284726,35375,2.11E-09,1969558248,34286365.45,0,1.07E-16,100,25,64%,
-31.8199,123.1924,AUS.WA.561110,21153,10000,17000,6000,1773,2605414367,1102044460,694343832.8,809026073.5,-19354.79321,529507.5651,0.269,62%,114100032.8,0.241693659,28025,2.23E-09,1969558248,27388438.09,0,1.13E-16,100,25,69%,
-31.1637,121.0857,AUS.WA.335026,22555,6000,17000,8000,1704,2552877333,1203398013,410107162.3,939372158.1,-17363.38396,614819.0775,0.312,55%,123010503,0.260568361,40600,2.10E-09,1969558248,35168445.36,0,1.07E-16,100,25,63%,
