Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279.26458,1134717733.0652645,1164877734.5898898,615103811.6094261,-37854.81859861601,402585.44469836936,107777980.70308708,0.2283019017179803,3775,0.0,1969558247.65,5038939.532450429,1.114131009671837e-09,0.0,100.0,25
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494.033841,1043563323.940154,1842365670.7160945,457171499.3775932,-87326.42770882383,299218.7463426347,92536644.25275096,0.1960167719202604,3500,0.0,1969558247.65,10676147.69699007,6.821210263296962e-10,0.0,100.0,25
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305.282656,1194658499.226751,381828217.47038025,924658588.5855248,-35308.20021523998,605189.046229226,120655162.6225423,0.2555791349877238,7125,0.0,1969558247.65,10074422.600474011,1.8417267710901799e-09,0.0,100.0,25
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649.45035,879981270.3158171,1911952582.96721,496924796.1673226,-24971.87300240329,325237.2790915126,97931106.7622125,0.2074436518972495,4300,0.0,1969558247.65,3887444.868357512,8.412825991399585e-10,0.0,100.0,25
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431362.604073,1257481148.3315425,210018620.7344956,1043931593.5380358,-32298.583511185425,683253.2279706444,132736702.74465583,0.2811709912051747,7975,0.0,1969558247.65,10223855.093507512,9.890754881780595e-10,0.0,100.0,25
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907585.853702,1018105649.2065084,1842365670.7160945,456436265.9310993,-86629.76534123198,298737.5360519045,92130730.7722158,0.1951569411929208,3375,0.0,1969558247.65,10503555.592002628,7.503331289626657e-10,0.0,100.0,25
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137.1281586,1149318084.180302,1203683829.4410467,605372223.5068095,-23393.089127158302,396216.1202852068,107715307.16212612,0.2281691427954671,3900,0.0,1969558247.65,3199601.281244112,9.094947017729281e-10,0.0,100.0,25
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661694.917906,1067799710.3779596,1868994678.9273293,453867305.6126165,-31950.013875633736,297056.15152345755,93087791.72982152,0.1971842461698376,3800,0.0,1969558247.65,4132155.912290656,6.821210263296962e-10,0.0,100.0,25
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512.339675,1211753638.6352608,252793290.2982083,1005212583.406206,-34039.14432793742,657911.6358393619,128764375.3740207,0.2727565647421225,6975,0.0,1969558247.65,9570446.669002106,1.3869794202037156e-09,0.0,100.0,25
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958.4286294,1261714128.371353,441080726.86782265,888734103.1894537,-38726.06021300599,581676.4705374974,118984213.95964544,0.2520396294697702,7050,0.0,1969558247.65,10236678.02139988,2.1600499167107046e-09,0.0,100.0,25
-12.9681,131.1124,AUS.NT.335011,26589,5000,17000,12000,1849,2571207655.128192,1344709586.7573416,147833082.33246937,1078664986.0383806,-34622.55310319834,705986.23336212,136237693.3210332,0.2885870032817564,7900,0.0,1969558247.65,11188122.68201866,1.1709744285326451e-09,0.0,100.0,25
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573319.690991,1237346322.4342394,441080726.86782265,888146270.388929,-42162.57432369482,581291.7339695541,119059293.20141868,0.2521986669054742,7000,0.0,1969558247.65,10980815.877656156,1.8417267710901799e-09,0.0,100.0,25
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607108.571645,1264987139.4698253,348269618.8349479,973350350.2668718,-37609.51351299028,637057.8042496676,124353281.63034531,0.263412716548198,7550,0.0,1969558247.65,10976488.855880285,1.682565198279917e-09,0.0,100.0,25
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363.072203,1218458515.500523,315183176.604814,979732670.9668657,-39041.94328379922,641235.0331478135,125410006.32890528,0.2656511353485855,8500,0.0,1969558247.65,12726404.821228463,1.375610736431554e-09,0.0,100.0,25
-24.017,148.917,AUS.QLD.443072,24493,8000,17000,5000,2688,2571862589.388649,1304219146.8078446,213399430.9045962,1054244011.676208,-64821.45318269413,690002.7056420781,133187855.19823816,0.2821266498883831,6750,0.0,1969558247.65,15625518.075013869,1.7280399333685634e-09,0.0,100.0,25
-29.72,135.5749,AUS.SA.333675,27061,9000,17000,5000,2722,2903757906.1103315,1497575171.1501446,566158186.4967154,840024548.4634712,-55379.08970493272,549796.0669693418,117369028.41189632,0.248618244788289,5075,0.0,1969558247.65,11361773.575036796,2.1032064978498966e-09,0.0,100.0,25
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907174.6016417,1263441604.3195322,370730833.1645311,952734737.1175786,-31039.658290174677,623564.8854434552,124067605.79374272,0.2628075805422551,6125,0.0,1969558247.65,7895564.798032677,1.114131009671837e-09,0.0,100.0,25
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508602.677415,1241949861.681529,359224935.745787,960333805.2500986,-31696.534194379048,628538.4755361894,124371287.17532653,0.2634508569933414,6625,0.0,1969558247.65,8599821.542810014,1.5916157281026242e-09,0.0,100.0,25
-19.7033,134.2407,AUS.NT.334173,20118,7000,17000,5000,1587,2495273006.9556484,1160196248.460565,444416342.03127575,890660416.4638075,-37689.60304793105,582937.242575562,117375003.20486487,0.2486309009596906,6875,0.0,1969558247.65,9611773.267056078,1.978150976356119e-09,0.0,100.0,25
-19.4354,134.0661,AUS.NT.334279,18427,33000,17000,5000,6924,3389597249.2788224,1066998296.798296,1868994678.9273293,453604273.55319697,-85275.5124896369,296883.9970405674,93073052.42432572,0.1971530244726715,3400,0.0,1969558247.65,10167022.89854311,9.322320693172512e-10,0.0,100.0,25
-19.7115,134.2901,AUS.NT.334637,18502,33000,17000,5000,1028,3389790907.119741,1067819908.296449,1868994678.9273293,452976319.8959626,-23259.820718882387,296473.00137190754,92932860.50470048,0.1968560613857111,3950,0.0,1969558247.65,3002674.9940183684,7.048583938740194e-10,0.0,100.0,25
-33.5265,149.1588,AUS.NSW.333484,29292,1000,17000,5000,2610,2554244484.779653,1343766814.903179,9670029.576109275,1200807640.3003652,-61724.19162945713,785928.600576589,142823213.9860376,0.3025368553926941,7625,0.0,1969558247.65,15706572.411705326,5.456968210637568e-10,0.0,100.0,25
-31.1629,145.6538,AUS.NSW.333485,23616,9000,17000,5000,2373,2636724727.6189275,1239359997.1443722,495333792.1982043,902030938.2763509,-56863.01453188357,590379.2491018716,121744047.94506793,0.2578856783861406,7250,0.0,1969558247.65,14158275.671046171,1.8189894035458563e-09,0.0,100.0,25
-31.5001,145.8422,AUS.NSW.334161,22846,9000,17000,5000,2356,2592088308.780189,1190684776.5787709,500723170.5590673,900680361.6423502,-57465.12937284487,589495.2966949182,121380055.7076918,0.2571146477965763,7225,0.0,1969558247.65,14047029.131074997,2.228262019343674e-09,0.0,100.0,25
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062389.7761183,1304632218.7437096,338531817.22929555,965898353.803113,-37128.9596356141,632180.4725641374,124233212.68492448,0.2631583791742926,7800,0.0,1969558247.65,11240383.944106212,1.4779288903810082e-09,0.0,100.0,25
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939.156012,1211514843.7292175,350234202.4689777,968504892.9578166,-37759.51782883645,633886.452440891,123434053.82682204,0.2614655520690773,7925,0.0,1969558247.65,11534820.375641009,1.3642420526593924e-09,0.0,100.0,25
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718.3393407,1343817133.3373835,405647025.0709801,955623559.930977,-45994.79414735583,625455.6199748245,132126131.5094144,0.2798776419214844,7075,0.0,1969558247.65,12679737.10692202,2.319211489520967e-09,0.0,100.0,25
-20.8771,117.8091,AUS.WA.333611,18516,29000,17000,5000,1000,3013440116.48197,1102801153.947047,1312402114.7990708,598236847.7358525,-22131.025292670856,391546.01684311545,104346203.75354517,0.2210325021732743,4450,0.0,1969558247.65,3536349.702698512,8.640199666842817e-10,0.0,100.0,25
-27.599,120.5777,AUS.WA.333803,24867,8000,17000,10000,1855,2781298847.807745,1407176629.7685976,519240164.7870364,854882053.2521112,-35004.30130728939,559520.3038535068,118680797.54650147,0.2513969142910173,6150,0.0,1969558247.65,8868927.54297631,1.796252036001533e-09,0.0,100.0,25
-28.7772,116.9626,AUS.WA.333890,23014,6000,17000,9000,1859,2628142160.771748,1311167384.2456524,393945151.0614618,923029625.4646336,-38209.47885102506,604122.8898666026,121428899.73029992,0.2572181121886186,7750,0.0,1969558247.65,11351224.120157966,1.6484591469634322e-09,0.0,100.0,25
-26.0954,127.7274,AUS.WA.434546,23071,6000,17000,9000,1821,2603464389.898946,1288294211.336301,376013629.7118761,939156548.850768,-32318.40855148069,614677.9612228277,122896705.83185902,0.2603273087253616,5475,0.0,1969558247.65,7575733.880753271,2.114575181622058e-09,0.0,100.0,25
-31.1931,121.6785,AUS.WA.513745,21400,7000,17000,5000,1521,2532543536.825332,1145814516.2222447,479334516.9471472,907394503.65594,-34987.51790623869,593889.7026428126,119727764.16443096,0.2536146629289976,7025,0.0,1969558247.65,8613044.79449714,2.313527147634886e-09,0.0,100.0,25
-28.4839,121.17,AUS.WA.515724,17263,31000,17000,6000,1000,3373680770.9023457,968376735.7192428,1947031125.413303,458272909.7698,-20681.38988602347,299939.61944433406,92171776.2104012,0.1952438861471076,4050,0.0,1969558247.65,2988252.303146465,4.774847184307872e-10,0.0,100.0,25
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816552.5660048,1227695965.2025585,293305136.08564395,1021815451.277802,-35976.327278294804,668778.2128613213,134372531.49496245,0.2846361035791835,9075,0.0,1969558247.65,13317768.345134417,1.3642420526593924e-09,0.0,100.0,25
-29.5,152.4897,AUS.NSW.335959,25130,9000,17000,8000,1434,2302946099.037278,1036497243.783273,24500635.46406577,1241948219.7899394,-26176.59509350056,812855.1098525154,153654091.9023381,0.3254794825363463,10550,0.0,1969558247.65,12354893.334624529,8.412825991399585e-10,0.0,100.0,25
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769.168688,981116201.4143108,1286278816.2978716,684528751.4565053,-64861.11958648719,448024.0678282827,115527385.3822655,0.2447171640368444,5325,0.0,1969558247.65,11848899.533492235,1.6143530956469474e-09,0.0,100.0,25
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160276.8874617,1080415039.696977,550108640.9338238,886636596.2566612,-33114.06606901525,580303.6522499848,121189789.90182686,0.2567116151453102,7850,0.0,1969558247.65,10075543.633036666,1.3073986337985843e-09,0.0,100.0,25
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939.231584,1082903994.766416,550108640.9338238,886669303.5313438,-37658.72359468498,580325.0591612646,121279209.54052906,0.2569010292856891,7700,0.0,1969558247.65,10772872.148864554,1.3983481039758772e-09,0.0,100.0,25
