Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,-13151.97904,296473.0014,92932860.5,0.196856061,5125,0,1969558248,3504380.79,4.55E-11,0,100,25,77%
-21.5127,134.1564,AUS.NT.597284,24363,9000,17000,5000,2363,2818430255,1399167867,595775346.7,823487041.2,-37092.60973,538972.2685,114957077.5,0.243509103,2975,0,1969558248,3256110.598,0,0,100,25,58%
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030127,1210935376,339835232,973259518.5,-29529.97613,636998.3549,124254928.5,0.263204379,3400,0,1969558248,4325366.93,2.96E-10,0,100,25,51%
-41.8501,145.5144,AUS.TAS.333976,31982,8000,17000,5000,1673,2425785949,996400344.1,335574403,1093811202,-28512.84915,715899.4314,146742916.9,0.310839809,5725,0,1969558248,6030514.501,1.59E-10,0,100,25,44%
-41.5746,145.7221,AUS.TAS.334055,31178,28000,17000,5000,1000,2530385936,986376302.6,630540399.4,913469234.4,-16912.25822,597865.6139,145345536.8,0.307879794,7275,0,1969558248,5021259.091,1.71E-10,0,100,25,54%
-41.2245,148.0131,AUS.TAS.334077,50000,28000,17000,5000,9023,4242894046,1826383947,1948972660,467537439.1,-55562.10105,306003.2539,106127170.2,0.224805054,5225,0,1969558248,8245965.017,1.14E-10,0,100,25,76%
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623582,1237095762,370300597.9,954227222,-29545.66229,624541.7168,124586076.3,0.263905836,3700,0,1969558248,5212246.546,1.93E-10,0,100,25,52%
-32.0637,146.3085,AUS.NSW.335658,22734,9000,17000,5000,2322,2564586115,1161175434,491320619.5,912090061.9,-38528.67108,596962.9455,122617518.7,0.259735918,4200,0,1969558248,5065176.324,2.27E-11,0,100,25,54%
-33.4574,148.9957,AUS.NSW.335835,24838,24000,17000,5000,1755,2599589445,1134584262,561956762.5,903048421.2,-29971.7644,591045.1917,134892275.2,0.285737057,5525,0,1969558248,5839839.515,0,0,100,25,54%
-22.6513,136.268,AUS.NT.334762,24199,9000,17000,5000,2342,2814858023,1401790593,559045775.2,854021654.9,-37040.03785,558957.1731,117173971.6,0.248205063,2425,0,1969558248,3099045.612,2.27E-11,0,100,25,57%
-13.4996,131.713,AUS.NT.334824,24887,9000,17000,5000,2787,2601783588,1305587301,313292628.9,982903657.9,-39829.51176,643310.4441,128606136.7,0.272421374,3200,0,1969558248,5359897.833,0,0,100,25,50%
-19.4387,134.0281,AUS.NT.334931,24410,9000,17000,5000,2538,2776721907,1400107856,566355266.2,810258785.5,-37841.31476,530314.3751,114024765.1,0.241534222,2850,0,1969558248,3188941.892,0,0,100,25,59%
-20.4447,140.7058,AUS.QLD.334994,22350,8000,17000,5000,2621,2650987280,1279605927,451114776.8,920266576.5,-38061.72104,602314.4743,120682023.1,0.255636033,3300,0,1969558248,5424261.466,0,0,100,25,53%
-20.2545,140.1558,AUS.QLD.335006,21478,8000,17000,5000,2387,2591367827,1224334661,449367133.5,917666032.8,-35978.06882,600612.4185,120198946.8,0.254612751,3125,0,1969558248,4784249.508,2.27E-11,0,100,25,53%
-20.5636,139.9752,AUS.QLD.335227,17392,31000,17000,5000,3883,3173744286,992140828.8,1603187603,578415853.9,-60069.95828,378573.1764,103715165.8,0.219695799,6625,0,1969558248,11755763.6,1.14E-10,0,100,25,71%
-31.5161,145.8551,AUS.NSW.334374,24289,9000,17000,5000,2419,2651690938,1253637225,500723170.6,897330542,-38275.49508,587302.8398,121807717.3,0.258020547,3925,0,1969558248,4718929.337,4.55E-11,0,100,25,54%
-31.5212,145.8578,AUS.NSW.334832,24289,9000,17000,5000,2419,2651690938,1253637225,500723170.6,897330542,-38275.49508,587302.8398,121807717.3,0.258020547,3925,0,1969558248,4718929.337,4.55E-11,0,100,25,54%
-31.2586,146.8719,AUS.NSW.334834,22876,9000,17000,5000,2373,2559159309,1172013915,453452996.5,933692397.5,-37622.80708,611101.6742,124389402.5,0.26348923,4150,0,1969558248,5184842.153,2.27E-11,0,100,25,53%
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826,1205780756,438932815.4,899162254.9,-29810.45688,588501.6958,119504050.7,0.253140779,3575,0,1969558248,4832261.291,0,0,100,25,54%
-24.237,115.9535,AUS.WA.652958,20894,8000,17000,5000,2410,2585952106,1236953931,445833417.7,903164757.7,-36272.41625,591121.3339,118505757.9,0.251026135,3900,0,1969558248,6055762.793,6.82E-11,0,100,25,54%
-27.5191,120.588,AUS.WA.652960,20675,9000,17000,5000,2438,2593375404,1175351194,583355641.8,834668567.3,-37461.24435,546290.5773,114294741.3,0.242106102,4900,0,1969558248,6420685.32,0,0,100,25,58%
-33.5265,149.1588,AUS.NSW.333484,29292,1000,17000,5000,2610,2554244485,1343766815,9670029.576,1200807640,-41968.57787,785928.6006,142823214,0.302536855,3150,0,1969558248,4661910.301,9.09E-11,0,100,25,39%
-31.1629,145.6538,AUS.NSW.333485,23616,9000,17000,5000,2373,2636724728,1239359997,495333792.2,902030938.3,-38002.49411,590379.2491,121744047.9,0.257885678,4025,0,1969558248,4847308.967,4.55E-11,0,100,25,54%
-31.5001,145.8422,AUS.NSW.334161,22846,9000,17000,5000,2356,2592088309,1190684777,500723170.6,900680361.6,-38084.64887,589495.2967,121380055.7,0.257114648,4175,0,1969558248,5406485.882,0,0,100,25,54%
-17.1727,137.752,AUS.NT.333631,24259,9000,17000,5000,2514,2607911892,1321892884,393975034.6,892043973.1,-39580.66193,583842.7804,121030746.1,0.256374719,3875,0,1969558248,4409860.22,0,0,100,25,55%
-19.4448,133.8237,AUS.NT.333784,31305,10000,17000,5000,2505,3180530830,1786637566,628177422.2,765715842.3,-39644.12695,501161.0188,114166310.7,0.241834053,4050,0,1969558248,3862466.243,1.14E-10,0,100,25,61%
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,-28910.86224,605189.0462,120655162.6,0.255579135,3550,0,1969558248,4554514.082,2.50E-10,0,100,25,53%
-20.3054,140.1508,AUS.QLD.455378,21085,8000,17000,5000,2411,2572520862,1204755450,449367133.5,918398278.6,-36606.79427,601091.6733,120200945.9,0.254616985,3275,0,1969558248,5216957.828,6.82E-11,0,100,25,53%
-22.0815,140.5842,AUS.QLD.558218,20261,8000,17000,5000,2425,2556519708,1175373812,465054279.7,916091616.1,-36966.30877,599581.9627,119326174,0.25276399,3050,0,1969558248,4850650.464,0,0,100,25,53%
-35.0919,139.0054,AUS.SA.333599,20652,33000,17000,5000,1271,3054161512,906028611,1532420110,615712791.3,-17100.93941,402984.0219,111878240.9,0.236987323,6775,0,1969558248,5701451.961,2.27E-11,0,100,25,69%
-20.1656,139.4582,AUS.QLD.334842,17118,32000,17000,5000,7180,3152880901,977802054.8,1602516413,572562433.2,-59427.57181,374742.1126,103669278.6,0.219598598,6450,0,1969558248,12473928,6.82E-11,0,100,25,71%
-18.609,143.993,AUS.QLD.334950,24201,9000,17000,5000,2474,2720071235,1345636204,469094630.6,905340400.7,-38848.01558,592545.2923,121549120.6,0.257472771,3825,0,1969558248,5020719.394,2.27E-11,0,100,25,54%
-20.7187,140.6487,AUS.QLD.334977,21026,8000,17000,5000,2420,2581438141,1204494419,451114776.8,925828945.1,-36608.03926,605955.0446,120696994.4,0.255667746,3225,0,1969558248,5256385.795,0,0,100,25,53%
-35.5901,149.4372,AUS.NSW.335061,29463,9000,17000,5000,1203,2548559347,1271078394,187339886.4,1090141067,-19935.64394,713497.3281,141810985.7,0.300392692,3975,0,1969558248,3048964.509,4.55E-11,0,100,25,45%
-31.3956,146.7216,AUS.NSW.335156,22447,9000,17000,5000,2198,2542194888,1151581851,453452996.5,937160040.6,-37884.10026,613371.2466,124588036.7,0.263909989,4150,0,1969558248,5026671.994,4.55E-11,0,100,25,52%
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773,1166826652,325437063.1,1010382058,-27979.00658,661295.0569,131904768.8,0.279408738,4600,0,1969558248,5421905.524,0,0,100,25,49%
-23.6356,150.375,AUS.QLD.333486,22679,9000,17000,5000,2485,2536878767,1177469933,445860227.8,913548606.3,-40238.21009,597917.5628,122847577.3,0.260223242,3500,0,1969558248,4636322.955,0,0,100,25,54%
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,-29823.15994,632735.7914,123688424.4,0.262004375,3600,0,1969558248,4625599.047,1.82E-10,0,100,25,51%
-20.5711,139.472,AUS.QLD.333688,20900,8000,17000,5000,2448,2567723424,1199539954,450755247.8,917428222.6,-36481.1492,600456.7717,120057227.2,0.254312552,3075,0,1969558248,4730449.31,2.27E-11,0,100,25,53%
-19.486,133.9023,AUS.NT.335010,30668,10000,17000,5000,2503,3149493832,1754361015,628177422.2,766955394.3,-39782.4771,501972.3056,113905454.8,0.241281492,4125,0,1969558248,3938783.617,9.09E-11,0,100,25,61%
-12.9681,131.1124,AUS.NT.335011,26589,5000,17000,12000,1849,2571207655,1344709587,147833082.3,1078664986,-27123.80786,705986.2334,136237693.3,0.288587003,3525,0,1969558248,4493216.773,4.55E-11,0,100,25,45%
-19.5535,134.0588,AUS.NT.335952,29806,10000,17000,5000,2474,3099965114,1704895018,628177422.2,766892673.7,-39828.47338,501931.255,113455419.1,0.240328198,3875,0,1969558248,3956448.161,6.82E-11,0,100,25,61%
-41.7824,145.434,AUS.TAS.336113,26488,33000,17000,5000,1000,2790549828,798848559.4,1263699696,728001572.7,-13687.94598,476477.0293,127435535.8,0.269941736,8000,0,1969558248,5437152.83,1.82E-10,0,100,25,63%
-37.6078,142.6124,AUS.VIC.467811,35598,14000,17000,8000,1239,2814945167,1435642155,482746680.6,896556331.4,-18800.29314,586796.1189,133554649.3,0.282903616,5975,0,1969558248,5021815.952,9.09E-11,0,100,25,54%
-20.9168,116.8861,AUS.WA.333298,18845,28000,17000,5000,1004,3003817917,1116863189,1293654749,593299978.8,-14907.11655,388314.8362,103136169.2,0.218469333,5275,0,1969558248,3653710.977,9.09E-11,0,100,25,70%
-17.1813,137.7848,AUS.NT.333325,24507,9000,17000,5000,2766,2623818108,1339722121,393975034.6,890120952.1,-41404.26196,582584.1631,121084279.5,0.256488117,4125,0,1969558248,5201478.339,0,0,100,25,55%
-19.6271,134.15,AUS.NT.333391,21074,10000,17000,6000,1912,2635260244,1216170017,632841678.4,786248548.2,-30585.44196,514599.6748,111593742.2,0.236384681,5500,0,1969558248,5675746.575,4.55E-11,0,100,25,60%
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,-25650.64686,657911.6358,128764375.4,0.272756565,3575,0,1969558248,4316730.819,4.55E-11,0,100,25,49%
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607109,1264987139,348269618.8,973350350.3,-29808.03388,637057.8042,124353281.6,0.263412717,3450,0,1969558248,4417895.549,2.05E-10,0,100,25,51%
-19.1596,139.4342,AUS.QLD.336263,23945,9000,17000,5000,2372,2706504841,1343833773,470757297.7,891913770.1,-36499.0324,583757.5625,120335907.3,0.254902869,3425,0,1969558248,4188429.793,9.09E-11,0,100,25,55%
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211566,1249000491,483960672.6,938250402.3,-17420.15971,614084.8883,132373964.6,0.280402617,3100,0,1969558248,2453224.424,6.82E-11,0,100,25,52%
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,-65125.54671,409490.5217,106998696.6,0.226651175,7425,0,1969558248,12903069.76,2.05E-10,0,100,25,68%
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,-26740.39485,637339.1566,123999468.7,0.262663248,3500,0,1969558248,4254598.295,2.27E-11,0,100,25,51%
-17.1187,144.4047,AUS.QLD.334276,23891,9000,17000,5000,2720,2646736088,1297401678,401822687.2,947511723.7,-40352.57537,620146.4231,125324048.9,0.265469055,3400,0,1969558248,5500771.437,2.27E-11,0,100,25,52%
-41.2021,146.8156,AUS.TAS.334630,20211,30000,17000,5000,4344,3220537693,793386088.4,1891636252,535515352.4,-48587.59077,350494.7981,100750392,0.213415634,7275,0,1969558248,11935900.76,6.82E-11,0,100,25,73%
-41.4269,145.5264,AUS.TAS.335457,30768,28000,17000,5000,1233,2543533105,1013455125,630540399.4,899537580.6,-20689.29288,588747.3465,143496821.2,0.303963731,7200,0,1969558248,5761657.617,1.82E-10,0,100,25,54%
-42.061,145.5855,AUS.TAS.335962,33644,8000,17000,5000,1304,2472026390,1049972637,335574403,1086479350,-23896.02476,711100.7346,146782991.9,0.310924699,5550,0,1969558248,4736718.444,1.36E-10,0,100,25,45%
-21.545,140.497,AUS.QLD.335859,16651,34000,17000,5000,6796,3290693026,958300194.1,1802026808,530366023.9,-59023.31345,347124.5626,101151343.4,0.214264954,6700,0,1969558248,11613327.28,9.09E-11,0,100,25,73%
-19.474,139.3889,AUS.QLD.335937,17956,30000,17000,5000,1066,3102335648,1017837207,1488384841,596113599.6,-15380.91094,390156.3509,104833661.4,0.222065065,5300,0,1969558248,3762756.699,2.27E-11,0,100,25,70%
-21.2785,140.5052,AUS.QLD.335949,21227,6000,17000,9000,1783,2548540101,1231364883,353953104.5,963222112.9,-29390.08301,630428.8729,123142389.7,0.260847731,3225,0,1969558248,4174491.66,6.82E-11,0,100,25,51%
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,-21391.57611,683395.7607,148065779.3,0.313641977,6850,0,1969558248,6057177.086,1.36E-10,0,100,25,47%
-41.477,145.385,AUS.TAS.333707,31287,28000,17000,5000,1000,2543060564,1002812006,630540399.4,909708158.8,-17303.39111,595403.9899,144991935.3,0.307130773,7675,0,1969558248,5534459.956,2.73E-10,0,100,25,54%
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883396,1516460148,1059427069,712996178.5,-13371.21605,466655.9988,133078192.6,0.281894356,7100,0,1969558248,4733712.47,4.55E-11,0,100,25,64%
