Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,-9441.057843,396216.1203,107715307.2,0.228169143,20675,0,1969558248,15868756.39,1.05E-09,0,100,25,69%
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661695,1067799710,1868994679,453867305.6,-12389.13907,297056.1515,93087791.73,0.197184246,14825,0,1969558248,12617918.08,8.19E-10,0,100,25,77%
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,-16993.87247,657911.6358,128764375.4,0.272756565,46350,0,1969558248,40392822.66,1.64E-09,0,100,25,49%
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466,1315969640,147833082.3,1082184744,-15994.3102,708289.9148,135877660.1,0.287824359,47950,0,1969558248,34917685.16,1.32E-09,0,100,25,45%
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093,1019039450,1868994679,457874964.8,-39610.96094,299679.1644,93287026.32,0.197606277,6950,0,1969558248,13965409.73,1.07E-09,0,100,25,77%
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553,918183341.4,1866190619,500960592.7,-8626.145857,327878.7079,97735436.38,0.207029171,23525,0,1969558248,16248291.48,8.41E-10,0,100,25,75%
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649,879981270.3,1911952583,496924796.2,-10099.99186,325237.2791,97931106.76,0.207443652,23525,0,1969558248,19131619.05,7.73E-10,0,100,25,75%
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431363,1257481148,210018620.7,1043931594,-14639.17393,683253.228,132736702.7,0.281170991,46475,0,1969558248,37271151.22,1.23E-09,0,100,25,47%
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907586,1018105649,1842365671,456436265.9,-40239.09929,298737.5361,92130730.77,0.195156941,6875,0,1969558248,13323438.59,9.09E-10,0,100,25,77%
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062390,1304632219,338531817.2,965898353.8,-16937.69949,632180.4726,124233212.7,0.263158379,40600,0,1969558248,33531325.21,2.00E-09,0,100,25,51%
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939,1211514844,350234202.5,968504893,-17479.69986,633886.4524,123434053.8,0.261465552,43275,0,1969558248,36060365.59,1.66E-09,0,100,25,51%
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718,1343817133,405647025.1,955623559.9,-23379.42233,625455.62,132126131.5,0.279877642,36650,0,1969558248,37839287.63,2.39E-09,0,100,25,51%
-33.5265,149.1588,AUS.NSW.333484,29419,10000,17000,7000,1201,2578489628,1349592879,94715636.54,1134181112,-12151.7928,742321.5379,145988223.4,0.309241172,37400,0,1969558248,21123548.39,1.37E-09,0,100,25,42%
-31.1629,145.6538,AUS.NSW.333485,23616,9000,17000,5000,2373,2636724728,1239359997,495333792.2,902030938.3,-25956.47233,590379.2491,121744047.9,0.257885678,22200,0,1969558248,21965139.25,2.16E-09,0,100,25,54%
-31.5001,145.8422,AUS.NSW.334161,16510,31000,17000,5000,7285,3030735566,860467420.5,1586745893,583522252.5,-43450.46692,381915.3143,105038959.8,0.22249994,9050,0,1969558248,16690375.16,1.18E-09,0,100,25,70%
-35.5901,149.4372,AUS.NSW.335061,28779,17000,17000,5000,1718,2586996969,1241569710,343479029.5,1001948230,-19297.37542,655775.1163,139747202.2,0.296021059,21600,0,1969558248,16610029.63,1.56E-09,0,100,25,49%
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105468,1229868743,353723981.9,984512742.5,-21304.79201,644363.59,127447864.2,0.26996785,28800,0,1969558248,20424291.08,2.21E-09,0,100,25,50%
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773,1166826652,325437063.1,1010382058,-19945.78041,661295.0569,131904768.8,0.279408738,43000,0,1969558248,36084261.86,2.27E-09,0,100,25,49%
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,-44798.5357,409490.5217,106998696.6,0.226651175,11075,0,1969558248,15959209.41,1.42E-09,0,100,25,68%
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,-16892.22556,637339.1566,123999468.7,0.262663248,38850,0,1969558248,30842801.39,2.35E-09,0,100,25,51%
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269,1317928905,270832585.4,1014395779,-19899.87821,663922.0371,129636920.5,0.274604843,39575,0,1969558248,32558095.7,2.21E-09,0,100,25,48%
