Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,8133147,-,b'New South Wales',b'Australia',-33.52,149.15,10,895,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2020,1,1,0,0,0,0,0,13,14.100000000000001,918,100,1,0.18
2020,1,1,1,0,0,0,0,12.8,13.700000000000001,917,100,1,0.18
2020,1,1,2,0,0,0,0,12.600000000000001,13.4,917,99,1,0.18
2020,1,1,3,0,0,0,0,12.5,13.100000000000001,916,101,1,0.18
2020,1,1,4,0,0,0,0,12.3,12.9,917,102,1,0.18
2020,1,1,5,0,0,0,0,12.3,13,917,101,1.1,0.18
2020,1,1,6,0,18,71,75,12.3,13.9,918,99,1.4000000000000001,0.18
2020,1,1,7,0,0,120,120,12.3,15.4,918,97,1.4000000000000001,0.18
2020,1,1,8,0,34,238,258,12.3,17.1,918,95,1.3,0.18
2020,1,1,9,0,0,60,60,12.4,18.5,918,95,1.2000000000000002,0.18
2020,1,1,10,0,860,177,924,9.200000000000001,31.6,914,326,1.6,0.2
2020,1,1,11,0,931,157,1042,8.1,33.6,913,317,1.6,0.2
2020,1,1,12,0,961,145,1089,7.1000000000000005,35.1,912,307,1.6,0.2
2020,1,1,13,0,934,160,1059,6.6000000000000005,35.800000000000004,912,299,1.6,0.2
2020,1,1,14,0,923,148,971,6.4,36,911,287,1.6,0.2
2020,1,1,15,0,891,136,826,6,35.4,911,274,1.6,0.2
2020,1,1,16,0,832,121,636,5.4,34.300000000000004,911,261,1.6,0.2
2020,1,1,17,0,732,98,417,4.4,32.7,912,253,1.5,0.2
2020,1,1,18,0,548,67,198,3.4000000000000004,30.5,913,244,0.9,0.2
2020,1,1,19,0,136,17,23,3,27.200000000000003,914,219,0.5,0.2
2020,1,1,20,0,0,0,0,2.2,25.1,915,164,0.4,0.2
2020,1,1,21,0,0,0,0,2,23.5,915,135,0.4,0.2
2020,1,1,22,0,0,0,0,3,22.1,916,131,0.4,0.2
2020,1,1,23,0,0,0,0,4.6000000000000005,20.8,916,118,0.4,0.2
2020,1,2,0,0,0,0,0,6.5,19.6,915,105,0.5,0.2
2020,1,2,1,0,0,0,0,8.4,18.400000000000002,915,92,0.5,0.2
2020,1,2,2,0,0,0,0,10,17.5,915,89,0.6000000000000001,0.2
2020,1,2,3,0,0,0,0,11,16.8,915,91,0.6000000000000001,0.2
2020,1,2,4,0,0,0,0,11.600000000000001,16,916,94,0.6000000000000001,0.2
2020,1,2,5,0,0,0,0,11.700000000000001,15.9,916,94,0.8,0.2
2020,1,2,6,0,404,69,147,11.600000000000001,17.6,916,88,1.1,0.2
2020,1,2,7,0,661,109,368,11.200000000000001,20.700000000000003,917,78,1,0.2
2020,1,2,8,0,799,131,594,10.3,24.5,917,60,0.7000000000000001,0.2
2020,1,2,9,0,872,149,795,8.9,28.200000000000003,917,7,0.6000000000000001,0.2
2020,1,2,10,0,864,190,941,7.800000000000001,31.1,916,319,0.8,0.2
2020,1,2,11,0,899,194,1048,7,33.1,916,303,1.1,0.2
2020,1,2,12,0,916,191,1092,6.1000000000000005,34.6,915,295,1.2000000000000002,0.2
2020,1,2,13,0,813,255,1038,5.2,35.4,915,286,1.3,0.2
2020,1,2,14,0,790,244,948,4,35.6,914,276,1.3,0.2
2020,1,2,15,0,750,223,804,2.6,35.4,913,268,1.2000000000000002,0.2
2020,1,2,16,0,680,194,615,1,34.6,913,261,1.1,0.2
2020,1,2,17,0,564,151,397,-0.5,33.4,913,248,0.9,0.2
2020,1,2,18,0,364,93,180,-0.2,30.700000000000003,914,210,0.30000000000000004,0.2
2020,1,2,19,0,62,13,16,-0.2,27.200000000000003,914,163,0.4,0.2
2020,1,2,20,0,0,0,0,1.2000000000000002,25.1,915,137,0.6000000000000001,0.2
2020,1,2,21,0,0,0,0,4.4,23.1,915,104,0.7000000000000001,0.2
2020,1,2,22,0,0,0,0,8.200000000000001,22.1,916,91,0.9,0.2
2020,1,2,23,0,0,0,0,11.200000000000001,21,916,86,0.9,0.2
2020,1,3,0,0,0,0,0,13.200000000000001,19.8,915,85,0.9,0.2
2020,1,3,1,0,0,0,0,14.3,18.7,915,85,0.9,0.2
2020,1,3,2,0,0,0,0,14.8,17.8,915,83,0.8,0.2
2020,1,3,3,0,0,0,0,15,17.1,915,80,0.6000000000000001,0.2
2020,1,3,4,0,0,0,0,15.200000000000001,16.6,915,76,0.6000000000000001,0.2
2020,1,3,5,0,0,0,0,15.4,16.900000000000002,915,73,0.9,0.2
2020,1,3,6,0,375,69,141,15.5,19,916,61,1.2000000000000002,0.2
2020,1,3,7,0,626,113,357,15.5,22.400000000000002,916,44,1.2000000000000002,0.2
2020,1,3,8,0,773,135,581,15.3,26.1,916,19,1.2000000000000002,0.2
2020,1,3,9,0,864,147,786,14.5,29.5,916,354,1.2000000000000002,0.2
2020,1,3,10,0,924,148,949,13.3,32.300000000000004,915,337,1.2000000000000002,0.2
2020,1,3,11,0,943,155,1051,11.8,34.4,914,323,1.2000000000000002,0.2
2020,1,3,12,0,951,157,1091,10.3,35.800000000000004,914,312,1.3,0.2
2020,1,3,13,0,899,187,1052,9.200000000000001,36.7,913,305,1.2000000000000002,0.2
2020,1,3,14,0,891,172,966,8.3,37,912,299,1.2000000000000002,0.2
2020,1,3,15,0,235,399,581,7.5,36.9,911,294,1.1,0.2
2020,1,3,16,0,802,134,631,6.800000000000001,36.4,911,293,1,0.2
2020,1,3,17,0,693,109,413,6.2,35.4,911,295,0.9,0.2
2020,1,3,18,0,493,74,193,7,33.2,911,309,0.4,0.2
2020,1,3,19,0,107,17,22,7.4,30.700000000000003,911,354,0.7000000000000001,0.2
2020,1,3,20,0,0,0,0,7,28.200000000000003,912,26,0.8,0.2
2020,1,3,21,0,0,0,0,7,26.1,912,37,0.6000000000000001,0.2
2020,1,3,22,0,0,0,0,7.4,25.700000000000003,912,40,0.5,0.2
2020,1,3,23,0,0,0,0,8.1,25.400000000000002,912,39,0.5,0.2
2020,1,4,0,0,0,0,0,8.8,24.8,911,32,0.5,0.2
2020,1,4,1,0,0,0,0,9.600000000000001,24.1,911,25,0.5,0.2
2020,1,4,2,0,0,0,0,10.4,23.3,911,22,0.5,0.2
2020,1,4,3,0,0,0,0,11,22.6,911,14,0.5,0.2
2020,1,4,4,0,0,0,0,11.3,22.1,912,2,0.5,0.2
2020,1,4,5,0,0,0,0,11.4,22.700000000000003,913,350,0.6000000000000001,0.2
2020,1,4,6,0,341,69,133,10.9,25.3,913,337,1,0.2
2020,1,4,7,0,593,115,345,10.3,29.400000000000002,914,330,1.5,0.2
