Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Wind Speed,Generic Wind 1MW Power Output,Generic Wind 1MW Operating Status,AC Primary Load,AC Primary Load Served,Autosize Genset Power Output,Autosize Genset Operating Status,Autosize Genset Fuel,Total Electrical Load Served,Renewable Penetration,Excess Electrical Production,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1MWh Li-Ion Maximum Charge Power,Generic 1MWh Li-Ion Maximum Discharge Power,Generic 1MWh Li-Ion Charge Power,Generic 1MWh Li-Ion Discharge Power,Generic 1MWh Li-Ion Output Power,Generic 1MWh Li-Ion Energy Content,Generic 1MWh Li-Ion State of Charge,Generic 1MWh Li-Ion Energy Cost,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
,kW/m2,Â°,Â°,Â°,kW/m2,kW,m/s,kW,status,kW,kW,kW,status,L,kW,%,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kWh,%,$/kWh,kW,kW,kW,kW
1/01/2007 0:00,0,0,-2.874114,90,0,0,4.601845,2171.045,0,9510.846,9510.846,0,0,0,9510.846,22.82704,0,0,2171.045,7726.106,7339.8,0,0,8011.105,50469.96,0,7726.106,7726.106,60255.98,79.28417,0,11547.45,0,2171.045,50469.96
1/01/2007 1:00,0,0,-19.3499,90,0,0,4.795791,2648.362,0,10975.92,10975.92,0,0,0,10975.92,24.12885,0,3.64E-12,2648.362,8765.846,8327.553,0,0,16595.67,42743.86,0,8765.846,8765.846,51015.97,67.12627,0,13397.69,0,2648.362,42743.86
1/01/2007 2:00,0,0,-33.88375,90,0,0,4.27441,1538.298,0,9206.903,9206.903,0,0,0,9206.903,16.7081,0,0,1538.298,8072.215,7668.605,0,0,26335.5,33978.01,0,8072.215,8072.215,42507.11,55.93039,0,10896.74,0,1538.298,33978.01
1/01/2007 3:00,0,0,-45.93515,90,0,0,2.382694,0,0,9893.637,9893.637,0,0,0,9893.637,0,0,1.82E-12,0,10414.35,9893.637,0,0,35304.62,25905.79,0,10414.35,10414.35,31529.41,41.48606,0,10883,0,0,25905.79
1/01/2007 4:00,0,0,-55.78521,90,0,0,3.034717,17.15329,0,6762.1,6762.1,0,0,0,6762.1,0.253668,0,9.09E-13,17.15329,7099.943,6744.946,0,0,46876.13,15491.44,0,7099.943,7099.943,24045.42,31.6387,0,7446.886,0,17.15329,15491.44
1/01/2007 5:00,0.03386842,1.886769,-63.9912,101.4563,0.01464096,215.9998,6.395593,7601.013,0,9190.214,9190.214,0,0,0,9190.214,85.05801,0,0,7817.013,1672.843,1589.201,0,0,54764.95,8391.497,0,1456.843,1456.843,22509.77,29.61811,0,13909.74,172.7999,7601.013,8607.496
1/01/2007 6:00,0.1721217,13.74937,-71.10757,87.67166,0.09963985,1469.999,7.416718,11092.49,0,14730.66,14730.66,4750,0,1399.591,14730.66,85.28124,0,0,12562.49,0,0,1111.831,1056.24,56383.67,6934.654,2526.239,0,-2526.239,24906.37,32.77153,0,21749.97,1175.999,30092.49,8404.652
1/01/2007 7:00,0.4179046,26.10716,-77.64144,73.91294,0.288904,4262.236,10.28764,20893.3,0,9278.678,9278.678,0,0,0,9278.678,271.1113,0,0,25155.54,0,0,11614.63,11033.9,53857.43,9208.269,15296.13,0,-15296.13,39417.55,51.86519,0,20653.2,3409.789,20893.3,13470.5
1/01/2007 8:00,0.686485,38.77484,-84.13673,60.35138,0.5584061,8238.235,8.997687,17789.33,0,9253.261,9253.261,0,0,0,9253.261,281.2799,0,0,26027.56,0,0,8536.065,8109.262,38561.3,22974.79,16347.5,0,-16347.5,54926.15,72.27124,0,19073.25,6590.588,17789.33,31213.02
