Iteration,Objective Value,Parameters,Time (seconds)
1,0.289050397,"[10000, 10, 15000, 5000, 17000]",10.89834189
2,0.262903257,"[27500, 28, 22500, 7500, 23500]",22.29157186
3,0.287070598,"[36250, 19, 18750, 6250, 26750]",33.62413335
4,0.249568292,"[18750, 36, 26250, 8750, 20250]",45.4353292
5,0.260657294,"[23125, 23, 24375, 9375, 21875]",57.00873113
6,0.282651004,"[40625, 41, 16875, 6875, 28375]",68.92192459
7,0.295840972,"[31875, 14, 28125, 8125, 25125]",80.37203956
8,0.241241788,"[14375, 32, 20625, 5625, 18625]",92.2417202
9,0.27603006,"[16562, 21, 29062, 7188, 24312]",103.8789563
10,0.250139817,"[34062, 38, 21562, 9688, 17812]",115.6858232
11,0.291983485,"[42812, 12, 25312, 5938, 21062]",127.0928421
12,0.269619796,"[25312, 30, 17812, 8438, 27562]",138.7926483
13,0.294062362,"[20938, 17, 19688, 7812, 29188]",150.4965162
14,0.270794519,"[38438, 34, 27188, 5312, 22688]",162.2744336
15,0.248977517,"[29688, 25, 15938, 9062, 19438]",173.9632792
16,0.26874124,"[12188, 43, 23438, 6562, 25938]",185.9479077
17,0.25401431,"[13281, 26, 22031, 8281, 20656]",197.5890639
18,0.280849959,"[30781, 44, 29531, 5781, 27156]",209.6375439
19,0.281030978,"[39531, 18, 18281, 9531, 23906]",221.1925178
20,0.241346417,"[22031, 35, 25781, 7031, 17406]",233.0770407
21,0.271281475,"[26406, 13, 27656, 6406, 19031]",244.6508579
22,0.27964007,"[43906, 31, 20156, 8906, 25531]",256.4014125
23,0.293260636,"[35156, 22, 23906, 5156, 28781]",268.0350993
24,0.249165807,"[17656, 40, 16406, 7656, 22281]",280.1633675
25,0.302862664,"[15469, 15, 22969, 9219, 27969]",291.7811077
26,0.254030186,"[32969, 33, 15469, 6719, 21469]",303.7646255
27,0.262994953,"[41719, 24, 26719, 7969, 18219]",315.6242743
28,0.260886616,"[24219, 42, 19219, 5469, 24719]",327.7736979
29,0.275517253,"[19844, 20, 17344, 6094, 26344]",339.5803359
30,0.260838636,"[37344, 37, 24844, 8594, 19844]",351.3490114
31,0.290262454,"[28594, 11, 21094, 7344, 23094]",362.6635165
32,0.292566849,"[11094, 29, 28594, 9844, 29594]",373.9638562
33,0.263553394,"[11641, 19, 25547, 7734, 18828]",385.3562074
34,0.264677219,"[29141, 37, 18047, 5234, 25328]",396.9908786
35,0.323470612,"[37891, 11, 29297, 8984, 28578]",408.3787453
36,0.253867355,"[20391, 28, 21797, 6484, 22078]",420.0102918
37,0.262840959,"[24766, 15, 16172, 7109, 20453]",431.4890182
38,0.284773614,"[42266, 32, 23672, 9609, 26953]",443.2691917
39,0.269076513,"[33516, 24, 19922, 5859, 23703]",454.8448024
