Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816552.5660048,1227695965.2025585,293305136.08564395,1021815451.277802,-19358.089942578918,668778.2128613213,134372531.49496245,0.2846361035791835,44200,1.659827830735594e-09,1969558247.65,38158692.56734305,0.0,8.427411744313913e-17,100.0,25
-29.5,152.4897,AUS.NSW.335959,29459,7000,17000,5000,2726,2455932737.6022444,1215047976.5665462,19185871.470791023,1221698889.5649073,-32957.22744058249,799601.9232202318,150616776.01301485,0.3190456545027611,27150,1.028865881380625e-09,1969558247.65,13930295.4120647,0.0,5.223840841509652e-17,100.0,25
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769.168688,981116201.4143108,1286278816.2978716,684528751.4565053,-27624.382518951308,448024.0678282827,115527385.3822655,0.2447171640368444,14675,1.682565198279917e-09,1969558247.65,16524452.368684571,0.0,8.542855740811362e-17,100.0,25
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607108.571645,1264987139.4698253,348269618.8349479,973350350.2668718,-17018.61127258075,637057.8042496676,124353281.63034531,0.263412716548198,42500,1.8417267710901799e-09,1969558247.65,33027161.051033333,0.0,9.35096371629352e-17,100.0,25
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363.072203,1218458515.500523,315183176.604814,979732670.9668657,-18717.299110589614,641235.0331478135,125410006.32890528,0.2656511353485855,42975,1.7053025658242402e-09,1969558247.65,34127989.66338095,0.0,8.658299737308814e-17,100.0,25
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211565.7129726,1249000490.8460517,483960672.5581678,938250402.3087533,-11551.843955122422,614084.888311079,132373964.63951808,0.280402617195119,32250,1.909938873723149e-09,1969558247.65,20534746.63455782,0.0,9.697295705785872e-17,100.0,25
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062389.7761183,1304632218.7437096,338531817.22929555,965898353.803113,-16937.699485313104,632180.4725641374,124233212.68492448,0.2631583791742926,42300,2.000888343900442e-09,1969558247.65,33531325.213699363,0.0,1.0159071691775675e-16,100.0,25
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939.156012,1211514843.7292175,350234202.4689777,968504892.9578166,-17479.699862774127,633886.452440891,123434053.82682204,0.2614655520690773,44600,1.659827830735594e-09,1969558247.65,36060365.58868614,0.0,8.427411744313913e-17,100.0,25
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718.3393407,1343817133.3373835,405647025.0709801,955623559.930977,-23379.42232570894,625455.6199748245,132126131.5094144,0.2798776419214844,38400,2.3874235921539366e-09,1969558247.65,37839287.63328681,0.0,1.212161963223234e-16,100.0,25
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279.26458,1134717733.0652645,1164877734.5898898,615103811.6094261,-15206.763390928743,402585.44469836936,107777980.70308708,0.2283019017179803,17550,1.1368683772161603e-09,1969558247.65,15916899.18475826,0.0,5.772199824872543e-17,100.0,25
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494.033841,1043563323.940154,1842365670.7160945,457171499.3775932,-40535.300111132725,299218.7463426347,92536644.25275096,0.1960167719202604,7500,8.185452315956353e-10,1969558247.65,13344646.650747126,0.0,4.155983873908231e-17,100.0,25
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305.282656,1194658499.226751,381828217.47038025,924658588.5855248,-17653.724403617205,605189.046229226,120655162.6225423,0.2555791349877238,42275,1.909938873723149e-09,1969558247.65,38762149.06499264,0.0,9.697295705785872e-17,100.0,25
-31.5161,145.8551,AUS.NSW.334374,24289,9000,17000,5000,2419,2651690937.852898,1253637225.2476869,500723170.5590673,897330542.0461441,-26580.23635366619,587302.8397692012,121807717.33016458,0.2580205467665273,24325,2.1600499167107046e-09,1969558247.65,22251297.12320296,0.0,1.096717966725783e-16,100.0,25
-31.5212,145.8578,AUS.NSW.334832,24289,9000,17000,5000,2419,2651690937.852898,1253637225.2476869,500723170.5590673,897330542.0461441,-26580.23635366619,587302.8397692012,121807717.33016458,0.2580205467665273,24325,2.1600499167107046e-09,1969558247.65,22251297.12320296,0.0,1.096717966725783e-16,100.0,25
-31.2586,146.8719,AUS.NSW.334834,22876,9000,17000,5000,2373,2559159308.862172,1172013914.863395,453452996.4941806,933692397.504596,-25935.77934418958,611101.674166758,124389402.46235327,0.2634892299007887,25825,2.9558577807620164e-09,1969558247.65,21380270.248971727,0.0,1.500771954466861e-16,100.0,25
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137.1281586,1149318084.180302,1203683829.4410467,605372223.5068095,-9441.05784265824,396216.1202852068,107715307.16212612,0.2281691427954671,21475,1.0459189070388675e-09,1969558247.65,15868756.390405571,0.0,5.31042383888274e-17,100.0,25
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661694.917906,1067799710.3779596,1868994678.9273293,453867305.6126165,-12389.139065352343,297056.15152345755,93087791.72982152,0.1971842461698376,15400,8.185452315956353e-10,1969558247.65,12617918.08242847,0.0,4.155983873908231e-17,100.0,25
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512.339675,1211753638.6352608,252793290.2982083,1005212583.406206,-16993.87247265582,657911.6358393619,128764375.3740207,0.2727565647421225,47750,1.6370904631912706e-09,1969558247.65,40392822.65992461,0.0,8.311967747816462e-17,100.0,25
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177893.5426173,1252837551.1926095,438932815.4345772,898407526.9154304,-19803.323247246663,588007.7263661491,119831428.18933605,0.2538342503982672,40650,2.489741746103391e-09,1969558247.65,39277985.08470076,0.0,1.2641117616470868e-16,100.0,25
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501.0546355,1177530901.6861703,404002198.4739235,907303400.8945416,-24034.325510622464,593830.0758854776,119572005.57877035,0.2532847255792417,35375,2.114575181622058e-09,1969558247.65,34286365.450435065,0.0,1.0736291674262931e-16,100.0,25
-31.8199,123.1924,AUS.WA.561110,21153,10000,17000,6000,1773,2605414366.572768,1102044460.2727692,694343832.7907583,809026073.5092409,-19354.79320660961,529507.5651117981,114100032.79724434,0.2416936586097004,28025,2.228262019343674e-09,1969558247.65,27388438.09126452,0.0,1.1313511656750184e-16,100.0,25
-31.1637,121.0857,AUS.WA.335026,22555,6000,17000,8000,1704,2552877333.333094,1203398012.9447129,410107162.30377793,939372158.0846032,-17363.383955271856,614819.0774663727,123010502.982693,0.2605683608008969,40600,2.1032064978498966e-09,1969558247.65,35168445.362490006,0.0,1.0678569676014203e-16,100.0,25
-23.432,117.9,AUS.WA.335066,25865,9000,17000,5000,2577,2803752110.377491,1465402518.8679688,438884908.35581046,899464683.1537118,-28485.117372637284,588699.6351241043,121359493.36669324,0.2570710913899418,21500,1.796252036001533e-09,1969558247.65,20552786.38828002,0.0,9.120075723298617e-17,100.0,25
-32.7509,116.3581,AUS.WA.335111,22270,11000,17000,5000,1212,2629043758.330374,1111689068.9721513,777469180.2704037,739885509.0878184,-14146.507428132074,484255.06569797714,109384911.17194451,0.2317057999871396,30100,1.546140993013978e-09,1969558247.65,22142065.965652484,0.0,7.850191761826658e-17,100.0,25
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826.292294,1205780756.0058663,438932815.4345772,899162254.8518505,-20329.9010558632,588501.6958005362,119504050.67516838,0.253140779351801,38925,2.467004378559068e-09,1969558247.65,39480897.33193554,0.0,1.2525673619973419e-16,100.0,25
-24.237,115.9535,AUS.WA.652958,17661,30000,17000,5000,1719,3161757859.5402584,1045557021.970339,1534259717.7451146,581941119.8248048,-21163.97947840924,380880.4629253347,103281264.3267018,0.2187766824336878,15775,8.29913915367797e-10,1969558247.65,14906801.050690446,0.0,4.2137058721569556e-17,100.0,25
-27.5191,120.588,AUS.WA.652960,16765,33000,17000,5000,5895,3355132936.106512,953072932.3273418,1946292734.381372,455767269.3977984,-42236.8813929961,298299.677820859,93054851.59072576,0.1971144703552476,7050,9.094947017729281e-10,1969558247.65,13772308.775318457,0.0,4.6177598598980345e-17,100.0,25
-33.5265,149.1588,AUS.NSW.333484,29292,1000,17000,5000,2610,2554244484.779653,1343766814.903179,9670029.576109275,1200807640.3003652,-29356.307005445626,785928.600576589,142823213.9860376,0.3025368553926941,44675,8.412825991399585e-10,1969558247.65,11387075.683532776,0.0,4.2714278704056816e-17,100.0,25
-31.1629,145.6538,AUS.NSW.333485,23616,9000,17000,5000,2373,2636724727.6189275,1239359997.1443722,495333792.1982043,902030938.2763509,-25956.47232598466,590379.2491018716,121744047.94506793,0.2578856783861406,23900,2.1600499167107046e-09,1969558247.65,21965139.25422117,0.0,1.096717966725783e-16,100.0,25
-31.5001,145.8422,AUS.NSW.334161,22846,9000,17000,5000,2356,2592088308.780189,1190684776.5787709,500723170.5590673,900680361.6423502,-26110.39063449301,589495.2966949182,121380055.7076918,0.2571146477965763,24600,2.250999386887997e-09,1969558247.65,22472985.32591975,0.0,1.142895565324763e-16,100.0,25
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649.45035,879981270.3158171,1911952582.96721,496924796.1673226,-10099.991863680149,325237.2790915126,97931106.7622125,0.2074436518972495,24175,7.73070496506989e-10,1969558247.65,19131619.045662984,0.0,3.925095880913329e-17,100.0,25
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431362.604073,1257481148.3315425,210018620.7344956,1043931593.5380358,-14639.173934188964,683253.2279706444,132736702.74465583,0.2811709912051747,47475,1.2278178473934531e-09,1969558247.65,37271151.22298903,0.0,6.233975810862346e-17,100.0,25
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907585.853702,1018105649.2065084,1842365670.7160945,456436265.9310993,-40239.09928556307,298737.5360519045,92130730.7722158,0.1951569411929208,7575,9.094947017729281e-10,1969558247.65,13323438.5929399,0.0,4.6177598598980345e-17,100.0,25
-41.2021,146.8156,AUS.TAS.334630,21395,30000,17000,6000,1291,3262756553.2439275,839863955.0229208,1891636252.479962,531256345.7410445,-11736.1074349985,347707.2782875136,101093201.57229345,0.2141417942621803,18675,1.1823431123048067e-09,1969558247.65,16162383.542052915,0.0,6.003087817867444e-17,100.0,25
-41.4269,145.5264,AUS.TAS.335457,30768,28000,17000,5000,1233,2543533105.043163,1013455125.0720632,630540399.3904748,899537580.5806246,-14110.355144545598,588747.3464900188,143496821.2320047,0.3039637314044924,26325,1.659827830735594e-09,1969558247.65,18488480.083207484,0.0,8.427411744313913e-17,100.0,25
-42.061,145.5855,AUS.TAS.335962,50000,31000,17000,5000,10000,3434943915.557303,1560414443.663809,1198187321.4981215,676342150.3953718,-42956.70172233552,442665.93743377086,131884401.67521772,0.2793655950220245,12275,1.5234036254696546e-09,1969558247.65,15882093.788999934,0.0,7.734747765329207e-17,100.0,25
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614.02043,1262504496.2480576,252568524.34097376,1008802593.4313986,-17009.46448161009,660261.2974008505,128484137.39517397,0.2721629475386181,48100,2.0122570276726037e-09,1969558247.65,39119591.01941706,0.0,1.02167936900244e-16,100.0,25
-20.9825,116.8648,AUS.WA.335472,23723,9000,17000,5000,2293,2704635988.3880258,1400359178.375875,446915386.5772244,857361423.4349264,-25006.75284054545,561143.0516381593,116738056.89555414,0.2472816823831383,23775,1.887201506178826e-09,1969558247.65,21819810.945239343,0.0,9.58185170928842e-17,100.0,25
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959297.618142,1228586341.0687556,454917465.1495247,898455491.3998619,-23338.684498909777,588039.1191212096,119843585.9577027,0.2538600037258082,38700,2.523847797419876e-09,1969558247.65,39743744.61463835,0.0,1.2814283611217042e-16,100.0,25
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911566.608005,993776224.9355656,1377481374.271093,625653967.4013474,-44798.53569897209,409490.5216641818,106998696.61913264,0.2266511745733006,12175,1.4154011296341196e-09,1969558247.65,15959209.408450596,0.0,7.186388781966317e-17,100.0,25
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122.408813,1210761795.6780317,343672102.7813636,973780223.949418,-16892.22555892894,637339.1565748941,123999468.69200754,0.2626632483716001,40750,2.3533175408374522e-09,1969558247.65,30842801.38966386,0.0,1.1948453637486164e-16,100.0,25
-17.1187,144.4047,AUS.QLD.334276,23891,9000,17000,5000,2720,2646736088.412118,1297401677.525492,401822687.2295627,947511723.6570634,-30033.596748411488,620146.4231335479,125324048.94393262,0.2654690551655282,23875,1.875832822406664e-09,1969558247.65,21107183.43187503,0.0,9.524129711039695e-17,100.0,25
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623581.5531406,1237095761.663013,370300597.90084,954227221.9892874,-17923.163420039986,624541.7167919886,124586076.26178296,0.2639058363554187,45475,2.0122570276726037e-09,1969558247.65,38085035.57069703,0.0,1.02167936900244e-16,100.0,25
-32.0637,146.3085,AUS.NSW.335658,16530,34000,17000,5000,7019,3097665743.1408405,844297575.3270105,1680933383.4991956,572434784.3146344,-43535.12887438562,374658.5663339282,106175676.5229644,0.224907803136189,9900,1.6143530956469474e-09,1969558247.65,16006379.73663526,0.0,8.196523751319011e-17,100.0,25
-33.4574,148.9957,AUS.NSW.335835,24838,24000,17000,5000,1755,2599589445.2824497,1134584261.5646987,561956762.5181067,903048421.1996446,-20281.69632731262,591045.1916751673,134892275.24502203,0.2857370565360915,23350,2.091837814077735e-09,1969558247.65,18229471.79531148,0.0,1.0620847677765479e-16,100.0,25
-29.72,135.5749,AUS.SA.333675,17883,31000,17000,5000,7098,3333215665.75012,989659885.1567894,1815379184.7154276,528176595.8779032,-39401.28243579387,345691.58200208767,98683506.30348596,0.2090374305615361,10125,1.000444171950221e-09,1969558247.65,15907848.905114789,0.0,5.0795358458878375e-17,100.0,25
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907174.6016417,1263441604.3195322,370730833.1645311,952734737.1175786,-16630.61352460349,623564.8854434552,124067605.79374272,0.2628075805422551,44425,1.318767317570746e-09,1969558247.65,35220589.06415482,0.0,6.69575179685215e-17,100.0,25
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508602.677415,1241949861.681529,359224935.745787,960333805.2500986,-16967.77187092065,628538.4755361894,124371287.17532653,0.2634508569933414,44850,1.7507773009128867e-09,1969558247.65,35183950.090242244,0.0,8.889187730303717e-17,100.0,25
-20.8684,116.8655,AUS.WA.335166,18082,28000,17000,5000,1006,2963021191.152998,1074432074.0405614,1293654749.4677837,594934367.6446527,-9048.858038132104,389384.5436234252,103029303.01312472,0.2182429625896738,23675,1.000444171950221e-09,1969558247.65,15103869.11609422,0.0,5.0795358458878375e-17,100.0,25
-21.2035,119.2383,AUS.WA.335341,19662,26000,17000,5000,1000,3060740791.300803,1147527977.6468146,1296783159.6029446,616429654.0510437,-9144.281455945917,403453.2085764081,103587943.4022294,0.2194263087831826,23500,8.86757334228605e-10,1969558247.65,14916462.924444027,0.0,4.502315863400584e-17,100.0,25
-27.3105,120.5528,AUS.WA.335342,16497,33000,17000,5000,1009,3341458113.023137,938639930.088097,1946292734.381372,456525448.553668,-9153.144463634004,298795.9060783757,93029353.36376724,0.1970604584534929,19625,6.59383658785373e-10,1969558247.65,13795925.021809949,0.0,3.347875898426075e-17,100.0,25
-35.5901,149.4372,AUS.NSW.335061,29463,9000,17000,5000,2814,2548559347.4671097,1271078394.4619496,187339886.42293164,1090141066.5822282,-30964.814013023966,713497.3280780682,141810985.702767,0.3003926916169778,24100,1.3983481039758772e-09,1969558247.65,18049344.16028501,0.0,7.099805784593228e-17,100.0,25
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105467.853799,1229868743.4134414,353723981.9160916,984512742.5242656,-21304.792006627304,644363.5899821318,127447864.15447363,0.2699678502654275,30575,2.205524651799351e-09,1969558247.65,20424291.08417205,0.0,1.1198067660252732e-16,100.0,25
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773.423279,1166826652.3900535,325437063.0529417,1010382057.9802836,-19945.780407580656,661295.0569480956,131904768.76288009,0.2794087378311163,44675,2.2737367544323206e-09,1969558247.65,36084261.85880158,0.0,1.1544399649745083e-16,100.0,25
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907.119741,1067819908.296449,1868994678.9273293,452976319.8959626,-8692.605764626449,296473.00137190754,92932860.50470048,0.1968560613857111,19425,7.73070496506989e-10,1969558247.65,13180875.764889527,0.0,3.925095880913329e-17,100.0,25
-21.5127,134.1564,AUS.NT.597284,16134,32000,17000,5000,1447,3310417720.247273,926578114.5929456,1909939632.7638023,473899972.89052486,-14073.181293231995,310167.5322568485,93708543.46406405,0.1984991604083287,15250,8.86757334228605e-10,1969558247.65,14474603.32072854,0.0,4.502315863400584e-17,100.0,25
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030126.934231,1210935376.448387,339835231.9840641,973259518.5017796,-17566.927438209095,636998.3548594149,124254928.5458591,0.2632043790373116,42100,2.2737367544323206e-09,1969558247.65,34628368.105646595,0.0,1.1544399649745083e-16,100.0,25
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011.271314,957074817.6042868,1499712528.1765518,541108665.4904758,-41728.57053415023,354155.6215635164,103956377.21925004,0.2202067477980381,8525,8.640199666842817e-10,1969558247.65,17930058.044299934,0.0,4.386871866903133e-17,100.0,25
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789.29364,1224793868.296698,353953104.5118674,966746816.4850752,-17712.291537341516,632735.7913894816,123688424.37126814,0.262004375293072,44350,2.171418600482866e-09,1969558247.65,35237302.21916259,0.0,1.1024901665506555e-16,100.0,25
-20.5711,139.472,AUS.QLD.333688,17053,31000,17000,5000,1058,3151690675.920596,978745370.3330104,1601748219.6527529,571197085.9348326,-10305.661321741343,373848.492744348,102690675.30883676,0.2175256607033421,22425,5.456968210637568e-10,1969558247.65,16212464.538469724,0.0,2.7706559159388206e-17,100.0,25
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466.223485,1315969640.1446333,147833082.33246937,1082184743.7463827,-15994.310196815835,708289.9147820075,135877660.05214545,0.2878243588210548,49050,1.318767317570746e-09,1969558247.65,34917685.16463793,0.0,6.69575179685215e-17,100.0,25
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093.3174767,1019039449.6216284,1868994678.9273293,457874964.7685189,-39610.96094314646,299679.1644409956,93287026.3240506,0.197606277056423,7750,1.0686562745831907e-09,1969558247.65,13965409.725408934,0.0,5.4258678353801904e-17,100.0,25
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553.2830825,918183341.365671,1866190619.1825647,500960592.7348466,-8626.145857481502,327878.7079449571,97735436.38487136,0.2070291709525757,24175,8.412825991399585e-10,1969558247.65,16248291.477892287,0.0,4.2714278704056816e-17,100.0,25
-20.7759,140.0445,AUS.QLD.334400,22849,6000,17000,9000,1765,2622728505.393939,1312965814.652928,343672102.7813636,966090587.9596474,-16576.06486779208,632306.2898195892,124236309.55153178,0.2631649391462942,43500,2.2964741219766442e-09,1969558247.65,33853387.62997489,0.0,1.1659843646242535e-16,100.0,25
-20.7216,139.4782,AUS.QLD.334462,16550,31000,17000,5000,5315,3116902913.602374,939034957.7080806,1601748219.6527529,576119736.2415406,-43124.53699735717,377070.3673700883,103012091.7418872,0.2182065046236878,10225,1.0231815394945443e-09,1969558247.65,16940025.33353855,0.0,5.194979842385289e-17,100.0,25
-21.0446,139.9062,AUS.QLD.334660,16840,31000,17000,5000,6171,3151472964.504979,957937020.9344397,1626458328.302023,567077615.2685163,-42242.97909855712,371152.2991932439,102408617.06699188,0.2169281877075749,10525,1.3642420526593924e-09,1969558247.65,16404355.240236953,0.0,6.92663978984705e-17,100.0,25
-19.7033,134.2407,AUS.NT.334173,20118,7000,17000,5000,1587,2495273006.9556484,1160196248.460565,444416342.03127575,890660416.4638075,-17912.126121371304,582937.242575562,117375003.20486487,0.2486309009596906,28875,2.3874235921539366e-09,1969558247.65,22676955.436758477,0.0,1.212161963223234e-16,100.0,25
-19.4354,134.0661,AUS.NT.334279,18427,33000,17000,5000,6924,3389597249.2788224,1066998296.798296,1868994678.9273293,453604273.55319697,-39693.466420133605,296883.9970405674,93073052.42432572,0.1971530244726715,7725,1.000444171950221e-09,1969558247.65,13744835.129527995,0.0,5.0795358458878375e-17,100.0,25
-19.7115,134.2901,AUS.NT.334637,18502,33000,17000,5000,1028,3389790907.119741,1067819908.296449,1868994678.9273293,452976319.8959626,-8692.605764626449,296473.00137190754,92932860.50470048,0.1968560613857111,19425,7.73070496506989e-10,1969558247.65,13180875.764889527,0.0,3.925095880913329e-17,100.0,25
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571827.5886474,1069027266.3144736,360395194.2511392,1044149367.0230345,-14853.25272589101,683395.760716576,148065779.28551754,0.3136419774217402,33000,2.228262019343674e-09,1969558247.65,24590696.42080475,0.0,1.1313511656750184e-16,100.0,25
