Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-20.4447,140.7058,AUS.QLD.334994,22350,8000,17000,5000,2621,2650987280,1279605927,451114776.8,920266576.5,-62154.88032,602314.4743,0.306,56%,120682023.1,0.255636033,9375,2.24E-09,1969558248,17104009.71,0,1.14E-16,100,25,65%,0.701
-20.2545,140.1558,AUS.QLD.335006,21478,8000,17000,5000,2387,2591367827,1224334661,449367133.5,917666032.8,-56576.11138,600612.4185,0.305,57%,120198946.8,0.254612751,9575,2.57E-09,1969558248,15854969.01,0,1.30E-16,100,25,65%,
-20.5636,139.9752,AUS.QLD.335227,20740,8000,17000,5000,2371,2555137270,1183129111,449367133.5,922641025.2,-58273.18109,603868.551,0.307,56%,120558682.5,0.255374765,9925,2.48E-09,1969558248,16184132.92,0,1.26E-16,100,25,64%,
-22.6513,136.268,AUS.NT.334762,24199,9000,17000,5000,2342,2814858023,1401790593,559045775.2,854021654.9,-50491.29969,558957.1731,0.284,60%,117173971.6,0.248205063,7325,2.09E-09,1969558248,11633086.14,0,1.06E-16,100,25,70%,
-13.4996,131.713,AUS.NT.334824,24887,9000,17000,5000,2787,2601783588,1305587301,313292628.9,982903657.9,-67999.36854,643310.4441,0.327,53%,128606136.7,0.272421374,8325,1.75E-09,1969558248,17001711.94,0,8.89E-17,100,25,62%,
-19.4387,134.0281,AUS.NT.334931,24410,9000,17000,5000,2538,2776721907,1400107856,566355266.2,810258785.5,-57301.58878,530314.3751,0.269,62%,114024765.1,0.241534222,8100,2.15E-09,1969558248,14518386.91,0,1.09E-16,100,25,71%,
-20.3054,140.1508,AUS.QLD.455378,21085,8000,17000,5000,2411,2572520862,1204755450,449367133.5,918398278.6,-57933.12614,601091.6733,0.305,56%,120200945.9,0.254616985,9700,2.43E-09,1969558248,16140410,0,1.24E-16,100,25,64%,
-22.0815,140.5842,AUS.QLD.558218,20261,8000,17000,5000,2425,2556519708,1175373812,465054279.7,916091616.1,-58986.78767,599581.9627,0.304,57%,119326174,0.25276399,9425,2.33E-09,1969558248,16258824.39,0,1.18E-16,100,25,64%,
-35.0919,139.0054,AUS.SA.333599,20652,33000,17000,5000,1271,3054161512,906028611,1532420110,615712791.3,-26806.75969,402984.0219,0.205,71%,111878240.9,0.236987323,5425,1.18E-09,1969558248,4696397.138,0,6.00E-17,100,25,80%,
-41.8501,145.5144,AUS.TAS.333976,50000,31000,17000,5000,10000,3431824441,1557750268,1198187321,675886851.5,-104296.8845,442367.9443,0.225,68%,131832307.3,0.279255246,4800,1.16E-09,1969558248,11655170.97,0,5.89E-17,100,25,80%,
