Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958,1261714128,441080726.9,888734103.2,0,581676.4705,0.295,58%,118984214,0.252039629,2850,3.49E-09,1969558248,0,0,1.77E-16,100,25,66%,0.701
-12.9681,131.1124,AUS.NT.335011,26589,5000,17000,12000,1849,2571207655,1344709587,147833082.3,1078664986,0,705986.2334,0.358,49%,136237693.3,0.288587003,1575,1.92E-09,1969558248,0,0,9.76E-17,100,25,58%,
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573320,1237346322,441080726.9,888146270.4,0,581291.734,0.295,58%,119059293.2,0.252198667,2750,3.40E-09,1969558248,0,0,1.73E-16,100,25,65%,
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177894,1252837551,438932815.4,898407526.9,0,588007.7264,0.299,57%,119831428.2,0.25383425,2675,3.38E-09,1969558248,0,0,1.71E-16,100,25,65%,
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501,1177530902,404002198.5,907303400.9,0,593830.0759,0.302,57%,119572005.6,0.253284726,2275,2.75E-09,1969558248,0,0,1.40E-16,100,25,64%,
-31.8199,123.1924,AUS.WA.561110,22974,6000,17000,10000,1864,2559943188,1196915912,418900034.8,944127240.9,0,617931.2792,0.314,55%,124567202,0.263865856,2200,2.86E-09,1969558248,0,0,1.45E-16,100,25,63%,
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062390,1304632219,338531817.2,965898353.8,0,632180.4726,0.321,54%,124233212.7,0.263158379,2350,2.84E-09,1969558248,0,0,1.44E-16,100,25,63%,
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939,1211514844,350234202.5,968504893,0,633886.4524,0.322,54%,123434053.8,0.261465552,2100,2.59E-09,1969558248,0,0,1.32E-16,100,25,62%,
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718,1343817133,405647025.1,955623559.9,0,625455.62,0.318,55%,132126131.5,0.279877642,2125,2.82E-09,1969558248,0,0,1.43E-16,100,25,65%,
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607109,1264987139,348269618.8,973350350.3,0,637057.8042,0.323,54%,124353281.6,0.263412717,2550,3.16E-09,1969558248,0,0,1.60E-16,100,25,62%,
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363,1218458516,315183176.6,979732671,0,641235.0331,0.326,54%,125410006.3,0.265651135,1950,2.44E-09,1969558248,0,0,1.24E-16,100,25,61%,
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211566,1249000491,483960672.6,938250402.3,0,614084.8883,0.312,56%,132373964.6,0.280402617,2325,2.97E-09,1969558248,0,0,1.51E-16,100,25,65%,
-35.5901,149.4372,AUS.NSW.335061,27322,17000,17000,5000,1000,2530675096,1178712737,343479029.5,1008483329,0,660052.339,0.335,52%,139766844,0.296062666,1550,2.03E-09,1969558248,0,0,1.03E-16,100,25,60%,
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105468,1229868743,353723981.9,984512742.5,0,644363.59,0.327,53%,127447864.2,0.26996785,2200,2.73E-09,1969558248,0,0,1.39E-16,100,25,62%,
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773,1166826652,325437063.1,1010382058,0,661295.0569,0.336,52%,131904768.8,0.279408738,2325,3.16E-09,1969558248,0,0,1.60E-16,100,25,60%,
-26.0954,127.7274,AUS.WA.434546,23071,6000,17000,9000,1821,2603464390,1288294211,376013629.7,939156548.9,0,614677.9612,0.312,55%,122896705.8,0.260327309,3100,3.84E-09,1969558248,0,0,1.95E-16,100,25,64%,
-31.1931,121.6785,AUS.WA.513745,21400,7000,17000,5000,1521,2532543537,1145814516,479334516.9,907394503.7,0,593889.7026,0.302,57%,119727764.2,0.253614663,2475,3.31E-09,1969558248,0,0,1.68E-16,100,25,64%,
-28.4839,121.17,AUS.WA.515724,17263,31000,17000,6000,1000,3373680771,968376735.7,1947031125,458272909.8,0,299939.6194,0.152,78%,92171776.21,0.195243886,600,6.82E-10,1969558248,0,0,3.46E-17,100,25,86%,
-20.8771,117.8091,AUS.WA.333611,18516,29000,17000,5000,1000,3013440116,1102801154,1312402115,598236847.7,0,391546.0168,0.199,72%,104346203.8,0.221032502,1125,1.41E-09,1969558248,0,0,7.16E-17,100,25,80%,
-27.599,120.5777,AUS.WA.333803,24867,8000,17000,10000,1855,2781298848,1407176630,519240164.8,854882053.3,0,559520.3039,0.284,59%,118680797.5,0.251396914,2400,2.99E-09,1969558248,0,0,1.52E-16,100,25,69%,
-28.7772,116.9626,AUS.WA.333890,23014,6000,17000,9000,1859,2628142161,1311167384,393945151.1,923029625.5,0,604122.8899,0.307,56%,121428899.7,0.257218112,2200,2.85E-09,1969558248,0,0,1.45E-16,100,25,65%,
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160277,1080415040,550108640.9,886636596.3,0,580303.6522,0.295,58%,121189789.9,0.256711615,1800,2.13E-09,1969558248,0,0,1.08E-16,100,25,65%,
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939,1082903995,550108640.9,886669303.5,0,580325.0592,0.295,58%,121279209.5,0.256901029,1700,2.06E-09,1969558248,0,0,1.04E-16,100,25,65%,
-34.5375,137.8722,AUS.SA.529299,17752,30000,17000,5000,1761,3370307418,814884008.2,2039778053,515645356.6,0,337489.8859,0.171,76%,96627687.56,0.20468267,1150,1.34E-09,1969558248,0,0,6.81E-17,100,25,85%,
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614,1262504496,252568524.3,1008802593,0,660261.2974,0.335,52%,128484137.4,0.272162948,2550,3.17E-09,1969558248,0,0,1.61E-16,100,25,60%,
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,0,390462.0411,0.198,72%,103410844.1,0.219051166,875,1.23E-09,1969558248,0,0,6.23E-17,100,25,80%,
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959298,1228586341,454917465.1,898455491.4,0,588039.1191,0.299,57%,119843586,0.253860004,2475,3.26E-09,1969558248,0,0,1.66E-16,100,25,65%,
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816553,1227695965,293305136.1,1021815451,0,668778.2129,0.34,52%,134372531.5,0.284636104,1575,2.21E-09,1969558248,0,0,1.12E-16,100,25,60%,
-29.5,152.4897,AUS.NSW.335959,25130,9000,17000,8000,1434,2302946099,1036497244,24500635.46,1241948220,0,812855.1099,0.413,41%,153654091.9,0.325479483,975,1.30E-09,1969558248,0,0,6.58E-17,100,25,46%,
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,0,448024.0678,0.227,68%,115527385.4,0.244717164,1450,1.93E-09,1969558248,0,0,9.81E-17,100,25,77%,
-31.2166,121.68,AUS.WA.335722,23123,6000,17000,9000,1725,2603562605,1260428931,411791973.9,931341700.8,0,609563.1432,0.309,56%,122485387.1,0.259456028,2025,2.52E-09,1969558248,0,0,1.28E-16,100,25,64%,
-26.9204,120.379,AUS.WA.335749,16508,34000,17000,5000,7049,3338988654,940303406.8,1944182048,454503198.9,0,297472.3437,0.151,78%,93683627.86,0.198446383,925,1.16E-09,1969558248,0,0,5.89E-17,100,25,86%,
-28.7452,116.9436,AUS.WA.335838,22732,6000,17000,9000,1865,2623337216,1308245853,395449144.5,919642219,0,601905.8323,0.306,56%,121168721.9,0.256666988,2150,2.82E-09,1969558248,0,0,1.43E-16,100,25,65%,
-21.7224,122.2109,AUS.WA.335840,18323,32000,17000,5000,1043,3190913940,1047559782,1624582480,518771678.2,0,339536.0634,0.172,75%,98838272.7,0.209365266,1125,1.51E-09,1969558248,0,0,7.68E-17,100,25,84%,
-17.7501,127.8329,AUS.WA.335844,20289,31000,17000,5000,1002,3015469043,1124452525,1279024704,611991814.9,0,400548.6428,0.203,71%,109343518.6,0.23161812,1050,1.23E-09,1969558248,0,0,6.23E-17,100,25,80%,
-26.9179,118.6444,AUS.WA.336035,21401,6000,17000,9000,1800,2555363389,1238618969,400584874.5,916159545.4,0,599626.4224,0.304,57%,120161767.6,0.254533996,2300,2.86E-09,1969558248,0,0,1.45E-16,100,25,64%,
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,0,396216.1203,0.201,71%,107715307.2,0.228169143,1150,1.48E-09,1969558248,0,0,7.50E-17,100,25,80%,
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661695,1067799710,1868994679,453867305.6,0,297056.1515,0.151,78%,93087791.73,0.197184246,900,1.23E-09,1969558248,0,0,6.23E-17,100,25,87%,
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,0,657911.6358,0.334,52%,128764375.4,0.272756565,1850,2.21E-09,1969558248,0,0,1.12E-16,100,25,59%,
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279,1134717733,1164877735,615103811.6,0,402585.4447,0.204,71%,107777980.7,0.228301902,1175,1.46E-09,1969558248,0,0,7.39E-17,100,25,79%,
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494,1043563324,1842365671,457171499.4,0,299218.7463,0.152,78%,92536644.25,0.196016772,675,8.87E-10,1969558248,0,0,4.50E-17,100,25,86%,
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,0,605189.0462,0.307,56%,120655162.6,0.255579135,2625,3.21E-09,1969558248,0,0,1.63E-16,100,25,63%,
-29.72,135.5749,AUS.SA.333675,17883,31000,17000,5000,7098,3333215666,989659885.2,1815379185,528176595.9,0,345691.582,0.176,75%,98683506.3,0.209037431,800,1.09E-09,1969558248,0,0,5.54E-17,100,25,84%,
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907175,1263441604,370730833.2,952734737.1,0,623564.8854,0.317,55%,124067605.8,0.262807581,1625,1.96E-09,1969558248,0,0,9.93E-17,100,25,63%,
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508603,1241949862,359224935.7,960333805.3,0,628538.4755,0.319,54%,124371287.2,0.263450857,2125,2.61E-09,1969558248,0,0,1.33E-16,100,25,63%,
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,0,409490.5217,0.208,70%,106998696.6,0.226651175,1225,1.54E-09,1969558248,0,0,7.82E-17,100,25,79%,
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,0,637339.1566,0.324,54%,123999468.7,0.262663248,2650,3.29E-09,1969558248,0,0,1.67E-16,100,25,61%,
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269,1317928905,270832585.4,1014395779,0,663922.0371,0.337,52%,129636920.5,0.274604843,2450,3.16E-09,1969558248,0,0,1.60E-16,100,25,61%,
-21.117,116.8296,AUS.WA.333387,18441,28000,17000,5000,1007,2978467647,1087108474,1293654749,597704423.4,0,391197.5451,0.199,72%,103525327.5,0.219293672,850,1.18E-09,1969558248,0,0,6.00E-17,100,25,80%,
-20.7571,117.7045,AUS.WA.333525,19058,29000,17000,5000,1006,3048222772,1141539391,1312402115,594281265.9,0,388957.0885,0.197,72%,104147617.9,0.220611845,1075,1.32E-09,1969558248,0,0,6.70E-17,100,25,81%,
-17.3472,128.0235,AUS.WA.333595,22024,6000,17000,10000,1958,2474781985,1202786637,252568524.3,1019426823,0,667214.8556,0.339,52%,129404934.8,0.274113437,2475,2.99E-09,1969558248,0,0,1.52E-16,100,25,59%,
-20.1656,139.4582,AUS.QLD.334842,17118,32000,17000,5000,7180,3152880901,977802054.8,1602516413,572562433.2,0,374742.1126,0.19,73%,103669278.6,0.219598598,1025,1.28E-09,1969558248,0,0,6.52E-17,100,25,82%,
-18.609,143.993,AUS.QLD.334950,22938,6000,17000,9000,1840,2579280277,1275410531,315501145,988368600.4,0,646887.249,0.328,53%,126828204.8,0.26865525,1675,2.17E-09,1969558248,0,0,1.10E-16,100,25,62%,
-20.7187,140.6487,AUS.QLD.334977,22587,6000,17000,9000,1778,2606287632,1293917288,339794379.7,972575964.1,0,636550.9685,0.323,54%,124580712.6,0.263894475,2825,3.37E-09,1969558248,0,0,1.71E-16,100,25,63%,
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826,1205780756,438932815.4,899162254.9,0,588501.6958,0.299,57%,119504050.7,0.253140779,2650,3.33E-09,1969558248,0,0,1.69E-16,100,25,65%,
-24.237,115.9535,AUS.WA.652958,17661,30000,17000,5000,1719,3161757860,1045557022,1534259718,581941119.8,0,380880.4629,0.193,72%,103281264.3,0.218776682,1075,1.24E-09,1969558248,0,0,6.29E-17,100,25,82%,
-27.5191,120.588,AUS.WA.652960,16765,33000,17000,5000,5895,3355132936,953072932.3,1946292734,455767269.4,0,298299.6778,0.151,78%,93054851.59,0.19711447,750,1.05E-09,1969558248,0,0,5.31E-17,100,25,86%,
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011,957074817.6,1499712528,541108665.5,0,354155.6216,0.18,74%,103956377.2,0.220206748,775,9.55E-10,1969558248,0,0,4.85E-17,100,25,82%,
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,0,632735.7914,0.321,54%,123688424.4,0.262004375,2400,3.00E-09,1969558248,0,0,1.52E-16,100,25,62%,
