Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907.119741,1067819908.296449,1868994678.9273293,452976319.8959626,-13151.979038479682,296473.00137190754,92932860.50470048,0.1968560613857111,5125,0.0,1969558247.65,3504380.790424724,4.5474735088646405e-11,0.0,100.0,25
-21.5127,134.1564,AUS.NT.597284,24363,9000,17000,5000,2363,2818430254.652483,1399167866.7622812,595775346.7030207,823487041.1871809,-37092.60973206732,538972.2684570099,114957077.51742785,0.2435091030835978,2975,0.0,1969558247.65,3256110.5983309266,0.0,0.0,100.0,25
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030126.934231,1210935376.448387,339835231.9840641,973259518.5017796,-29529.9761255625,636998.3548594149,124254928.5458591,0.2632043790373116,3400,0.0,1969558247.65,4325366.930027887,2.955857780762017e-10,0.0,100.0,25
-41.8501,145.5144,AUS.TAS.333976,31982,8000,17000,5000,1673,2425785948.7401614,996400344.1321616,335574403.0081353,1093811201.5998645,-28512.84914743346,715899.4314471113,146742916.8873163,0.310839809490495,5725,0.0,1969558247.65,6030514.500594704,1.5916157281026244e-10,0.0,100.0,25
-41.5746,145.7221,AUS.TAS.334055,31178,28000,17000,5000,1000,2530385936.424479,986376302.6275424,630540399.3904748,913469234.4064616,-16912.258217349012,597865.6139190291,145345536.83421633,0.3078797937111647,7275,0.0,1969558247.65,5021259.090788051,1.7053025658242404e-10,0.0,100.0,25
-41.2245,148.0131,AUS.TAS.334077,50000,28000,17000,5000,9023,4242894046.05584,1826383946.538831,1948972660.382224,467537439.1347849,-55562.10105220922,306003.25391371665,106127170.20721988,0.2248050540954521,5225,0.0,1969558247.65,8245965.017495545,1.1368683772161603e-10,0.0,100.0,25
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623581.5531406,1237095761.663013,370300597.90084,954227221.9892874,-29545.66228895133,624541.7167919886,124586076.26178296,0.2639058363554187,3700,0.0,1969558247.65,5212246.545883423,1.9326762412674722e-10,0.0,100.0,25
-32.0637,146.3085,AUS.NSW.335658,22734,9000,17000,5000,2322,2564586115.496991,1161175434.1595922,491320619.46887743,912090061.868522,-38528.671082074165,596962.9454929476,122617518.71364516,0.2597359175190356,4200,0.0,1969558247.65,5065176.323753042,2.273736754432321e-11,0.0,100.0,25
-33.4574,148.9957,AUS.NSW.335835,24838,24000,17000,5000,1755,2599589445.2824497,1134584261.5646987,561956762.5181067,903048421.1996446,-29971.76440414921,591045.1916751673,134892275.24502203,0.2857370565360915,5525,0.0,1969558247.65,5839839.515168289,0.0,0.0,100.0,25
-22.6513,136.268,AUS.NT.334762,24199,9000,17000,5000,2342,2814858023.418523,1401790593.350055,559045775.2034932,854021654.8649747,-37040.03785147544,558957.1731091259,117173971.55161934,0.2482050634329335,2425,0.0,1969558247.65,3099045.6122324467,2.273736754432321e-11,0.0,100.0,25
