Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137.1281586,1149318084.180302,1203683829.4410467,605372223.5068095,-9441.05784265824,396216.1202852068,107715307.16212612,0.2281691427954671,20675,0.0,1969558247.65,15868756.390405571,1.0459189070388675e-09,0.0,100.0,25
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661694.917906,1067799710.3779596,1868994678.9273293,453867305.6126165,-12389.139065352343,297056.15152345755,93087791.72982152,0.1971842461698376,14825,0.0,1969558247.65,12617918.08242847,8.185452315956353e-10,0.0,100.0,25
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512.339675,1211753638.6352608,252793290.2982083,1005212583.406206,-16993.87247265582,657911.6358393619,128764375.3740207,0.2727565647421225,46350,0.0,1969558247.65,40392822.65992461,1.6370904631912706e-09,0.0,100.0,25
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466.223485,1315969640.1446333,147833082.33246937,1082184743.7463827,-15994.310196815835,708289.9147820075,135877660.05214545,0.2878243588210548,47950,0.0,1969558247.65,34917685.16463793,1.318767317570746e-09,0.0,100.0,25
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093.3174767,1019039449.6216284,1868994678.9273293,457874964.7685189,-39610.96094314646,299679.1644409956,93287026.3240506,0.197606277056423,6950,0.0,1969558247.65,13965409.725408934,1.0686562745831907e-09,0.0,100.0,25
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553.2830825,918183341.365671,1866190619.1825647,500960592.7348466,-8626.145857481502,327878.7079449571,97735436.38487136,0.2070291709525757,23525,0.0,1969558247.65,16248291.477892287,8.412825991399585e-10,0.0,100.0,25
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649.45035,879981270.3158171,1911952582.96721,496924796.1673226,-10099.991863680149,325237.2790915126,97931106.7622125,0.2074436518972495,23525,0.0,1969558247.65,19131619.045662984,7.73070496506989e-10,0.0,100.0,25
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431362.604073,1257481148.3315425,210018620.7344956,1043931593.5380358,-14639.173934188964,683253.2279706444,132736702.74465583,0.2811709912051747,46475,0.0,1969558247.65,37271151.22298903,1.2278178473934531e-09,0.0,100.0,25
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907585.853702,1018105649.2065084,1842365670.7160945,456436265.9310993,-40239.09928556307,298737.5360519045,92130730.7722158,0.1951569411929208,6875,0.0,1969558247.65,13323438.5929399,9.094947017729281e-10,0.0,100.0,25
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062389.7761183,1304632218.7437096,338531817.22929555,965898353.803113,-16937.699485313104,632180.4725641374,124233212.68492448,0.2631583791742926,40600,0.0,1969558247.65,33531325.213699363,2.000888343900442e-09,0.0,100.0,25
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939.156012,1211514843.7292175,350234202.4689777,968504892.9578166,-17479.699862774127,633886.452440891,123434053.82682204,0.2614655520690773,43275,0.0,1969558247.65,36060365.58868614,1.659827830735594e-09,0.0,100.0,25
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718.3393407,1343817133.3373835,405647025.0709801,955623559.930977,-23379.42232570894,625455.6199748245,132126131.5094144,0.2798776419214844,36650,0.0,1969558247.65,37839287.63328681,2.3874235921539366e-09,0.0,100.0,25
-33.5265,149.1588,AUS.NSW.333484,29419,10000,17000,7000,1201,2578489627.7167406,1349592879.0394115,94715636.54254642,1134181112.1347828,-12151.792801486838,742321.5378922153,145988223.4411563,0.3092411717367679,37400,0.0,1969558247.65,21123548.392321933,1.3699263945454732e-09,0.0,100.0,25
-31.1629,145.6538,AUS.NSW.333485,23616,9000,17000,5000,2373,2636724727.6189275,1239359997.1443722,495333792.1982043,902030938.2763509,-25956.47232598466,590379.2491018716,121744047.94506793,0.2578856783861406,22200,0.0,1969558247.65,21965139.25422117,2.1600499167107046e-09,0.0,100.0,25
-31.5001,145.8422,AUS.NSW.334161,16510,31000,17000,5000,7285,3030735565.995117,860467420.5344503,1586745892.9348283,583522252.5258386,-43450.46692081665,381915.3142781613,105038959.75650504,0.2224999402517255,9050,0.0,1969558247.65,16690375.156233847,1.1823431123048067e-09,0.0,100.0,25
-35.5901,149.4372,AUS.NSW.335061,28779,17000,17000,5000,1718,2586996968.880522,1241569709.7178369,343479029.4782462,1001948229.6844388,-19297.37541715565,655775.1163284652,139747202.19760662,0.2960210593421042,21600,0.0,1969558247.65,16610029.63127618,1.5575096767861394e-09,0.0,100.0,25
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105467.853799,1229868743.4134414,353723981.9160916,984512742.5242656,-21304.792006627304,644363.5899821318,127447864.15447363,0.2699678502654275,28800,0.0,1969558247.65,20424291.08417205,2.205524651799351e-09,0.0,100.0,25
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773.423279,1166826652.3900535,325437063.0529417,1010382057.9802836,-19945.780407580656,661295.0569480956,131904768.76288009,0.2794087378311163,43000,0.0,1969558247.65,36084261.85880158,2.2737367544323206e-09,0.0,100.0,25
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911566.608005,993776224.9355656,1377481374.271093,625653967.4013474,-44798.53569897209,409490.5216641818,106998696.61913264,0.2266511745733006,11075,0.0,1969558247.65,15959209.408450596,1.4154011296341196e-09,0.0,100.0,25
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122.408813,1210761795.6780317,343672102.7813636,973780223.949418,-16892.22555892894,637339.1565748941,123999468.69200754,0.2626632483716001,38850,0.0,1969558247.65,30842801.38966386,2.3533175408374522e-09,0.0,100.0,25
