Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279,1134717733,1164877735,615103811.6,-37854.8186,402585.4447,107777980.7,0.228301902,3775,0,1969558248,5038939.532,1.11E-09,0,100,25,69%
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494,1043563324,1842365671,457171499.4,-87326.42771,299218.7463,92536644.25,0.196016772,3500,0,1969558248,10676147.7,6.82E-10,0,100,25,77%
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,-35308.20022,605189.0462,120655162.6,0.255579135,7125,0,1969558248,10074422.6,1.84E-09,0,100,25,53%
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649,879981270.3,1911952583,496924796.2,-24971.873,325237.2791,97931106.76,0.207443652,4300,0,1969558248,3887444.868,8.41E-10,0,100,25,75%
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431363,1257481148,210018620.7,1043931594,-32298.58351,683253.228,132736702.7,0.281170991,7975,0,1969558248,10223855.09,9.89E-10,0,100,25,47%
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907586,1018105649,1842365671,456436265.9,-86629.76534,298737.5361,92130730.77,0.195156941,3375,0,1969558248,10503555.59,7.50E-10,0,100,25,77%
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,-23393.08913,396216.1203,107715307.2,0.228169143,3900,0,1969558248,3199601.281,9.09E-10,0,100,25,69%
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661695,1067799710,1868994679,453867305.6,-31950.01388,297056.1515,93087791.73,0.197184246,3800,0,1969558248,4132155.912,6.82E-10,0,100,25,77%
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,-34039.14433,657911.6358,128764375.4,0.272756565,6975,0,1969558248,9570446.669,1.39E-09,0,100,25,49%
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958,1261714128,441080726.9,888734103.2,-38726.06021,581676.4705,118984214,0.252039629,7050,0,1969558248,10236678.02,2.16E-09,0,100,25,55%
-12.9681,131.1124,AUS.NT.335011,26589,5000,17000,12000,1849,2571207655,1344709587,147833082.3,1078664986,-34622.5531,705986.2334,136237693.3,0.288587003,7900,0,1969558248,11188122.68,1.17E-09,0,100,25,45%
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573320,1237346322,441080726.9,888146270.4,-42162.57432,581291.734,119059293.2,0.252198667,7000,0,1969558248,10980815.88,1.84E-09,0,100,25,55%
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607109,1264987139,348269618.8,973350350.3,-37609.51351,637057.8042,124353281.6,0.263412717,7550,0,1969558248,10976488.86,1.68E-09,0,100,25,51%
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363,1218458516,315183176.6,979732671,-39041.94328,641235.0331,125410006.3,0.265651135,8500,0,1969558248,12726404.82,1.38E-09,0,100,25,50%
-24.017,148.917,AUS.QLD.443072,24493,8000,17000,5000,2688,2571862589,1304219147,213399430.9,1054244012,-64821.45318,690002.7056,133187855.2,0.28212665,6750,0,1969558248,15625518.08,1.73E-09,0,100,25,46%
-29.72,135.5749,AUS.SA.333675,27061,9000,17000,5000,2722,2903757906,1497575171,566158186.5,840024548.5,-55379.0897,549796.067,117369028.4,0.248618245,5075,0,1969558248,11361773.58,2.10E-09,0,100,25,57%
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907175,1263441604,370730833.2,952734737.1,-31039.65829,623564.8854,124067605.8,0.262807581,6125,0,1969558248,7895564.798,1.11E-09,0,100,25,52%
