Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-20.3054,140.1508,AUS.QLD.455378,22833,6000,17000,9000,1792,2609062390,1304632219,338531817.2,965898354,0,632180.4726,124233212.7,0.263158379,0,0,1969558248,0,2.84E-09,0,100,25,51%
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939,1211514844,350234202.5,968504893,0,633886.4524,123434053.8,0.261465552,0,0,1969558248,0,2.59E-09,0,100,25,51%
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718,1343817133,405647025.1,955623559.9,0,625455.62,132126131.5,0.279877642,0,0,1969558248,0,2.82E-09,0,100,25,51%
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816553,1227695965,293305136.1,1021815451,0,668778.2129,134372531.5,0.284636104,0,0,1969558248,0,2.21E-09,0,100,25,48%
-29.5,152.4897,AUS.NSW.335959,5000,1000,17000,11000,2189,1040156108,206228879.2,2781829.088,831145400,0,543984.6641,123526970.5,0.261662374,0,0,1969558248,0,929459355.1,0,52.80873992,25,58%
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,0,448024.0678,115527385.4,0.244717164,0,0,1969558248,0,1.93E-09,0,100,25,65%
-35.5901,149.4372,AUS.NSW.335061,28779,17000,17000,5000,1718,2586996969,1241569710,343479029.5,1001948230,0,655775.1163,139747202.2,0.296021059,0,0,1969558248,0,1.88E-09,0,100,25,49%
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105468,1229868743,353723981.9,984512742.5,0,644363.59,127447864.2,0.26996785,0,0,1969558248,0,2.73E-09,0,100,25,50%
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773,1166826652,325437063.1,1010382058,0,661295.0569,131904768.8,0.279408738,0,0,1969558248,0,3.16E-09,0,100,25,49%
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177894,1252837551,438932815.4,898407526.9,0,588007.7264,119831428.2,0.25383425,0,0,1969558248,0,3.38E-09,0,100,25,54%
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501,1177530902,404002198.5,907303400.9,0,593830.0759,119572005.6,0.253284726,0,0,1969558248,0,2.75E-09,0,100,25,54%
-31.8199,123.1924,AUS.WA.561110,22974,6000,17000,10000,1864,2559943188,1196915912,418900034.8,944127240.9,0,617931.2792,124567202,0.263865856,0,0,1969558248,0,2.86E-09,0,100,25,52%
-26.0954,127.7274,AUS.WA.434546,23071,6000,17000,9000,1821,2603464390,1288294211,376013629.7,939156548.9,0,614677.9612,122896705.8,0.260327309,0,0,1969558248,0,3.84E-09,0,100,25,52%
-31.1931,121.6785,AUS.WA.513745,21400,7000,17000,5000,1521,2532543537,1145814516,479334516.9,907394503.7,0,593889.7026,119727764.2,0.253614663,0,0,1969558248,0,3.31E-09,0,100,25,54%
-28.4839,121.17,AUS.WA.515724,17263,31000,17000,6000,1000,3373680771,968376735.7,1947031125,458272909.8,0,299939.6194,92171776.21,0.195243886,0,0,1969558248,0,6.82E-10,0,100,25,77%
-31.2166,121.68,AUS.WA.335722,23123,6000,17000,9000,1725,2603562605,1260428931,411791973.9,931341700.8,0,609563.1432,122485387.1,0.259456028,0,0,1969558248,0,2.52E-09,0,100,25,53%
-26.9204,120.379,AUS.WA.335749,16508,34000,17000,5000,7049,3338988654,940303406.8,1944182048,454503198.9,0,297472.3437,93683627.86,0.198446383,0,0,1969558248,0,1.16E-09,0,100,25,77%
-28.7452,116.9436,AUS.WA.335838,22732,6000,17000,9000,1865,2623337216,1308245853,395449144.5,919642219,0,601905.8323,121168721.9,0.256666988,0,0,1969558248,0,2.82E-09,0,100,25,53%
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279,1134717733,1164877735,615103811.6,0,402585.4447,107777980.7,0.228301902,0,0,1969558248,0,1.46E-09,0,100,25,69%
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494,1043563324,1842365671,457171499.4,0,299218.7463,92536644.25,0.196016772,0,0,1969558248,0,8.87E-10,0,100,25,77%
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,0,605189.0462,120655162.6,0.255579135,0,0,1969558248,0,3.21E-09,0,100,25,53%
