FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.38.7372102.wholerock,POINT (-33.526935 149.158321),-33.5265,149.1588,AUS.NSW.333484,"Cu, Au",
CriticalMineralDepositsGeochemistry.ga.439.7372712.ar,POINT (-31.159876 145.655792),-31.1629,145.6538,AUS.NSW.333485,"Cu, Ag, Zn, Au, Pb",
CriticalMineralDepositsGeochemistry.AUS.NSW.334161.59,POINT (-31.52961 145.84865),-31.5001,145.8422,AUS.NSW.334161,"Cu, Au (Ag)",
CriticalMineralDepositsGeochemistry.AUS.NSW.334374.1272,POINT (-31.5161 145.8551),-31.5161,145.8551,AUS.NSW.334374,"Au, Cu",
CriticalMineralDepositsGeochemistry.ga.438.7372618.4acid,POINT (-31.52 145.85),-31.5212,145.8578,AUS.NSW.334832,"Pb, Au, Cu, Zn, Ag",11000
CriticalMineralDepositsGeochemistry.ga.2908.2130711.wholerock,POINT (-31.25979 146.86966),-31.2586,146.8719,AUS.NSW.334834,"Cu (Au, Ag, Co)",1526.473
CriticalMineralDepositsGeochemistry.ga.1667.1463363.wholerock,POINT (-35.59078 149.446056),-35.5901,149.4372,AUS.NSW.335061,"Zn, Cu, Pb",7
CriticalMineralDepositsGeochemistry.ga.435.7372636.ar,POINT (-31.39167 146.71611),-31.3956,146.7216,AUS.NSW.335156,"Cu (Au, Ag, Co)",
CriticalMineralDepositsGeochemistry.ga.440.7372721.wholerock,POINT (-32.924901 148.04952),-32.9135,148.0498,AUS.NSW.335362,"Cu, Au",
CriticalMineralDepositsGeochemistry.ga.33.7372094.ar,POINT (-31.969951 141.461053),-31.9665,141.465,AUS.NSW.335554,"Zn, Pb (Ag, Cu, Au)",
CriticalMineralDepositsGeochemistry.AUS.NSW.335658.84,POINT (-32.06528 146.30694),-32.0637,146.3085,AUS.NSW.335658,"Cu, Zn, Pb (Ag)",
CriticalMineralDepositsGeochemistry.ga.11.7372020.wholerock,POINT (-33.458026 148.996387),-33.4574,148.9957,AUS.NSW.335835,"Ag (Au, Cu)",
CriticalMineralDepositsGeochemistry.ga.3.7371777.wholerock,POINT (-35.062882 149.570489),-35.0613,149.5717,AUS.NSW.335841,"Zn, Cu, Pb (Ag, Au)",
CriticalMineralDepositsGeochemistry.AUS.NSW.335959.385,POINT (-29.5 152.48972),-29.5,152.4897,AUS.NSW.335959,"Cu, Au (Ag, Zn, Pb, Co)",76500
CriticalMineralDepositsGeochemistry.ga.2282.1645046.wholerock,POINT (-34.185762 147.384237),-34.1848,147.3854,AUS.NSW.455899,"Au, Mo, Cu",5913
CriticalMineralDepositsGeochemistry.ga.1563.2130653.wholerock,POINT (-32.219074 147.450214),-32.2205,147.448,AUS.NSW.467218,"Cu, Au",1408
CriticalMineralDepositsGeochemistry.ga.3883.1596030.wholerock,POINT (-29.352446 151.546494),-29.3469,151.5477,AUS.NSW.467228,"Ag, Zn, Cu (Pb)",49
CriticalMineralDepositsGeochemistry.ga.1545.1928331.wholerock,POINT (-31.529402 146.684075),-31.5303,146.6862,AUS.NSW.529220,"Cu (Au, Ag)",5282
CriticalMineralDepositsGeochemistry.ga.1499.1508079.wholerock,POINT (-17.17696 137.768692),-17.1813,137.7848,AUS.NT.333325,Cu,1220
CriticalMineralDepositsGeochemistry.ga.3687.1457998.wholerock,POINT (-19.612171 134.153728),-19.6271,134.15,AUS.NT.333391,"Cu, Ag, Au",32
CriticalMineralDepositsGeochemistry.ga.49.7372070.wholerock,POINT (-16.433 136.1),-16.436,136.0985,AUS.NT.333587,"Zn, Pb (Ag, Cu, Cd, Sb)",
CriticalMineralDepositsGeochemistry.ga.1269.1530828.wholerock,POINT (-17.168857 137.747059),-17.1727,137.752,AUS.NT.333631,Cu,8550
CriticalMineralDepositsGeochemistry.ga.3847.1458131.wholerock,POINT (-19.440059 133.82293),-19.4448,133.8237,AUS.NT.333784,"Au, Cu, Bi, FeOre (Fe)",2980
CriticalMineralDepositsGeochemistry.ga.3144.1458428.wholerock,POINT (-19.66439 134.282338),-19.6751,134.2835,AUS.NT.334073,"Au, Cu, Bi, Co",14
