Source,Location ID,Latitude,Longitude,Time Zone,Elevation,DNI Units,DHI Units,GHI Units,Temperature Units
NASA Power,34149,-33.5265,149.1588,10,606,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2021,1,1,0,0,0.0,0.0,0.0,0,14.17,0,0,4.49,0
2021,1,1,1,0,0.0,0.0,0.0,0,13.81,0,0,4.56,0
2021,1,1,2,0,0.0,0.0,0.0,0,13.51,0,0,4.63,0
2021,1,1,3,0,0.0,0.0,0.0,0,13.29,0,0,4.76,0
2021,1,1,4,0,0.0,0.0,0.0,0,13.09,0,0,4.89,0
2021,1,1,5,0,6.81,24.78,23.83,0,13.15,0,0,4.84,0
2021,1,1,6,0,21.0,64.49,77.82,0,14.03,0,0,5.27,0
2021,1,1,7,0,77.61,132.04,166.1,0,15.46,0,0,5.3,0
2021,1,1,8,0,33.01,124.91,176.0,0,17.13,0,0,4.82,0
2021,1,1,9,0,55.08,155.58,220.02,0,18.54,0,0,4.3,0
2021,1,1,10,0,0.0,121.08,148.48,0,19.06,0,0,3.83,0
2021,1,1,11,0,19.88,107.99,147.12,0,19.35,0,0,3.33,0
2021,1,1,12,0,24.03,119.44,166.65,0,19.11,0,0,3.29,0
2021,1,1,13,0,57.61,171.94,254.52,0,18.69,0,0,3.48,0
2021,1,1,14,0,28.37,132.61,175.65,0,18.35,0,0,3.86,0
2021,1,1,15,0,60.28,272.57,368.8,0,17.94,0,0,4.43,0
2021,1,1,16,0,42.87,189.01,237.4,0,17.51,0,0,4.74,0
2021,1,1,17,0,83.98,105.73,129.75,0,16.94,0,0,4.79,0
2021,1,1,18,0,19.68,33.48,36.1,0,15.89,0,0,4.42,0
2021,1,1,19,0,0.0,0.0,0.0,0,14.53,0,0,4.29,0
2021,1,1,20,0,0.0,0.0,0.0,0,13.66,0,0,4.71,0
2021,1,1,21,0,0.0,0.0,0.0,0,12.98,0,0,4.62,0
2021,1,1,22,0,0.0,0.0,0.0,0,12.52,0,0,4.69,0
2021,1,1,23,0,0.0,0.0,0.0,0,12.15,0,0,4.41,0
2021,1,2,0,0,0.0,0.0,0.0,0,11.86,0,0,4.16,0
2021,1,2,1,0,0.0,0.0,0.0,0,11.69,0,0,4.05,0
2021,1,2,2,0,0.0,0.0,0.0,0,11.58,0,0,3.98,0
2021,1,2,3,0,0.0,0.0,0.0,0,11.51,0,0,3.99,0
2021,1,2,4,0,0.0,0.0,0.0,0,11.46,0,0,3.59,0
2021,1,2,5,0,14.53,28.03,30.1,0,11.59,0,0,3.34,0
2021,1,2,6,0,109.99,114.89,143.77,0,12.14,0,0,3.44,0
2021,1,2,7,0,141.48,215.84,277.42,0,13.07,0,0,3.68,0
2021,1,2,8,0,155.53,339.39,429.7,0,14.37,0,0,3.41,0
2021,1,2,9,0,89.52,412.75,546.88,0,15.86,0,0,2.92,0
2021,1,2,10,0,153.36,347.45,562.35,0,17.25,0,0,2.57,0
2021,1,2,11,0,13.05,373.72,493.35,0,18.52,0,0,2.44,0
2021,1,2,12,0,61.2,343.51,491.45,0,19.53,0,0,2.39,0
2021,1,2,13,0,100.23,350.19,524.0,0,20.06,0,0,2.49,0
2021,1,2,14,0,54.65,318.93,403.5,0,20.24,0,0,2.63,0
2021,1,2,15,0,112.53,249.27,362.83,0,20.33,0,0,2.82,0
2021,1,2,16,0,49.49,184.4,243.85,0,19.91,0,0,3.01,0
2021,1,2,17,0,46.26,114.51,131.43,0,19.07,0,0,3.15,0
2021,1,2,18,0,17.94,37.05,39.92,0,17.86,0,0,3.15,0
2021,1,2,19,0,0.0,0.0,0.0,0,16.53,0,0,3.5,0
2021,1,2,20,0,0.0,0.0,0.0,0,15.77,0,0,3.53,0
2021,1,2,21,0,0.0,0.0,0.0,0,15.2,0,0,3.78,0
2021,1,2,22,0,0.0,0.0,0.0,0,14.7,0,0,3.97,0
2021,1,2,23,0,0.0,0.0,0.0,0,14.39,0,0,4.09,0
2021,1,3,0,0,0.0,0.0,0.0,0,14.21,0,0,4.32,0
2021,1,3,1,0,0.0,0.0,0.0,0,14.16,0,0,4.46,0
2021,1,3,2,0,0.0,0.0,0.0,0,14.16,0,0,4.52,0
2021,1,3,3,0,0.0,0.0,0.0,0,14.18,0,0,4.23,0
2021,1,3,4,0,0.0,0.0,0.0,0,14.2,0,0,3.91,0
2021,1,3,5,0,8.95,20.25,19.6,0,14.43,0,0,3.69,0
2021,1,3,6,0,55.57,84.56,101.2,0,15.44,0,0,3.37,0
2021,1,3,7,0,59.97,178.78,233.95,0,17.24,0,0,3.83,0
2021,1,3,8,0,120.44,226.99,334.38,0,19.39,0,0,3.65,0
2021,1,3,9,0,45.38,265.9,328.05,0,20.72,0,0,3.32,0
2021,1,3,10,0,214.28,363.11,648.33,0,21.05,0,0,3.61,0
2021,1,3,11,0,305.49,380.27,754.65,0,20.93,0,0,4.06,0
2021,1,3,12,0,360.13,390.89,817.6,0,20.81,0,0,4.01,0
2021,1,3,13,0,549.34,286.07,818.8,0,20.78,0,0,3.41,0
2021,1,3,14,0,379.63,354.1,730.97,0,20.57,0,0,2.45,0
2021,1,3,15,0,463.67,245.53,584.85,0,20.23,0,0,1.8,0
2021,1,3,16,0,455.06,165.16,354.8,0,20.05,0,0,2.18,0
2021,1,3,17,0,253.85,119.9,206.98,0,19.89,0,0,2.32,0
2021,1,3,18,0,125.88,51.92,68.1,0,19.09,0,0,1.84,0
2021,1,3,19,0,0.0,0.0,0.0,0,17.4,0,0,1.76,0
2021,1,3,20,0,0.0,0.0,0.0,0,16.45,0,0,2.11,0
2021,1,3,21,0,0.0,0.0,0.0,0,15.88,0,0,2.53,0
2021,1,3,22,0,0.0,0.0,0.0,0,15.54,0,0,2.68,0
2021,1,3,23,0,0.0,0.0,0.0,0,15.54,0,0,2.55,0
2021,1,4,0,0,0.0,0.0,0.0,0,15.41,0,0,2.45,0
2021,1,4,1,0,0.0,0.0,0.0,0,15.04,0,0,2.57,0
2021,1,4,2,0,0.0,0.0,0.0,0,14.8,0,0,2.79,0
2021,1,4,3,0,0.0,0.0,0.0,0,14.93,0,0,3.01,0
2021,1,4,4,0,0.0,0.0,0.0,0,15.11,0,0,3.31,0
2021,1,4,5,0,0.0,22.39,23.83,0,15.54,0,0,3.3,0
2021,1,4,6,0,0.0,80.2,93.4,0,17.39,0,0,2.73,0
2021,1,4,7,0,0.0,134.4,167.9,0,19.42,0,0,2.08,0
2021,1,4,8,0,0.17,273.53,327.92,0,20.94,0,0,2.9,0
2021,1,4,9,0,102.91,356.17,520.3,0,21.63,0,0,4.01,0
2021,1,4,10,0,255.54,363.29,490.9,0,22.06,0,0,4.88,0
2021,1,4,11,0,28.54,362.79,483.38,0,21.9,0,0,5.13,0
2021,1,4,12,0,28.1,70.94,100.9,0,21.95,0,0,5.43,0
2021,1,4,13,0,30.53,33.3,48.22,0,21.62,0,0,5.51,0
2021,1,4,14,0,20.87,61.72,83.32,0,21.02,0,0,5.55,0
2021,1,4,15,0,188.45,237.47,352.65,0,20.64,0,0,5.21,0
2021,1,4,16,0,92.51,218.49,286.0,0,20.14,0,0,5.64,0
2021,1,4,17,0,43.38,117.53,148.0,0,18.97,0,0,3.89,0
2021,1,4,18,0,31.3,45.19,47.7,0,17.81,0,0,1.54,0
2021,1,4,19,0,0.0,0.0,0.0,0,16.83,0,0,1.89,0
2021,1,4,20,0,0.0,0.0,0.0,0,16.48,0,0,0.59,0
2021,1,4,21,0,0.0,0.0,0.0,0,15.86,0,0,0.92,0
2021,1,4,22,0,0.0,0.0,0.0,0,14.87,0,0,1.87,0
2021,1,4,23,0,0.0,0.0,0.0,0,14.49,0,0,2.4,0
2021,1,5,0,0,0.0,0.0,0.0,0,14.5,0,0,2.41,0
