Source,Location ID,Latitude,Longitude,Time Zone,Elevation,DNI Units,DHI Units,GHI Units,Temperature Units
NASA Power,3484,33.749,-84.388,-6,200,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2021,1,1,0,0,0.0,0.0,0.0,0,13.56,0,0,6.46,0
2021,1,1,1,0,0.0,0.0,0.0,0,13.4,0,0,6.2,0
2021,1,1,2,0,0.0,0.0,0.0,0,13.53,0,0,7.44,0
2021,1,1,3,0,0.0,0.0,0.0,0,13.66,0,0,7.15,0
2021,1,1,4,0,0.0,0.0,0.0,0,13.64,0,0,7.0,0
2021,1,1,5,0,0.0,0.0,0.0,0,13.79,0,0,7.22,0
2021,1,1,6,0,0.0,0.0,0.0,0,14.8,0,0,9.17,0
2021,1,1,7,0,0.0,20.6,23.58,0,16.01,0,0,9.56,0
2021,1,1,8,0,0.0,37.45,43.03,0,17.25,0,0,9.28,0
2021,1,1,9,0,32.97,24.58,36.9,0,18.53,0,0,8.67,0
2021,1,1,10,0,9.49,66.99,78.65,0,19.51,0,0,7.69,0
2021,1,1,11,0,5.58,94.26,109.62,0,20.24,0,0,7.19,0
2021,1,1,12,0,3.49,96.51,111.35,0,21.03,0,0,7.03,0
2021,1,1,13,0,1.89,111.74,132.2,0,21.55,0,0,7.56,0
2021,1,1,14,0,1.4,89.73,105.53,0,21.27,0,0,8.12,0
2021,1,1,15,0,0.94,46.55,52.65,0,20.28,0,0,8.06,0
2021,1,1,16,0,0.0,6.98,6.65,0,19.15,0,0,7.98,0
2021,1,1,17,0,0.0,0.0,0.0,0,18.49,0,0,7.29,0
2021,1,1,18,0,0.0,0.0,0.0,0,17.71,0,0,6.13,0
2021,1,1,19,0,0.0,0.0,0.0,0,17.65,0,0,6.55,0
2021,1,1,20,0,0.0,0.0,0.0,0,17.75,0,0,6.6,0
2021,1,1,21,0,0.0,0.0,0.0,0,17.77,0,0,6.52,0
2021,1,1,22,0,0.0,0.0,0.0,0,17.78,0,0,6.5,0
2021,1,1,23,0,0.0,0.0,0.0,0,17.17,0,0,6.24,0
2021,1,2,0,0,0.0,0.0,0.0,0,15.92,0,0,6.22,0
2021,1,2,1,0,0.0,0.0,0.0,0,14.08,0,0,5.36,0
2021,1,2,2,0,0.0,0.0,0.0,0,12.63,0,0,4.87,0
2021,1,2,3,0,0.0,0.0,0.0,0,11.62,0,0,4.77,0
2021,1,2,4,0,0.0,0.0,0.0,0,10.83,0,0,4.62,0
2021,1,2,5,0,0.0,0.0,0.0,0,10.13,0,0,4.35,0
2021,1,2,6,0,0.0,0.0,0.0,0,9.47,0,0,4.14,0
2021,1,2,7,0,72.58,45.55,59.9,0,11.15,0,0,3.34,0
2021,1,2,8,0,141.56,130.35,173.8,0,12.58,0,0,1.8,0
2021,1,2,9,0,245.57,226.07,327.25,0,14.11,0,0,1.16,0
2021,1,2,10,0,204.08,265.47,379.92,0,15.74,0,0,1.29,0
2021,1,2,11,0,58.23,289.84,357.1,0,17.0,0,0,2.98,0
2021,1,2,12,0,31.47,248.32,294.08,0,17.74,0,0,3.56,0
2021,1,2,13,0,149.17,264.73,344.8,0,17.18,0,0,5.04,0
2021,1,2,14,0,101.36,190.05,236.07,0,15.4,0,0,3.77,0
2021,1,2,15,0,42.52,92.16,107.95,0,15.01,0,0,3.27,0
2021,1,2,16,0,4.64,13.85,11.7,0,13.49,0,0,3.78,0
2021,1,2,17,0,0.0,0.0,0.0,0,12.99,0,0,4.79,0
2021,1,2,18,0,0.0,0.0,0.0,0,12.55,0,0,4.98,0
2021,1,2,19,0,0.0,0.0,0.0,0,11.97,0,0,5.6,0
2021,1,2,20,0,0.0,0.0,0.0,0,11.72,0,0,6.11,0
2021,1,2,21,0,0.0,0.0,0.0,0,11.19,0,0,6.23,0
2021,1,2,22,0,0.0,0.0,0.0,0,10.32,0,0,5.62,0
2021,1,2,23,0,0.0,0.0,0.0,0,8.51,0,0,5.22,0
2021,1,3,0,0,0.0,0.0,0.0,0,7.56,0,0,5.46,0
2021,1,3,1,0,0.0,0.0,0.0,0,6.9,0,0,5.74,0
2021,1,3,2,0,0.0,0.0,0.0,0,5.99,0,0,5.67,0
2021,1,3,3,0,0.0,0.0,0.0,0,5.1,0,0,5.47,0
2021,1,3,4,0,0.0,0.0,0.0,0,4.52,0,0,5.79,0
2021,1,3,5,0,0.0,0.0,0.0,0,3.97,0,0,6.39,0
2021,1,3,6,0,0.0,0.0,0.0,0,3.88,0,0,6.47,0
2021,1,3,7,0,241.31,41.71,70.55,0,4.22,0,0,6.47,0
2021,1,3,8,0,397.86,83.07,195.68,0,5.23,0,0,6.51,0
2021,1,3,9,0,506.16,114.76,316.55,0,6.84,0,0,6.17,0
2021,1,3,10,0,635.69,133.14,419.75,0,8.33,0,0,6.04,0
2021,1,3,11,0,898.6,204.75,506.08,0,9.47,0,0,6.17,0
2021,1,3,12,0,883.51,77.43,532.53,0,10.19,0,0,6.32,0
2021,1,3,13,0,868.67,80.13,457.95,0,10.24,0,0,6.38,0
2021,1,3,14,0,728.03,77.89,329.7,0,9.72,0,0,6.41,0
2021,1,3,15,0,617.67,56.61,170.4,0,8.6,0,0,6.27,0
2021,1,3,16,0,146.52,16.93,21.33,0,6.44,0,0,6.31,0
2021,1,3,17,0,0.0,0.0,0.0,0,4.82,0,0,6.16,0
2021,1,3,18,0,0.0,0.0,0.0,0,3.55,0,0,5.71,0
2021,1,3,19,0,0.0,0.0,0.0,0,2.65,0,0,5.62,0
2021,1,3,20,0,0.0,0.0,0.0,0,2.09,0,0,5.56,0
2021,1,3,21,0,0.0,0.0,0.0,0,2.11,0,0,5.54,0
2021,1,3,22,0,0.0,0.0,0.0,0,1.96,0,0,5.25,0
2021,1,3,23,0,0.0,0.0,0.0,0,1.16,0,0,5.16,0
2021,1,4,0,0,0.0,0.0,0.0,0,0.32,0,0,5.24,0
2021,1,4,1,0,0.0,0.0,0.0,0,-0.04,0,0,5.5,0
2021,1,4,2,0,0.0,0.0,0.0,0,-0.22,0,0,5.65,0
2021,1,4,3,0,0.0,0.0,0.0,0,-0.44,0,0,5.64,0
2021,1,4,4,0,0.0,0.0,0.0,0,-0.83,0,0,5.41,0
2021,1,4,5,0,0.0,0.0,0.0,0,-1.18,0,0,5.11,0
2021,1,4,6,0,0.0,0.0,0.0,0,-1.47,0,0,4.84,0
2021,1,4,7,0,521.03,29.49,110.62,0,1.01,0,0,3.62,0
2021,1,4,8,0,823.34,46.12,290.25,0,3.66,0,0,1.85,0
2021,1,4,9,0,919.07,56.12,446.08,0,7.64,0,0,3.44,0
2021,1,4,10,0,986.25,52.54,555.1,0,10.6,0,0,3.93,0
2021,1,4,11,0,986.06,67.05,597.78,0,12.0,0,0,3.72,0
2021,1,4,12,0,840.71,117.73,548.92,0,12.88,0,0,3.65,0
2021,1,4,13,0,723.6,144.98,473.55,0,13.19,0,0,3.67,0
2021,1,4,14,0,611.95,133.8,330.73,0,12.94,0,0,3.57,0
2021,1,4,15,0,355.52,95.38,161.88,0,11.71,0,0,3.15,0
2021,1,4,16,0,55.63,19.06,17.8,0,8.72,0,0,3.27,0
2021,1,4,17,0,0.0,0.0,0.0,0,7.51,0,0,3.78,0
2021,1,4,18,0,0.0,0.0,0.0,0,6.56,0,0,4.88,0
2021,1,4,19,0,0.0,0.0,0.0,0,5.85,0,0,6.01,0
2021,1,4,20,0,0.0,0.0,0.0,0,5.8,0,0,6.75,0
2021,1,4,21,0,0.0,0.0,0.0,0,6.88,0,0,6.53,0
2021,1,4,22,0,0.0,0.0,0.0,0,7.43,0,0,6.21,0
2021,1,4,23,0,0.0,0.0,0.0,0,7.65,0,0,6.19,0
2021,1,5,0,0,0.0,0.0,0.0,0,7.33,0,0,6.15,0
2021,1,5,1,0,0.0,0.0,0.0,0,7.2,0,0,6.31,0
2021,1,5,2,0,0.0,0.0,0.0,0,6.18,0,0,6.36,0
2021,1,5,3,0,0.0,0.0,0.0,0,5.45,0,0,6.32,0
2021,1,5,4,0,0.0,0.0,0.0,0,5.66,0,0,5.58,0
2021,1,5,5,0,0.0,0.0,0.0,0,6.15,0,0,5.07,0
2021,1,5,6,0,0.0,0.0,0.0,0,6.02,0,0,4.59,0
2021,1,5,7,0,287.29,44.19,92.12,0,6.17,0,0,4.67,0
2021,1,5,8,0,603.36,81.31,258.12,0,7.1,0,0,5.44,0
2021,1,5,9,0,688.85,110.32,399.55,0,8.69,0,0,5.88,0
2021,1,5,10,0,783.68,117.27,504.88,0,10.82,0,0,6.36,0
2021,1,5,11,0,637.87,170.49,520.53,0,12.2,0,0,6.58,0
2021,1,5,12,0,847.12,93.37,505.67,0,12.91,0,0,6.66,0
2021,1,5,13,0,808.83,90.49,438.55,0,13.0,0,0,6.75,0
2021,1,5,14,0,734.43,71.95,322.12,0,12.5,0,0,6.73,0
2021,1,5,15,0,588.19,47.37,169.98,0,11.17,0,0,6.64,0
2021,1,5,16,0,186.05,14.74,22.42,0,7.77,0,0,7.13,0
2021,1,5,17,0,0.0,0.0,0.0,0,6.3,0,0,7.16,0
2021,1,5,18,0,0.0,0.0,0.0,0,5.4,0,0,6.75,0
2021,1,5,19,0,0.0,0.0,0.0,0,4.44,0,0,6.45,0
2021,1,5,20,0,0.0,0.0,0.0,0,3.4,0,0,6.13,0
2021,1,5,21,0,0.0,0.0,0.0,0,2.18,0,0,5.77,0
2021,1,5,22,0,0.0,0.0,0.0,0,1.4,0,0,5.7,0
2021,1,5,23,0,0.0,0.0,0.0,0,0.76,0,0,5.55,0
2021,1,6,0,0,0.0,0.0,0.0,0,0.08,0,0,5.34,0
2021,1,6,1,0,0.0,0.0,0.0,0,-0.65,0,0,5.31,0
2021,1,6,2,0,0.0,0.0,0.0,0,-1.22,0,0,5.11,0
2021,1,6,3,0,0.0,0.0,0.0,0,-1.81,0,0,4.67,0
2021,1,6,4,0,0.0,0.0,0.0,0,-2.21,0,0,4.14,0
2021,1,6,5,0,0.0,0.0,0.0,0,-2.51,0,0,3.92,0
2021,1,6,6,0,0.0,0.0,0.0,0,-2.8,0,0,4.15,0
2021,1,6,7,0,363.6,51.98,100.93,0,-0.01,0,0,3.16,0
2021,1,6,8,0,445.49,133.94,262.92,0,2.74,0,0,1.61,0
2021,1,6,9,0,493.49,239.41,405.73,0,5.98,0,0,2.35,0
2021,1,6,10,0,510.83,235.61,480.1,0,8.25,0,0,2.29,0
2021,1,6,11,0,226.08,318.94,456.73,0,9.72,0,0,1.78,0
